<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82042</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CARACARAI - RR (OMM: 82042)
Latitude  (graus) : 1.83
Longitude (graus) : -61.12
Altitude  (metros): 60.00
Esta��o Operante
Inicio de opera��o: 11/01/1970
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82042;11/01/1970;0000;29.5;26;73;;;;;
82042;11/01/1970;1200;26;24;84;;23;6.7;2;
82042;11/01/1970;1800;32;26;60;;23;9.3;6;
82042;12/01/1970;0000;29.5;26;73;;18;0.9;1;
82042;12/01/1970;1200;26.5;24.5;84;;23;9.3;6;
82042;12/01/1970;1800;26;25.2;92;;23;2.4;7;
82042;13/01/1970;0000;27;25.8;90;;0;0;4;
82042;13/01/1970;1200;25;23.5;87;;23;2.4;8;
82042;13/01/1970;1800;30;26;72;;18;0.9;5;
82042;14/01/1970;0000;25.5;24.5;92;;27;6.7;8;
82042;14/01/1970;1200;25.8;24;86;;23;6.7;6;
82042;14/01/1970;1800;30.5;25.8;69;;23;9.3;6;
82042;15/01/1970;0000;26.8;26;96;;0;0;6;
82042;15/01/1970;1200;25.2;23.2;84;;23;6.7;1;
82042;15/01/1970;1800;31.8;27;67;;5;6.7;5;
82042;16/01/1970;0000;27;25.5;88;;0;0;2;
82042;16/01/1970;1200;26.2;24.2;81;;23;6.7;8;
82042;16/01/1970;1800;28;26;84;;23;0.9;8;
82042;17/01/1970;0000;25.2;24.5;94;;36;4.4;8;
82042;17/01/1970;1200;23.8;21.5;83;;23;2.4;8;
82042;17/01/1970;1800;29.5;25.8;73;;23;2.4;8;
82042;18/01/1970;0000;26;24.2;86;;23;2.4;8;
82042;18/01/1970;1200;26.2;23.8;84;;23;2.4;5;
82042;18/01/1970;1800;32;26;61;;23;4.4;5;
82042;19/01/1970;0000;27.8;25.5;82;;23;0.9;8;
82042;19/01/1970;1200;25.5;23.5;84;;23;4.4;4;
82042;19/01/1970;1800;31.5;26.8;70;;23;4.4;5;
82042;20/01/1970;0000;25.2;24.8;96;;23;4.4;1;
82042;20/01/1970;1200;24.2;22.8;88;;18;9.3;7;
82042;20/01/1970;1800;31;24.5;54;;23;;7;
82042;21/01/1970;0000;25;24;92;;0;0;2;
82042;21/01/1970;1200;23;22.8;100;;23;4.4;8;
82042;21/01/1970;1800;29.2;25.2;71;;23;2.4;6;
82042;22/01/1970;0000;25.2;25;100;;0;0;6;
82042;22/01/1970;1200;24.2;23.8;98;;23;6.7;4;
82042;22/01/1970;1800;31.5;26;66;;23;6.7;5;
82042;23/01/1970;0000;25.8;24.5;86;;0;0;3;
82042;23/01/1970;1200;25.2;23;82;;23;4.4;2;
82042;23/01/1970;1800;32.2;25.5;57;;23;2.4;1;
82042;24/01/1970;0000;26.5;25;88;;0;0;1;
82042;24/01/1970;1200;25.8;23;77;;23;4.4;1;
82042;24/01/1970;1800;33;26;55;;23;4.4;3;
82042;25/01/1970;0000;27;25.5;88;;0;0;0;
82042;25/01/1970;1200;26.8;23.8;74;;23;9.3;3;
82042;25/01/1970;1800;27.8;24.5;75;;23;9.3;5;
82042;26/01/1970;0000;27.5;25.2;80;;0;0;4;
82042;26/01/1970;1200;25;22.5;77;;23;2.4;4;
82042;26/01/1970;1800;31.5;24.5;54;;23;9.3;6;
82042;27/01/1970;0000;27.5;25.8;86;;23;0.9;0;
82042;27/01/1970;1200;27.5;23.5;68;;23;6.7;1;
82042;27/01/1970;1800;32.8;25.5;55;;23;6.7;5;
82042;28/01/1970;0000;28;24.8;75;;0;0;0;
82042;28/01/1970;1200;25.5;22.8;78;;23;4.4;1;
82042;28/01/1970;1800;31.6;24.5;53;;23;9.3;6;
82042;29/01/1970;0000;28.8;26;79;;0;0;8;
82042;29/01/1970;1200;25.3;23.4;84;;23;4.4;7;
82042;29/01/1970;1800;30;25.2;66;;23;9.3;6;
82042;30/01/1970;0000;25.8;24.9;92;;23;0.9;0;
82042;30/01/1970;1200;24.7;22.7;81;;23;4.4;6;
82042;30/01/1970;1800;30.7;24.9;63;;23;12.3;6;
82042;31/01/1970;0000;27.6;24.3;74;;23;0.9;0;
82042;31/01/1970;1200;25.4;23.1;79;;23;0.9;7;
82042;31/01/1970;1800;31.2;25;58;;23;4.4;6;
82042;01/02/1970;0000;28.1;24.7;71;;27;4.4;0;
82042;01/02/1970;1200;25.5;23.5;84;;23;6.7;4;
