<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82067</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : IAUARETE - AM (OMM: 82067)
Latitude  (graus) : 0.61
Longitude (graus) : -69.18
Altitude  (metros): 120.00
Esta��o Operante
Inicio de opera��o: 16/07/1943
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82067;01/01/1961;0000;24;;;993.6;;0;1;
82067;01/01/1961;1200;23.8;23.2;95;995.8;14;2;8;
82067;01/01/1961;1800;29.9;27.6;84;993.2;36;2;8;
82067;02/01/1961;0000;23.1;22.6;96;994;0;0;9;
82067;02/01/1961;1200;22.8;22.6;99;997.2;36;1;9;
82067;02/01/1961;1800;31.4;27.8;75;993.8;36;2;8;
82067;03/01/1961;0000;23.8;23.3;96;994.4;0;0;1;
82067;03/01/1961;1200;22.8;22.5;98;997.5;9;2;9;
82067;03/01/1961;1800;28.4;25.8;80;995.9;36;2;8;
82067;04/01/1961;0000;23.7;23.3;96;995.2;36;4;1;
82067;04/01/1961;1200;23.3;22.9;96;995.8;0;0;1;
82067;04/01/1961;1800;26.1;25.4;94;995.8;27;2;9;
82067;05/01/1961;0000;24.7;24.2;96;992.6;0;0;2;
82067;05/01/1961;1200;23.3;22.5;93;995;36;1;5;
82067;05/01/1961;1800;31.4;27.2;71;993.2;36;2;0;
82067;06/01/1961;0000;24.1;23.2;92;993.2;36;1;9;
82067;06/01/1961;1200;23.4;23.1;97;995.8;36;1;9;
82067;06/01/1961;1800;31.2;27.8;76;993;36;4;7;
82067;07/01/1961;0000;25.8;24.9;92;992.8;0;0;9;
82067;07/01/1961;1200;24.8;24;94;996.2;14;2;8;
82067;07/01/1961;1800;25;24;92;994.2;36;1;8;
82067;08/01/1961;0000;26.3;24.9;89;992.3;0;0;6;
82067;08/01/1961;1200;24.2;23.7;96;995.8;0;0;9;
82067;08/01/1961;1800;30.8;27.2;74;993.8;36;1;7;
82067;09/01/1961;0000;25.6;24.9;94;992.3;0;0;8;
82067;09/01/1961;1200;23.8;23.4;97;994.6;0;0;9;
82067;09/01/1961;1800;32.4;29;77;991.8;9;2;6;
82067;10/01/1961;0000;24;23.4;95;993.6;18;1;1;
82067;10/01/1961;1200;23.6;23.2;97;996;32;1;1;
82067;10/01/1961;1800;30.4;27.6;80;993.8;27;1;6;
82067;11/01/1961;0000;24.4;23.9;96;993.1;36;1;1;
82067;11/01/1961;1200;23.6;23.3;97;996.6;18;1;1;
82067;11/01/1961;1800;24.4;24.1;98;995;27;1;1;
82067;12/01/1961;0000;24.6;23.9;94;993.9;0;0;9;
82067;12/01/1961;1200;23.7;23.4;97;996.3;18;1;1;
82067;12/01/1961;1800;27.9;25.7;84;994.3;32;1;9;
82067;13/01/1961;0000;26.5;25.6;93;993.1;0;0;8;
82067;13/01/1961;1200;24.2;23.7;96;995.8;14;2;9;
82067;13/01/1961;1800;26.8;25.1;87;993.1;9;1;9;
82067;14/01/1961;0000;24;23.6;97;994.6;0;0;1;
82067;14/01/1961;1200;24.3;23.5;94;995.2;9;1;0;
82067;14/01/1961;1800;27.2;26.6;95;993.2;14;2;1;
82067;15/01/1961;0000;24.3;23.9;97;992.3;36;1;1;
82067;15/01/1961;1200;23.4;23.1;97;995.8;0;0;8;
82067;15/01/1961;1800;29.9;26.9;78;993.2;14;2;1;
82067;16/01/1961;0000;24.3;23.8;96;993.6;36;1;5;
82067;16/01/1961;1200;23.4;22.9;95;997.4;9;2;1;
82067;16/01/1961;1800;25.3;24;90;996.4;18;1;1;
82067;17/01/1961;0000;23.6;22.9;94;995.2;18;1;7;
82067;17/01/1961;1200;23.4;23.1;97;997.8;14;1;6;
82067;17/01/1961;1800;31.8;27.9;73;994.7;32;1;7;
82067;18/01/1961;0000;25.3;24.6;95;995.2;0;0;7;
82067;18/01/1961;1200;23.9;23.5;97;998.3;14;1;9;
82067;18/01/1961;1800;31.4;28.2;78;995.5;18;1;8;
82067;19/01/1961;0000;24.1;23.7;97;996.2;5;1;1;
82067;19/01/1961;1200;23.8;23.5;98;998;18;1;1;
82067;19/01/1961;1800;26.9;25.7;91;995.9;36;1;9;
82067;20/01/1961;0000;24;23.6;97;996;0;0;1;
82067;20/01/1961;1200;24.3;23.9;97;998.2;0;0;0;
82067;20/01/1961;1800;29.4;27.2;84;995.2;18;2;7;
82067;21/01/1961;0000;24;23.6;97;997;32;2;1;
82067;21/01/1961;1200;23.2;22.5;94;991.5;18;1;1;
82067;21/01/1961;1800;29.2;26.6;81;997.8;23;1;9;
82067;22/01/1961;0000;25.8;24.8;92;997.4;0;0;7;
82067;22/01/1961;1200;24.4;24.1;98;1001.8;0;0;1;
82067;22/01/1961;1800;28.7;26.4;82;997.5;9;2;9;
82067;23/01/1961;0000;25.6;24.8;93;998.2;0;0;7;
82067;23/01/1961;1200;24.8;24.3;96;999.9;0;0;7;
82067;23/01/1961;1800;33.2;29.1;73;996.4;9;2;5;
82067;24/01/1961;0000;26.6;25.3;89;996.8;0;0;1;
82067;24/01/1961;1200;24.4;24;97;998.6;0;0;1;
82067;24/01/1961;1800;24.6;23.9;94;996;36;2;1;
82067;25/01/1961;0000;24.4;24.1;98;996;36;2;1;
82067;25/01/1961;1200;23.7;23.3;96;998.4;14;1;9;
82067;25/01/1961;1800;26.6;25.9;94;997.1;14;2;9;
82067;26/01/1961;0000;25.9;25.4;96;996.6;14;1;8;
82067;26/01/1961;1200;24.2;23.6;95;997.9;0;0;8;
82067;26/01/1961;1800;31.4;28.2;78;995.1;36;2;9;
82067;27/01/1961;0000;25.2;24.6;95;996.8;0;0;1;
82067;27/01/1961;1200;24.6;23.7;93;998.3;14;2;0;
82067;27/01/1961;1800;29.2;27.4;87;996.6;14;4;8;
82067;28/01/1961;0000;26.1;25.3;93;995.8;0;0;8;
82067;28/01/1961;1200;24.4;24;97;998.6;23;1;9;
82067;28/01/1961;1800;24.7;24;94;996.3;36;1;1;
82067;29/01/1961;0000;24.3;23.9;97;996.4;0;0;1;
82067;29/01/1961;1200;24;23.6;97;998.6;14;1;8;
82067;29/01/1961;1800;30.8;28.2;81;996.4;5;1;8;
82067;30/01/1961;0000;24.3;23.7;96;997.4;14;1;8;
82067;30/01/1961;1200;23.3;23;97;999;0;0;8;
82067;30/01/1961;1800;31.8;28.5;77;996.4;27;2;7;
82067;31/01/1961;0000;24.8;24.3;96;997.2;9;1;1;
82067;31/01/1961;1200;24.3;24;98;998.7;0;0;7;
82067;31/01/1961;1800;32.5;28.5;73;995.2;32;1;7;
82067;01/02/1961;0000;26.3;25.3;92;995.1;0;0;8;
82067;01/02/1961;1200;25;23.8;90;997;9;1;7;
82067;01/02/1961;1800;31.6;27.2;70;992.8;9;1;4;
82067;02/02/1961;0000;26.6;25.1;88;995;9;1;8;
82067;02/02/1961;1200;25.2;24.2;92;997.4;9;2;3;
82067;02/02/1961;1800;32;28.3;75;995;5;2;7;
82067;03/02/1961;0000;24.6;23.5;91;998;36;4;1;
82067;03/02/1961;1200;22.8;22.5;98;999.9;9;1;1;
82067;03/02/1961;1800;25.4;23.5;85;1000.8;9;1;1;
82067;04/02/1961;0000;22.7;22.2;95;998.8;0;0;9;
82067;04/02/1961;1200;22;21.6;96;1002;0;0;1;
82067;04/02/1961;1800;27.4;25.3;83;1000.6;9;1;9;
82067;05/02/1961;0000;23.6;22.7;93;1000.2;0;0;8;
82067;05/02/1961;1200;22.3;21.7;95;1000.2;5;1;9;
82067;05/02/1961;1800;30.6;27.2;76;997;32;1;8;
82067;06/02/1961;0000;25.9;24.7;91;996.3;0;0;2;
82067;06/02/1961;1200;25.4;24.2;91;997.4;9;1;3;
82067;06/02/1961;1800;31.8;28.2;76;996.3;36;2;6;
82067;07/02/1961;0000;26.1;24.7;89;995.8;5;4;0;
82067;07/02/1961;1200;24.3;23.6;95;998.6;0;0;1;
82067;07/02/1961;1800;30.2;25;64;997.5;0;0;7;
82067;08/02/1961;0000;25.2;24.4;93;996.4;0;0;5;
82067;08/02/1961;1200;23.6;23.2;97;998.4;5;1;9;
82067;08/02/1961;1800;25.8;24.3;88;996.8;27;1;9;
82067;09/02/1961;0000;25.3;24.7;96;995.5;18;1;6;
82067;09/02/1961;1200;21.9;21.5;96;998;18;4;1;
82067;09/02/1961;1800;22.1;21.7;96;998.7;9;1;1;
82067;10/02/1961;0000;22.4;22.1;97;999.5;5;1;1;
82067;10/02/1961;1200;21.6;21.3;97;999.2;9;1;9;
82067;10/02/1961;1800;30;26.8;77;997.2;9;2;7;
82067;11/02/1961;0000;24.3;23.7;96;996.4;0;0;2;
82067;11/02/1961;1200;24.8;24.2;96;999.8;0;0;9;
82067;11/02/1961;1800;31.2;27.3;73;997.8;18;1;7;
82067;12/02/1961;0000;25;24.4;95;995.6;0;0;0;
82067;12/02/1961;1200;22.1;21.8;97;1000;0;0;1;
82067;12/02/1961;1800;23.5;22.6;92;998.7;5;2;1;
82067;13/02/1961;0000;23.3;22.5;93;997.2;36;1;2;
82067;13/02/1961;1200;22.2;21.6;94;997.9;0;0;4;
82067;13/02/1961;1800;30.8;27.4;75;996;36;1;7;
82067;14/02/1961;0000;26;24.9;91;994.7;0;0;4;
82067;14/02/1961;1200;23.1;22.8;97;998.6;36;1;1;
82067;14/02/1961;1800;33.7;28.7;67;995;9;4;5;
