<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82095</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : PORTO PLATON - AP (OMM: 82095)
Latitude  (graus) : 0.7
Longitude (graus) : -51.45
Altitude  (metros): 83.93
Esta��o Desativada
Inicio de opera��o: 01/12/1967
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82095;01/12/1967;1200;27.6;24.5;77;;5;3;0.7;
82095;01/12/1967;1800;32.6;24.5;50;;5;3;1;
82095;02/12/1967;0000;25.8;22.7;76;;5;1;0;
82095;02/12/1967;1200;27.4;24.1;75;;5;3;1;
82095;02/12/1967;1800;33.3;24.7;47;;5;3;1;
82095;03/12/1967;0000;26.8;22.3;66;;5;1;0;
82095;03/12/1967;1200;28;23.7;68;;5;5;1;
82095;03/12/1967;1800;32.6;22.3;38;;5;5;0.8;
82095;04/12/1967;0000;25.6;22.7;77;;5;1;0;
82095;04/12/1967;1200;29.8;22.7;52;;5;3;0.8;
82095;04/12/1967;1800;32.8;22.9;40;;14;3;0.9;
82095;05/12/1967;0000;26.6;23.3;74;;14;1;0;
82095;05/12/1967;1200;26.4;23.9;80;;5;3;0.7;
82095;05/12/1967;1800;33.6;23.7;41;;32;1;1;
82095;06/12/1967;0000;26.8;23.7;76;;32;1;0;
82095;06/12/1967;1200;26.8;23.9;77;;5;1;1;
82095;06/12/1967;1800;33.6;24.7;46;;5;1;1;
82095;07/12/1967;0000;25.6;23.5;83;;5;3;0;
82095;07/12/1967;1200;28.2;24.1;70;;5;3;0.9;
82095;07/12/1967;1800;33.4;25.5;51;;5;1;1;
82095;08/12/1967;0000;26.8;23.5;74;;5;3;0;
82095;08/12/1967;1200;27.2;23.7;74;;5;9;0.8;
82095;08/12/1967;1800;33.4;24.3;45;;9;5;1;
82095;09/12/1967;0000;26;22.7;74;;5;3;0;
82095;09/12/1967;1200;27.4;23.3;70;;5;5;0.6;
82095;09/12/1967;1800;33;23.3;41;;5;3;0.9;
82095;10/12/1967;0000;26.6;23.7;78;;5;3;0;
82095;10/12/1967;1200;27.8;23.9;70;;5;3;0.9;
82095;10/12/1967;1800;32.4;23.5;44;;5;1;1;
82095;11/12/1967;0000;26.6;22.9;71;;5;3;0;
82095;11/12/1967;1200;27.8;24.5;75;;5;1;0.8;
82095;11/12/1967;1800;33.6;24.9;47;;14;3;1;
82095;12/12/1967;0000;27;23.9;76;;5;1;1;
82095;12/12/1967;1200;27.4;24.5;78;;5;3;0.8;
82095;12/12/1967;1800;29.2;25.3;72;;32;5;1;
82095;13/12/1967;0000;25.2;23.3;84;;5;1;1;
82095;13/12/1967;1200;26.8;24.1;79;;5;3;1;
82095;13/12/1967;1800;23.6;22.9;94;;5;12;1;
82095;14/12/1967;0000;22.2;21.5;93;;32;1;1;
82095;14/12/1967;1200;24;22.5;87;;32;1;1;
82095;14/12/1967;1800;30;25.7;70;;5;3;1;
82095;15/12/1967;0000;24.2;22.3;84;;0;0;1;
82095;15/12/1967;1200;24.8;23.3;88;;0;0;1;
82095;15/12/1967;1800;30.8;23.7;53;;5;1;1;
82095;16/12/1967;0000;26;23.7;82;;0;0;1;
82095;16/12/1967;1200;27.4;24.9;80;;5;3;1;
82095;16/12/1967;1800;28.6;24.3;68;;5;1;1;
82095;17/12/1967;0000;25;22.9;83;;0;0;1;
82095;17/12/1967;1200;27.6;24.3;75;;14;7;1;
82095;17/12/1967;1800;32;24.1;50;;9;7;1;
82095;18/12/1967;0000;26;23.3;78;;9;1;1;
82095;18/12/1967;1200;27.4;24.5;78;;5;1;1;
82095;18/12/1967;1800;24.2;23.3;92;;5;1;1;
82095;19/12/1967;0000;23.2;22.5;94;;0;0;1;
82095;19/12/1967;1200;24;22.9;90;;36;1;1;
82095;19/12/1967;1800;31.2;24.7;57;;5;1;1;
82095;20/12/1967;0000;24.8;23.9;93;;5;1;0;
82095;20/12/1967;1200;24.4;23.3;91;;0;0;1;
82095;20/12/1967;1800;32.8;25.1;52;;5;3;1;
82095;21/12/1967;0000;25;23.9;91;;32;1;0;
82095;21/12/1967;1200;24.8;23.7;92;;32;1;1;
82095;21/12/1967;1800;24.8;23.3;88;;14;1;1;
82095;22/12/1967;0000;24.2;23.5;94;;0;0;0.8;
82095;22/12/1967;1200;26;24.5;88;;5;1;1;
82095;22/12/1967;1800;30.6;24.9;61;;5;1;1;
82095;23/12/1967;0000;25.6;24.5;91;;0;0;0;
82095;23/12/1967;1200;26;24.5;88;;0;0;;
82095;23/12/1967;1800;31.8;24.9;55;;5;3;1;
82095;24/12/1967;0000;24.6;23.5;91;;0;0;0;
82095;24/12/1967;1200;;;;;;;1;
82095;25/12/1967;0000;26;24.1;85;;5;1;;
82095;25/12/1967;1200;25.4;24.1;90;;5;1;1;
82095;25/12/1967;1800;29.4;25.1;70;;0;0;1;
82095;26/12/1967;0000;24.6;23.7;93;;0;0;0;
82095;26/12/1967;1200;24.2;23.3;92;;32;1;1;
82095;26/12/1967;1800;30.2;25.1;65;;32;1;1;
82095;27/12/1967;0000;25.2;23.5;86;;5;1;0;
82095;27/12/1967;1200;24.2;23.1;91;;5;1;1;
82095;27/12/1967;1800;27.6;23.9;72;;5;5;1;
82095;28/12/1967;0000;23.6;22.9;94;;0;0;0;
82095;28/12/1967;1200;24;22.9;90;;32;1;1;
82095;28/12/1967;1800;30.2;23.9;57;;32;3;1;
82095;29/12/1967;0000;24.8;23.5;90;;0;0;0;
82095;29/12/1967;1200;25.8;23.5;82;;32;1;1;
