<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82098</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : MACAPA - AP (OMM: 82098)
Latitude  (graus) : -0.05
Longitude (graus) : -51.11
Altitude  (metros): 14.46
Esta��o Operante
Inicio de opera��o: 01/01/1925
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82098;01/12/1967;1200;29.4;25.4;71;;5;3;0.7;
82098;01/12/1967;1800;32.4;25.4;55;;5;5;0.6;
82098;02/12/1967;0000;27.4;24.2;76;;5;5;0;
82098;02/12/1967;1200;28.4;25;75;;5;5;0.8;
82098;02/12/1967;1800;32;25.2;56;;5;5;0.9;
82098;03/12/1967;0000;27.4;24;74;;5;5;0;
82098;03/12/1967;1200;28.4;24.4;71;;5;5;0.9;
82098;03/12/1967;1800;31.4;23.2;47;;5;7;0.7;
82098;04/12/1967;0000;26.2;23.4;78;;5;3;0;
82098;04/12/1967;1200;27.4;24.4;77;;5;3;0.9;
82098;04/12/1967;1800;32.4;24.4;49;;5;3;0.9;
82098;05/12/1967;0000;27.2;24.3;78;;5;3;0;
82098;05/12/1967;1200;28.2;24.4;72;;32;1;0.8;
82098;05/12/1967;1800;33;24.4;47;;14;5;0.7;
82098;06/12/1967;0000;27.4;24.4;77;;5;5;0.9;
82098;06/12/1967;1200;28.2;25;76;;5;3;1;
82098;06/12/1967;1800;32.2;25.2;55;;5;5;0.8;
82098;07/12/1967;0000;27.2;24.3;78;;5;5;0.4;
82098;07/12/1967;1200;28.2;24.4;72;;5;5;1;
82098;07/12/1967;1800;34;25.3;47;;5;3;0.7;
82098;08/12/1967;0000;27.2;24.2;78;;5;5;0.6;
82098;08/12/1967;1200;28.2;24.4;72;;5;5;0.7;
82098;08/12/1967;1800;32;24.4;51;;5;5;0.5;
82098;09/12/1967;0000;27.2;23.2;70;;5;5;0.4;
82098;09/12/1967;1200;28.4;24.2;70;;5;5;0.7;
82098;09/12/1967;1800;32;23.2;45;;5;5;0.4;
82098;10/12/1967;0000;27;24.2;79;;5;3;0;
82098;10/12/1967;1200;29;24.3;66;;5;5;0.7;
82098;10/12/1967;1800;32;24.2;50;;5;5;0.6;
82098;11/12/1967;0000;28;24.2;72;;5;5;1;
82098;11/12/1967;1200;29.2;25;70;;5;5;0.8;
82098;11/12/1967;1800;32.3;25.3;55;;5;3;0.6;
82098;12/12/1967;0000;27.4;24.1;75;;5;5;0.3;
82098;12/12/1967;1200;28;25;77;;5;3;1;
82098;12/12/1967;1800;33;25;50;;5;5;0.4;
82098;13/12/1967;0000;28;24;70;;5;5;1;
82098;13/12/1967;1200;28;24.4;73;;5;3;1;
82098;13/12/1967;1800;26.4;24.4;84;;32;1;1;
82098;14/12/1967;0000;23.4;22.2;90;;32;3;1;
82098;14/12/1967;1200;24.2;22.4;85;;0;0;1;
82098;14/12/1967;1800;31.2;25.1;60;;5;7;0.9;
82098;15/12/1967;0000;24;22.1;84;;32;1;1;
82098;15/12/1967;1200;26;24;84;;32;3;1;
82098;15/12/1967;1800;31.2;25.1;60;;5;5;0.9;
82098;16/12/1967;0000;27.4;24.2;76;;5;5;1;
82098;16/12/1967;1200;29;25.1;72;;5;5;0.8;
82098;16/12/1967;1800;32.3;25.4;55;;5;7;0.8;
82098;17/12/1967;0000;28;24.2;72;;5;9;0.6;
82098;17/12/1967;1200;29.2;25;70;;5;5;0.8;
82098;17/12/1967;1800;32;25;55;;5;5;1;
82098;18/12/1967;0000;28;24.2;72;;5;5;0.5;
82098;18/12/1967;1200;29.3;25.3;71;;5;3;1;
82098;18/12/1967;1800;25.2;24.2;92;;5;3;1;
82098;19/12/1967;0000;24.1;23.4;94;;32;3;0;
82098;19/12/1967;1200;25.3;23.4;85;;32;3;1;
82098;19/12/1967;1800;32;26.1;61;;5;3;0.8;
82098;20/12/1967;0000;27;24.3;79;;5;3;0;
82098;20/12/1967;1200;27.3;24.4;78;;5;5;1;
82098;20/12/1967;1800;32.3;24.4;50;;5;3;0.9;
82098;21/12/1967;0000;27;24.2;79;;32;3;0;
82098;21/12/1967;1200;29.1;25.2;71;;5;3;1;
82098;21/12/1967;1800;31;25.2;61;;5;5;1;
82098;22/12/1967;0000;26.3;24.4;85;;36;3;0;
82098;22/12/1967;1200;26.2;25;90;;36;3;1;
82098;22/12/1967;1800;29.2;25;70;;5;3;1;
82098;23/12/1967;0000;24;23.2;93;;5;1;0;
82098;23/12/1967;1200;27;25.2;86;;36;3;1;
82098;23/12/1967;1800;30.2;26;71;;5;3;1;
82098;24/12/1967;0000;26.1;24.3;85;;5;1;0;
82098;24/12/1967;1200;27;24.4;80;;5;3;1;
82098;24/12/1967;1800;32;25;55;;5;5;1;
82098;25/12/1967;0000;27.2;25;83;;5;5;0;
82098;25/12/1967;1200;27.2;25;83;;5;3;1;
82098;25/12/1967;1800;29.2;24.4;66;;5;3;1;
82098;26/12/1967;0000;27.2;24;76;;5;5;0;
82098;26/12/1967;1200;27.1;24.3;78;;32;3;1;
82098;26/12/1967;1800;29.4;25.2;70;;5;3;1;
82098;27/12/1967;0000;26.3;24;82;;5;1;0;
82098;27/12/1967;1200;26;24.2;86;;32;3;1;
82098;27/12/1967;1800;25;24.1;93;;36;3;1;
82098;28/12/1967;0000;24.1;22.2;84;;5;1;0;
82098;28/12/1967;1200;25;23.2;86;;32;3;1;
82098;28/12/1967;1800;30;23.2;54;;5;5;1;
82098;29/12/1967;0000;26.1;24.2;85;;0;0;0;
82098;29/12/1967;1200;27;24;77;;32;5;1;
82098;29/12/1967;1800;27.4;25.1;82;;5;3;1;
82098;30/12/1967;0000;24.3;23;89;;5;3;0;
82098;30/12/1967;1200;25;23.4;87;;5;1;1;
82098;30/12/1967;1800;28;25;77;;5;3;1;
82098;31/12/1967;0000;25.1;24;91;;5;1;0;
82098;31/12/1967;1200;25;23.2;86;;5;1;1;
82098;31/12/1967;1800;25;23.4;87;;0;0;1;
82098;01/01/1968;0000;24;23.3;94;;5;1;0;
82098;01/01/1968;1200;25.2;24.1;91;;32;3;1;
82098;01/01/1968;1800;31;26;65;;9;3;0.9;
82098;02/01/1968;0000;24;23.3;94;;32;1;;
82098;02/01/1968;1200;22.4;22;96;;36;1;1;
82098;02/01/1968;1800;28.3;25.4;78;;5;5;1;
82098;03/01/1968;0000;23;22.1;92;;5;9;;
82098;03/01/1968;1200;23.4;23;96;;32;3;1;
82098;03/01/1968;1800;30;25.2;66;;5;3;1;
82098;04/01/1968;0000;22.3;22;97;;5;3;;
82098;04/01/1968;1200;24.2;23;90;;5;1;1;
82098;04/01/1968;1800;31.1;26.1;66;;5;3;0.9;
82098;05/01/1968;0000;26.2;24.2;85;;5;1;;
82098;05/01/1968;1200;26.3;24.3;84;;5;3;1;
82098;05/01/1968;1800;30.4;25;63;;5;5;0.9;
82098;06/01/1968;0000;27;24.3;79;;5;3;1;
82098;06/01/1968;1200;25.2;24.1;91;;36;3;1;
82098;06/01/1968;1800;30.3;25;63;;5;3;0.8;
82098;07/01/1968;0000;26.4;24.2;83;;5;3;1;
82098;07/01/1968;1200;26.4;24;81;;36;3;0.4;
82098;07/01/1968;1800;31.3;24;52;;5;3;0.4;
82098;08/01/1968;0000;27;24.3;79;;5;3;0.2;
82098;08/01/1968;1200;27;24;77;;5;3;0.8;
82098;08/01/1968;1800;31.3;25.2;59;;5;5;0.4;
82098;09/01/1968;0000;27.1;24.3;78;;5;5;0.9;
82098;09/01/1968;1200;25;24;92;;5;1;1;
82098;09/01/1968;1800;31;26;66;;5;3;0.9;
82098;10/01/1968;0000;26.2;24;83;;5;3;0.8;
82098;10/01/1968;1200;26.2;25;90;;5;3;1;
82098;10/01/1968;1800;31;25;60;;5;3;0.4;
82098;11/01/1968;0000;27;24.2;79;;5;3;0.2;
82098;11/01/1968;1200;27.2;25;83;;5;3;0.9;
82098;11/01/1968;1800;31.4;25.2;59;;5;5;0.5;
82098;12/01/1968;0000;27;24;77;;5;5;0.2;
82098;12/01/1968;1200;27.3;25;82;;5;5;0.9;
82098;12/01/1968;1800;31.2;25.3;61;;5;7;0.4;
82098;13/01/1968;0000;26;23.3;78;;5;3;0.5;
82098;13/01/1968;1200;26.3;24.1;82;;36;3;0.9;
82098;13/01/1968;1800;30.4;25;63;;5;3;0.9;
82098;14/01/1968;0000;27.2;24.4;79;;5;3;1;
82098;14/01/1968;1200;26.4;24.4;84;;5;3;1;
82098;14/01/1968;1800;31.2;25.1;60;;5;5;0.5;
82098;15/01/1968;0000;27.1;24.2;78;;5;5;0.9;
82098;15/01/1968;1200;26.2;24.2;85;;5;3;1;
82098;15/01/1968;1800;30.2;25;64;;5;5;1;
82098;16/01/1968;0000;27.1;24.1;77;;5;5;1;
82098;16/01/1968;1200;27;24.4;80;;5;1;1;
82098;16/01/1968;1800;28.3;24.4;71;;5;3;1;
82098;17/01/1968;0000;27;23.2;71;;5;7;1;
82098;17/01/1968;1200;28.3;25;75;;5;3;0.5;
82098;17/01/1968;1800;32.2;25;54;;5;3;1;
82098;18/01/1968;0000;27.3;24.3;77;;5;5;0.7;
82098;18/01/1968;1200;27.3;24.4;78;;5;3;0.9;
82098;18/01/1968;1800;32;25;55;;5;3;0.4;
82098;19/01/1968;0000;27.2;24.1;77;;5;3;;
82098;19/01/1968;1200;26.4;24.4;84;;5;1;1;
82098;19/01/1968;1800;31.4;25.3;60;;5;5;0.8;
82098;20/01/1968;0000;27.1;24.2;78;;5;5;;
82098;20/01/1968;1200;28;25.2;79;;5;5;0.9;
82098;20/01/1968;1800;31.4;25.1;59;;5;7;0.4;
82098;21/01/1968;0000;27.3;24.2;77;;0;5;;
82098;21/01/1968;1200;28.2;25.1;77;;36;1;0.9;
82098;21/01/1968;1800;32;25.3;57;;5;3;0.6;
82098;22/01/1968;0000;27.2;24.4;79;;5;5;;
82098;22/01/1968;1200;28;25.2;79;;5;3;0.9;
82098;22/01/1968;1800;32.1;25.2;55;;5;5;0.7;
82098;23/01/1968;0000;27.1;24.2;78;;5;3;;
82098;23/01/1968;1200;29;25.3;73;;5;3;1;
82098;23/01/1968;1800;23;22.2;93;;5;9;1;
82098;24/01/1968;0000;23.2;22.2;91;;0;0;;
82098;24/01/1968;1200;24;23.1;92;;5;1;1;
82098;24/01/1968;1800;30.2;25.3;66;;14;1;1;
82098;25/01/1968;0000;24;23;91;;5;1;;
82098;25/01/1968;1200;25.2;24.2;92;;36;1;1;
82098;25/01/1968;1800;27.1;24.3;78;;14;1;1;
82098;26/01/1968;0000;25.4;24;89;;5;3;;
82098;26/01/1968;1200;27.1;24;76;;5;3;1;
82098;26/01/1968;1800;27;25.2;86;;5;1;1;
82098;27/01/1968;0000;26.2;25;90;;5;3;;
82098;27/01/1968;1200;25.4;24.3;91;;5;3;1;
82098;27/01/1968;1800;25;23.1;85;;9;3;1;
82098;28/01/1968;0000;25;23.3;86;;5;5;;
82098;28/01/1968;1200;25;23.1;85;;36;3;1;
82098;28/01/1968;1800;25.3;24;90;;14;5;1;
82098;29/01/1968;0000;24;23.1;92;;5;3;;
82098;29/01/1968;1200;25.2;24.1;91;;5;1;1;
82098;29/01/1968;1800;25;23.1;85;;5;1;1;
82098;30/01/1968;0000;24;23.2;93;;5;1;;
82098;30/01/1968;1200;24;23.2;93;;5;1;1;
82098;30/01/1968;1800;29.3;24.2;64;;5;3;1;
82098;31/01/1968;0000;24.3;23.1;90;;14;3;;
82098;31/01/1968;1200;26;24;84;;14;3;1;
82098;31/01/1968;1800;30.3;23.2;52;;5;5;1;
82098;01/02/1968;0000;26.3;24.3;84;;9;3;;
82098;01/02/1968;1200;27.1;24.4;79;;5;3;1;
82098;01/02/1968;1800;31.1;26.1;66;;5;5;1;
82098;02/02/1968;0000;25.2;24.3;92;;32;1;;
82098;02/02/1968;1200;27.1;25;83;;32;3;1;
82098;02/02/1968;1800;32.1;25.1;55;;5;1;1;
82098;03/02/1968;0000;24.3;23.4;93;;36;1;;
82098;03/02/1968;1200;25.4;24;89;;5;3;1;
82098;03/02/1968;1800;31.4;25.3;60;;5;3;0.4;
82098;04/02/1968;0000;27.2;25.1;84;;5;3;;
82098;04/02/1968;1200;27.2;25.1;84;;5;3;1;
82098;04/02/1968;1800;28.3;25.2;77;;5;1;1;
82098;05/02/1968;0000;26.4;25;89;;5;1;;
82098;05/02/1968;1200;28;26;85;;5;3;0.9;
82098;05/02/1968;1800;31.4;25.4;60;;5;3;0.8;
82098;06/02/1968;0000;27.2;24.3;78;;5;3;;
82098;06/02/1968;1200;27.2;25.2;85;;5;1;1;
82098;06/02/1968;1800;28.2;24.3;71;;5;3;1;
82098;07/02/1968;0000;26.2;24;83;;5;1;;
82098;07/02/1968;1200;27;25;84;;5;1;0.9;
82098;07/02/1968;1800;31.4;25.3;60;;23;1;1;
82098;08/02/1968;0000;27.1;24.4;79;;5;3;1;
82098;08/02/1968;1200;27.1;24.2;78;;5;3;1;
82098;08/02/1968;1800;29.3;25.4;71;;5;3;1;
82098;09/02/1968;0000;26;24.3;86;;5;1;1;
82098;09/02/1968;1200;26.3;24.4;85;;5;3;1;
82098;09/02/1968;1800;30;25;65;;5;5;0.8;
82098;10/02/1968;0000;25;23.2;86;;5;3;0.3;
82098;10/02/1968;1200;25.3;23.4;85;;36;5;1;
