<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82099</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : MACAPA - AEROPORTO - AP (OMM: 82099)
Latitude  (graus) : 0.05
Longitude (graus) : -51.07
Altitude  (metros): 17.00
Esta��o Operante
Inicio de opera��o: 12/04/1982
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82099;01/01/2015;0000;26.8;;78;1010.5;4;4.11552;10;
82099;01/01/2015;0600;25;;96;1009.4;34;1.54332;6.25;
82099;01/01/2015;1200;26.8;;85;1012.3;3;2.05776;8.75;
82099;01/01/2015;1800;33.9;;56;1008.8;7;5.1444;7.5;
82099;02/01/2015;0000;27.9;;76;1010.4;5;5.1444;8.75;
82099;02/01/2015;0600;25.8;;90;1009.4;34;1.54332;8.75;
82099;02/01/2015;1200;29.5;;73;1011.4;1;4.62996;7.5;
82099;02/01/2015;1800;;;45;1009.4;10;6.17328;8.75;
82099;03/01/2015;0000;28.4;;73;1010.6;5;4.11552;6.25;
82099;03/01/2015;0600;25;;94;1008.8;34;2.5722;3.75;
82099;03/01/2015;1200;28.3;;76;1012;2;4.11552;6.25;
82099;03/01/2015;1800;34.3;;50;1008.8;11;4.62996;3.75;
82099;04/01/2015;0000;28.7;;70;1010.6;6;5.1444;0;
82099;04/01/2015;0600;26;;83;1010.4;3;3.60108;6.25;
82099;04/01/2015;1200;29.7;;68;1012;2;5.1444;3.75;
82099;04/01/2015;1800;34.2;;50;1008.8;10;6.68772;3.75;
82099;05/01/2015;0000;26.1;;92;1011.6;2;2.05776;10;
82099;05/01/2015;0600;24.8;;98;1010.4;1;2.05776;10;
82099;05/01/2015;1200;;;97;1014;18;3.60108;10;
82099;05/01/2015;1800;27.4;;77;1011.8;34;2.05776;8.75;
82099;06/01/2015;0000;25;;86;1012.2;2;2.5722;8.75;
82099;06/01/2015;0600;23.6;;93;1010.8;34;1.54332;10;
82099;06/01/2015;1200;27;;82;1013.1;3;3.08664;8.75;
82099;06/01/2015;1800;33;;51;1010;9;3.60108;7.5;
82099;07/01/2015;0000;26.5;;82;1011.4;35;1.02888;5;
82099;07/01/2015;0600;23.7;;97;1010.4;32;1.54332;0;
82099;07/01/2015;1200;28.5;;77;1011.9;33;3.60108;5;
82099;07/01/2015;1800;33.6;;53;1008.3;10;5.1444;3.75;
82099;08/01/2015;0000;27.6;;80;1009.4;4;3.08664;2.5;
82099;08/01/2015;0600;26.3;;88;1009.1;2;2.05776;3.75;
82099;08/01/2015;1200;28.4;;79;1011;4;3.08664;6.25;
82099;08/01/2015;1800;33.9;;52;1008;9;6.17328;6.25;
