<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82105</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : RIO ICANA - AM (OMM: 82105)
Latitude  (graus) : 1.03
Longitude (graus) : -67.53
Altitude  (metros): 90.00
Esta��o Fechada
Inicio de opera��o: 01/01/1964
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82105;01/02/1964;0000;24.8;23.1;86;;;;;
82105;01/02/1964;1200;24.5;23.9;95;;0;0;10;
82105;01/02/1964;1800;31;26.7;70;;23;1;6;
82105;02/02/1964;0000;24.8;23.1;86;;0;0;10;
82105;02/02/1964;1200;25;24.5;96;;0;0;8;
82105;02/02/1964;1800;31.5;26.9;68;;0;0;4;
82105;03/02/1964;0000;25.2;24.2;92;;0;0;8;
82105;03/02/1964;1200;26.3;25.8;96;;0;0;8;
82105;03/02/1964;1800;32.1;27.1;67;;9;2;9;
82105;04/02/1964;0000;27.3;25.7;88;;0;0;4;
82105;04/02/1964;1200;25;24.2;94;;0;0;10;
82105;04/02/1964;1800;26.1;23.7;81;;32;1;10;
82105;05/02/1964;0000;24;23.6;97;;0;0;9;
82105;05/02/1964;1200;24.4;23.4;92;;0;0;10;
82105;05/02/1964;1800;28.5;25.7;79;;32;1;7;
82105;06/02/1964;0000;26.3;25.5;94;;0;0;3;
82105;06/02/1964;1200;26.1;24.9;90;;0;0;10;
82105;06/02/1964;1800;32.1;26.4;62;;5;2;9;
82105;07/02/1964;0000;27.5;26.2;90;;36;2;10;
82105;07/02/1964;1200;26.9;25.5;89;;0;0;9;
82105;07/02/1964;1800;33.1;26.4;57;;0;0;10;
82105;08/02/1964;0000;28.1;26.6;88;;0;0;3;
82105;08/02/1964;1200;25.9;25;93;;0;0;8;
82105;08/02/1964;1800;29.9;26.4;75;;32;1;9;
82105;09/02/1964;0000;27.5;26.2;90;;0;0;4;
82105;09/02/1964;1200;25.4;24.4;92;;0;0;8;
82105;09/02/1964;1800;34;27.1;57;;5;2;5;
82105;10/02/1964;0000;27;25.5;88;;0;0;3;
82105;10/02/1964;1200;27.1;25.3;85;;0;0;7;
82105;10/02/1964;1800;34.1;26.5;53;;36;2;5;
82105;11/02/1964;0000;27.5;25.9;87;;0;0;3;
82105;11/02/1964;1200;26.5;24;80;;36;1;9;
82105;11/02/1964;1800;34.4;26.9;54;;0;0;8;
82105;12/02/1964;0000;27.7;25.8;85;;0;0;5;
82105;12/02/1964;1200;25.2;23.8;88;;0;0;10;
82105;12/02/1964;1800;33.9;26.6;54;;36;2;7;
82105;13/02/1964;0000;25.4;24.2;91;;0;0;4;
82105;13/02/1964;1200;26.3;24.9;89;;0;0;7;
82105;13/02/1964;1800;25;24.1;93;;0;0;10;
82105;14/02/1964;0000;26.7;25.4;89;;0;0;7;
82105;14/02/1964;1200;27.7;25.1;80;;0;0;5;
82105;14/02/1964;1800;34.5;26.5;51;;0;0;4;
82105;15/02/1964;0000;26.3;24;82;;5;3;10;
82105;15/02/1964;1200;26.3;25.2;92;;0;0;10;
82105;15/02/1964;1800;32.9;28;68;;0;0;8;
82105;16/02/1964;0000;22.9;22.4;96;;0;0;10;
82105;16/02/1964;1200;26.1;24.9;90;;27;1;10;
82105;16/02/1964;1800;31.3;25.8;63;;18;1;9;
