<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82143</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : SALINOPOLIS  1  - PA (OMM: 82143)
Latitude  (graus) : -0.61
Longitude (graus) : -47.35
Altitude  (metros): 26.00
Esta��o Operante
Inicio de opera��o: 01/09/1978
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82143;01/01/2015;0000;27;25;85;;1;4.11552;8.75;
82143;01/01/2015;1200;28;25;79;;35;4.11552;10;
82143;01/01/2015;1800;29;25;72;;1;3.60108;7.5;
82143;02/01/2015;0000;27;25;85;;36;3.08664;7.5;
82143;02/01/2015;1800;29;25;72;;1;3.08664;7.5;
82143;03/01/2015;1200;28;25;79;;32;5.1444;8.75;
82143;03/01/2015;1800;28;25;79;;33;4.11552;7.5;
82143;04/01/2015;0000;27;24;78;;33;3.08664;7.5;
82143;04/01/2015;1800;30;26;73;;34;4.11552;7.5;
82143;05/01/2015;0000;25;24;92;;30;4.11552;10;
82143;05/01/2015;1200;24;23;92;;6;1.02888;10;
82143;05/01/2015;1800;22;21;92;;14;1.02888;10;
82143;06/01/2015;1800;29;25;72;;3;2.05776;7.5;
82143;07/01/2015;0000;26;24;85;;1;4.11552;7.5;
82143;07/01/2015;1200;28;24;72;;2;6.17328;6.25;
82143;07/01/2015;1800;29;25;72;;3;8.23104;6.25;
82143;08/01/2015;1200;26;24;85;;1;2.05776;3.75;
82143;08/01/2015;1800;29;25;72;;2;5.1444;3.75;
82143;09/01/2015;0000;27;24;78;;2;6.17328;2.5;
82143;09/01/2015;1800;29;26;79;;36;4.11552;5;
82143;10/01/2015;1200;29;26;79;;34;5.1444;7.5;
82143;12/01/2015;1200;28;24;72;;36;5.1444;8.75;
82143;13/01/2015;0000;27;24;78;;3;2.05776;3.75;
82143;13/01/2015;1200;29;26;79;;36;3.08664;6.25;
82143;13/01/2015;1800;29;26;79;;2;5.1444;5;
82143;14/01/2015;0000;27;25;85;;36;5.1444;5;
82143;14/01/2015;1200;28;25;79;;4;5.1444;6.25;
82143;14/01/2015;1800;29;26;79;;3;8.23104;6.25;
82143;15/01/2015;1200;29;25;72;;2;2.05776;6.25;
82143;15/01/2015;1800;29;25;72;;1;6.17328;7.5;
82143;16/01/2015;0000;27;25;78;;1;5.1444;5;
82143;16/01/2015;1200;29;25;72;;2;2.05776;7.5;
82143;16/01/2015;1800;29;25;72;;1;4.11552;6.25;
82143;17/01/2015;0000;27;24;78;;2;4.11552;8.75;
82143;17/01/2015;1200;29;25;72;;36;3.08664;6.25;
82143;17/01/2015;1800;30;25;67;;36;4.11552;3.75;
82143;18/01/2015;0000;27;25;85;;2;4.11552;3.75;
82143;18/01/2015;1200;29;25;72;;34;2.5722;5;
82143;18/01/2015;1800;29;25;72;;2;4.11552;7.5;
82143;19/01/2015;1200;29;25;72;;2;4.11552;7.5;
82143;20/01/2015;1200;28;25;79;;2;4.11552;6.25;
82143;20/01/2015;1800;30;26;73;;1;4.62996;6.25;
82143;21/01/2015;1200;28;25;79;;3;2.05776;6.25;
82143;22/01/2015;0000;27;25;85;;1;6.17328;6.25;
82143;23/01/2015;0000;27;25;85;;1;4.11552;5;
82143;23/01/2015;1200;28;25;79;;3;5.1444;8.75;
82143;23/01/2015;1800;29;25;72;;2;3.08664;8.75;
82143;24/01/2015;0000;27;24;78;;1;6.17328;6.25;
82143;24/01/2015;1200;28;24;72;;1;5.1444;7.5;
82143;24/01/2015;1800;29;24;66;;2;3.08664;7.5;
82143;25/01/2015;0000;27;24;78;;2;3.08664;6.25;
82143;25/01/2015;0600;26;23;78;;2;4.11552;5;
82143;25/01/2015;1200;28;25;79;;3;5.1444;5;
82143;25/01/2015;1800;29;25;72;;1;5.1444;7.5;
82143;26/01/2015;0000;27;24;78;;3;5.1444;8.75;
82143;26/01/2015;1200;27;25;85;;11;1.54332;10;
82143;27/01/2015;0000;27;25;85;;1;4.11552;10;
82143;27/01/2015;1200;29;25;72;;2;2.05776;6.25;
82143;27/01/2015;1800;30;26;73;;1;3.08664;6.25;
82143;28/01/2015;0000;27;25;85;;1;3.08664;7.5;
82143;28/01/2015;1200;28;25;79;;1;2.05776;5;
82143;28/01/2015;1800;30;26;73;;1;5.1444;5;
82143;29/01/2015;0000;27;25;85;;1;3.08664;5;
82143;29/01/2015;0600;26;24;85;;1;3.08664;2.5;
82143;29/01/2015;1200;29;26;79;;1;3.08664;7.5;
82143;29/01/2015;1800;29;25;72;;2;4.11552;5;
82143;30/01/2015;0000;27;24;78;;1;4.11552;3.75;
82143;30/01/2015;1200;29;25;72;;35;3.08664;5;
82143;30/01/2015;1800;30;26;73;;33;5.1444;7.5;
82143;31/01/2015;0000;27;25;85;;1;3.08664;2.5;
82143;31/01/2015;1200;28;25;79;;1;4.11552;6.25;
82143;31/01/2015;1800;29;25;72;;1;3.08664;3.75;
82143;01/02/2015;0000;27;25;85;;1;2.5722;6.25;
82143;01/02/2015;1200;29;26;79;;2;2.5722;5;
82143;02/02/2015;0000;27;25;85;;1;3.08664;6.25;
82143;02/02/2015;1200;27;25;85;;5;2.5722;8.75;
82143;03/02/2015;0000;27;25;85;;34;4.11552;10;
82143;03/02/2015;1200;23;22;100;;9;7.20216;10;
82143;04/02/2015;0000;26;25;92;;36;4.11552;10;
82143;04/02/2015;0600;25;23;84;;1;3.08664;10;
82143;04/02/2015;1800;27;25;85;;33;5.1444;10;
82143;05/02/2015;0000;27;24;78;;13;;3.75;
82143;05/02/2015;1200;29;26;79;;35;3.08664;6.25;
82143;05/02/2015;1800;30;26;79;;35;1.54332;6.25;
82143;06/02/2015;1200;28;25;79;;33;3.08664;8.75;
82143;06/02/2015;1800;30;26;73;;30;3.08664;6.25;
82143;07/02/2015;0000;26;25;92;;30;2.5722;6.25;
82143;07/02/2015;1200;25;24;92;;9;4.11552;10;
82143;07/02/2015;1800;24;23;94;;5;5.1444;10;
82143;08/02/2015;1200;27;25;87;;2;2.5722;7.5;
82143;09/02/2015;1200;27;26;93;;35;2.05776;7.5;
82143;09/02/2015;1800;29;26;79;;1;2.05776;10;
82143;10/02/2015;1200;28;25;79;;34;2.05776;7.5;
82143;11/02/2015;0000;27;25;85;;35;2.05776;8.75;
82143;11/02/2015;1200;28;25;79;;2;3.08664;7.5;
82143;12/02/2015;0000;27;25;85;;1;7.20216;2.5;
82143;12/02/2015;1800;29;26;79;;1;5.1444;3.75;
82143;13/02/2015;0000;27;25;85;;1;5.1444;3.75;
82143;13/02/2015;1200;29;26;79;;1;5.1444;6.25;
82143;14/02/2015;0000;27;25;85;;1;4.11552;8.75;
82143;14/02/2015;1200;29;26;79;;25;;3.75;
82143;14/02/2015;1800;30;26;73;;3;4.11552;5;
82143;15/02/2015;0000;27;25;85;;2;3.08664;8.75;
82143;15/02/2015;1200;29;25;72;;3;6.17328;3.75;
82143;16/02/2015;0000;27;25;85;;2;6.17328;3.75;
82143;16/02/2015;1200;28;25;79;;3;4.11552;6.25;
82143;16/02/2015;1800;30;26;73;;1;8.23104;2.5;
82143;17/02/2015;1800;29;26;79;;1;5.1444;8.75;
82143;18/02/2015;1200;27;25;85;;35;3.08664;10;
82143;19/02/2015;0000;25;24;92;;7;2.05776;10;
82143;19/02/2015;1200;24;23;92;;9;2.05776;10;
82143;19/02/2015;1800;28;25;79;;3;4.11552;10;
82143;20/02/2015;0000;27;24;78;;3;2.05776;8.75;
82143;20/02/2015;1200;26;24;85;;9;3.08664;8.75;
82143;20/02/2015;1800;28;25;79;;3;3.08664;8.75;
82143;21/02/2015;0000;25;24;92;;2;2.05776;10;
82143;21/02/2015;1800;27;23;71;;3;5.1444;8.75;
82143;22/02/2015;0600;24;23;92;;9;3.08664;10;
82143;22/02/2015;1200;25;23;84;;9;3.08664;8.75;
82143;22/02/2015;1800;27;25;85;;4;2.05776;10;
82143;23/02/2015;0000;22;21;92;;35;1.02888;10;
82143;23/02/2015;0600;22;21;92;;12;2.05776;8.75;
82143;24/02/2015;0600;24;23;92;;6;2.05776;10;
82143;24/02/2015;1800;25;24;92;;3;4.11552;10;
82143;25/02/2015;0000;24;23;92;;1;6.17328;10;
82143;25/02/2015;1200;26;25;92;;2;3.08664;7.5;
82143;25/02/2015;1800;29;25;79;;1;6.17328;6.25;
82143;26/02/2015;0000;27;24;78;;1;5.1444;6.25;
82143;26/02/2015;0600;25;24;92;;1;3.08664;10;
82143;26/02/2015;1200;27;25;85;;3;4.11552;7.5;
82143;26/02/2015;1800;30;25;67;;35;5.1444;6.25;
82143;27/02/2015;0000;27;25;85;;2;3.08664;6.25;
82143;27/02/2015;0600;26;24;85;;1;3.08664;5;
82143;27/02/2015;1200;28;25;79;;34;4.11552;8.75;
82143;27/02/2015;1800;29;26;79;;35;2.5722;8.75;
82143;28/02/2015;0000;27;25;85;;33;2.05776;10;
82143;28/02/2015;0600;26;24;85;;36;2.05776;10;
82143;28/02/2015;1200;26;25;92;;3;0.51444;8.75;
82143;28/02/2015;1800;29;26;79;;32;3.08664;8.75;
82143;01/03/2015;0000;23;22;92;;9;10.2888;10;
82143;01/03/2015;1200;28;26;85;;34;4.62996;6.25;
82143;01/03/2015;1800;27;25;85;;35;5.1444;8.75;
82143;02/03/2015;0000;26;25;92;;1;2.05776;10;
82143;02/03/2015;1800;26;25;92;;34;4.11552;10;
82143;03/03/2015;0000;26;25;92;;1;2.05776;10;
82143;03/03/2015;0600;24;23;92;;4;1.02888;10;
82143;03/03/2015;1200;24;24;92;;2;2.05776;10;
82143;03/03/2015;1800;26;25;92;;2;3.08664;10;
82143;04/03/2015;0000;25;24;92;;36;1.54332;10;
