<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82181</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : MONTE ALEGRE - PA (OMM: 82181)
Latitude  (graus) : -2
Longitude (graus) : -54.1
Altitude  (metros): 145.85
Esta��o Operante
Inicio de opera��o: 09/03/1974
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82181;01/04/1974;1200;24.5;22.8;87;996.3;5;3;0.8;
82181;01/04/1974;1800;29.5;24.5;67;994.2;14;3;0.7;
82181;02/04/1974;0000;25;23.8;91;993;0;0;0.7;
82181;02/04/1974;1200;24.9;23.2;87;994.6;32;1;0.8;
82181;02/04/1974;1800;29;25.3;74;992.8;23;3;0.7;
82181;03/04/1974;0000;24;22.3;87;993.4;5;3;1;
82181;03/04/1974;1200;24.5;23.6;93;995;5;1;0.7;
82181;03/04/1974;1800;29.5;24.5;67;992.8;14;3;0.5;
82181;04/04/1974;0000;24.9;23.5;89;991.9;5;1;0.9;
82181;04/04/1974;1200;25;23;84;994.7;5;3;0.7;
82181;04/04/1974;1800;23.7;23;94;993.6;23;1;1;
82181;05/04/1974;0000;22.9;22.5;97;993.9;0;0;0.8;
82181;05/04/1974;1200;23.2;21.8;89;997;0;0;1;
82181;05/04/1974;1800;25.3;23.5;86;996.3;5;1;0.8;
82181;06/04/1974;0000;23.8;23;94;995;5;1;1;
82181;06/04/1974;1200;23.3;22.5;93;996.7;5;1;0.7;
82181;06/04/1974;1800;28.8;24.5;70;994.3;14;3;0.6;
82181;07/04/1974;0000;25.2;23.2;84;996;5;3;1;
82181;07/04/1974;1200;23.7;23.3;97;997.5;5;5;1;
82181;07/04/1974;1800;26.5;23.8;80;994.4;5;3;0.8;
82181;08/04/1974;0000;25.8;23;79;993.2;0;0;0.5;
82181;08/04/1974;1200;26.5;23.8;80;995.9;5;6;0.5;
82181;08/04/1974;1800;29.5;25;70;993.4;9;3;0.5;
82181;09/04/1974;0000;25.5;22.8;80;991.8;0;0;0.4;
82181;09/04/1974;1200;23.6;23;95;996;5;1;0.8;
82181;09/04/1974;1800;28.5;24.3;71;994.4;5;3;0.5;
82181;10/04/1974;0000;27.3;24.9;82;993;5;2;0.8;
82181;10/04/1974;1200;24.3;23.7;95;994.7;5;4;1;
82181;10/04/1974;1800;28.5;25.3;77;994.4;14;3;0.5;
82181;11/04/1974;0000;25.3;24.3;92;993;5;2;0.4;
82181;11/04/1974;1200;25.2;23.5;87;995.1;5;5;0.8;
82181;11/04/1974;1800;28.8;23.5;64;997;9;3;0.6;
