<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82184</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : PORTO DE MOZ - PA (OMM: 82184)
Latitude  (graus) : -1.73
Longitude (graus) : -52.23
Altitude  (metros): 15.93
Esta��o Operante
Inicio de opera��o: 23/04/1928
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82184;11/05/1963;1200;;;;;5;1;5;
82184;11/05/1963;1800;;;;;5;1;4;
82184;12/05/1963;0000;;;;;5;1;4;
82184;12/05/1963;1200;;;;;5;1;5;
82184;12/05/1963;1800;;;;;5;1;8;
82184;13/05/1963;0000;;;;;5;1;8;
82184;13/05/1963;1200;;;;;5;1;8;
82184;13/05/1963;1800;;;;;5;1;6;
82184;14/05/1963;0000;;;;;0;0;10;
82184;14/05/1963;1200;;;;;0;0;8;
82184;14/05/1963;1800;;;;;27;1;5;
82184;15/05/1963;0000;;;;;0;0;2;
82184;15/05/1963;1200;;;;;5;2;5;
82184;15/05/1963;1800;;;;;27;2;4;
82184;16/05/1963;0000;;;;;5;1;5;
82184;16/05/1963;1200;;;;;0;0;10;
82184;16/05/1963;1800;;;;;5;1;10;
82184;17/05/1963;0000;;;;;0;0;10;
82184;17/05/1963;1200;;;;;0;0;10;
82184;17/05/1963;1800;;;;;5;1;6;
82184;18/05/1963;0000;;;;;0;0;8;
82184;18/05/1963;1200;;;;;5;1;4;
82184;18/05/1963;1800;;;;;27;1;4;
82184;19/05/1963;0000;;;;;0;0;2;
82184;19/05/1963;1200;;;;;5;1;6;
82184;19/05/1963;1800;;;;;27;2;4;
82184;20/05/1963;0000;;;;;5;1;2;
82184;20/05/1963;1200;;;;;5;2;6;
82184;20/05/1963;1800;;;;;0;0;8;
82184;21/05/1963;0000;;;;;0;0;10;
82184;21/05/1963;1200;;;;;5;1;5;
82184;21/05/1963;1800;;;;;18;2;5;
82184;22/05/1963;0000;;;;;18;1;4;
82184;22/05/1963;1200;;;;;5;1;4;
82184;22/05/1963;1800;;;;;18;2;4;
82184;23/05/1963;0000;;;;;18;1;5;
82184;23/05/1963;1200;;;;;5;1;6;
82184;23/05/1963;1800;;;;;27;1;3;
82184;24/05/1963;0000;;;;;0;0;0;
82184;24/05/1963;1200;;;;;5;1;3;
82184;24/05/1963;1800;;;;;5;1;6;
82184;25/05/1963;0000;;;;;5;1;10;
82184;25/05/1963;1200;;;;;5;1;6;
82184;25/05/1963;1800;;;;;5;1;4;
82184;26/05/1963;0000;;;;;5;1;6;
82184;26/05/1963;1200;;;;;5;1;4;
82184;26/05/1963;1800;;;;;5;1;4;
82184;27/05/1963;0000;;;;;5;1;6;
82184;27/05/1963;1200;;;;;0;0;10;
82184;27/05/1963;1800;;;;;0;0;10;
82184;28/05/1963;0000;;;;;0;0;10;
82184;28/05/1963;1200;;;;;5;1;5;
82184;28/05/1963;1800;;;;;5;1;6;
82184;29/05/1963;0000;;;;;5;1;4;
82184;29/05/1963;1200;;;;;0;0;8;
82184;29/05/1963;1800;;;;;5;1;6;
82184;30/05/1963;0000;;;;;5;1;5;
82184;30/05/1963;1200;;;;;18;2;4;
82184;30/05/1963;1800;;;;;18;2;5;
82184;31/05/1963;0000;;;;;5;1;3;
82184;31/05/1963;1200;;;;;5;1;5;
82184;31/05/1963;1800;;;;;18;2;4;
82184;01/06/1963;0000;;;;;18;2;4;
82184;01/06/1963;1200;;;;;5;1;5;
82184;01/06/1963;1800;;;;;27;1;4;
82184;02/06/1963;0000;;;;;0;0;2;
82184;02/06/1963;1200;;;;;0;0;10;
82184;02/06/1963;1800;;;;;5;1;6;
82184;03/06/1963;0000;;;;;0;0;0;
