<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82198</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : TURIACU - MA (OMM: 82198)
Latitude  (graus) : -1.56
Longitude (graus) : -45.36
Altitude  (metros): 44.06
Esta��o Operante
Inicio de opera��o: 29/07/1976
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82198;01/01/1961;1200;28.4;24.2;70;1009.5;9;2;10;
82198;01/01/1961;1800;31;24.7;58;1006.2;5;2;10;
82198;02/01/1961;0000;26.8;24.2;80;1008.7;0;0;10;
82198;02/01/1961;1200;28;24.9;76;1010;9;2;10;
82198;02/01/1961;1800;30.4;24.8;62;1007.4;5;2;10;
82198;03/01/1961;0000;27;24;77;1008.7;9;1;10;
82198;03/01/1961;1200;28;24.4;73;1010.4;5;2;10;
82198;03/01/1961;1800;30.8;25.8;66;1007.2;5;2;10;
82198;04/01/1961;0000;27.2;24.2;78;1008.7;5;1;10;
82198;04/01/1961;1200;27.4;24.6;79;1009.6;9;1;10;
82198;04/01/1961;1800;30;25.8;70;1007;5;2;10;
82198;05/01/1961;0000;27.2;24.4;79;1007.9;5;1;10;
82198;05/01/1961;1200;28.8;25.2;73;1007.8;9;1;10;
82198;05/01/1961;1800;27.6;25;80;1005.9;5;1;10;
82198;06/01/1961;0000;26.8;24.4;81;1007.1;5;1;10;
82198;06/01/1961;1200;29.2;25.4;72;1009.2;9;1;10;
82198;06/01/1961;1800;32;25.4;57;1006.3;9;3;10;
82198;07/01/1961;0000;27.2;24.8;82;1007.9;0;0;6;
82198;07/01/1961;1200;30;25.6;69;1009;9;3;10;
82198;07/01/1961;1800;31.4;25.4;60;1005.8;9;2;10;
82198;08/01/1961;0000;27.4;24.6;79;1008;9;1;6;
82198;08/01/1961;1200;29.6;25.4;69;1008.6;14;2;10;
82198;08/01/1961;1800;32;25.6;59;1005.4;9;4;10;
82198;09/01/1961;0000;27.6;24;73;1007.1;5;1;8;
82198;09/01/1961;1200;28.4;25.6;79;1007.9;9;1;10;
82198;09/01/1961;1800;31.8;25.6;60;1005;9;3;10;
82198;10/01/1961;0000;27.2;24.6;81;1006.4;0;0;10;
82198;10/01/1961;1200;28.8;25.4;74;1008.4;9;1;10;
82198;10/01/1961;1800;32;25.4;57;1005.9;9;3;10;
82198;11/01/1961;0000;27.6;24.9;79;1007.2;9;1;10;
82198;11/01/1961;1200;28.2;25.2;78;1008.6;9;2;10;
82198;11/01/1961;1800;31.6;25.6;61;1006;9;2;10;
82198;12/01/1961;0000;27.2;24.8;82;1007.5;5;1;8;
82198;12/01/1961;1200;29;26;78;1007.5;0;0;10;
82198;12/01/1961;1800;32;26;61;1004.6;14;2;10;
82198;13/01/1961;0000;26.8;25.4;89;1007.1;0;0;10;
82198;13/01/1961;1200;28.8;26.2;80;1009.2;14;1;10;
82198;13/01/1961;1800;32;26;61;1004.6;9;2;10;
82198;14/01/1961;0000;27.4;25;81;1006.4;9;1;10;
82198;14/01/1961;1200;29;25.6;75;1008.2;0;0;10;
82198;14/01/1961;1800;31.4;26;64;1004.4;9;2;10;
82198;15/01/1961;0000;27.2;24.9;82;1007;0;0;10;
82198;15/01/1961;1200;29.4;25.6;73;1009;0;0;10;
82198;15/01/1961;1800;30.9;25.3;62;1006;9;2;10;
82198;16/01/1961;0000;27.6;25.2;82;1007.9;0;0;10;
82198;16/01/1961;1200;28;26;85;1009.8;0;0;10;
82198;16/01/1961;1800;29.4;25.6;73;1005.6;5;1;10;
82198;17/01/1961;0000;27.4;24.8;80;1007.6;9;2;10;
82198;17/01/1961;1200;27;25.4;87;1010.7;0;0;10;
82198;17/01/1961;1800;23.2;22.6;95;1009;23;1;10;
82198;18/01/1961;0000;24.4;23.6;94;1010.7;9;1;10;
82198;18/01/1961;1200;26.6;25.4;90;1012.3;0;0;10;
82198;18/01/1961;1800;28.2;24.6;74;1009.9;0;0;10;
82198;19/01/1961;0000;26;24.8;90;1011.4;0;0;10;
82198;19/01/1961;1200;24.6;24.2;97;1012.4;0;0;10;
