<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82263</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CAMETA - PA (OMM: 82263)
Latitude  (graus) : -2.25
Longitude (graus) : -49.5
Altitude  (metros): 23.90
Esta��o Operante
Inicio de opera��o: 01/05/1970
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82263;01/05/1970;1200;26.5;25;88;;0;0;1;
82263;01/05/1970;1800;25.8;25.9;98;;0;0;1;
82263;02/05/1970;0000;25.2;24.5;95;;0;0;1;
82263;02/05/1970;1200;28;26.1;86;;0;0;0.3;
82263;02/05/1970;1800;31.8;27.3;70;;0;0;0.3;
82263;03/05/1970;0000;24.1;24;98;;0;0;1;
82263;03/05/1970;1200;28.3;27.2;92;;0;0;1;
82263;03/05/1970;1800;31.2;29;85;;0;0;0.6;
82263;04/05/1970;0000;25;24.8;94;;0;0;1;
82263;04/05/1970;1200;26.4;25.7;95;;36;2.4;0.8;
82263;04/05/1970;1800;31;29.6;90;;0;0;0.8;
82263;05/05/1970;0000;25.8;25;98;;0;0;1;
82263;05/05/1970;1200;29.2;27.5;88;;0;0;0.8;
82263;05/05/1970;1800;29.8;28.8;92;;27;4.4;0.8;
82263;06/05/1970;0000;25.3;25;97;;0;0;1;
82263;06/05/1970;1200;29;27.6;90;;5;2.4;0.8;
82263;06/05/1970;1800;32.5;30;83;;5;2.4;0.8;
82263;07/05/1970;0000;25.6;25.2;97;;0;0;1;
82263;07/05/1970;1200;29.2;27.4;87;;0;0;0.8;
82263;07/05/1970;1800;31.3;29.8;89;;0;0;0.8;
82263;08/05/1970;0000;25.6;25.2;95;;0;0;0.6;
82263;08/05/1970;1200;29.6;28.2;90;;5;4.4;0.8;
82263;08/05/1970;1800;30;28.8;91;;36;2.4;0.7;
82263;09/05/1970;0000;25.6;25;92;;0;0;0.5;
82263;09/05/1970;1200;28.2;26.9;90;;0;0;0.8;
82263;09/05/1970;1800;29.5;27;81;;0;0;0.8;
82263;10/05/1970;0000;25;24;96;;0;0;0.6;
82263;10/05/1970;1200;29.2;27.6;89;;5;4.4;0.6;
82263;10/05/1970;1800;32;29;79;;0;0;0.6;
82263;11/05/1970;0000;24.8;24.3;99;;0;0;0.8;
82263;11/05/1970;1200;29.6;27.3;83;;0;0;0.3;
82263;11/05/1970;1800;32.5;27.3;66;;5;2.4;0.6;
82263;12/05/1970;0000;24.3;24.1;97;;5;0;0.8;
82263;12/05/1970;1200;27.8;25.8;84;;5;2.4;0.7;
82263;12/05/1970;1800;28.8;25.8;77;;0;0;0.7;
82263;13/05/1970;0000;25.7;25.4;97;;0;4.4;1;
82263;13/05/1970;1200;28.2;25.5;80;;0;0;0.9;
82263;13/05/1970;1800;29.8;25;66;;5;2.4;0.7;
82263;14/05/1970;0000;24.2;23.9;96;;0;0;1;
82263;14/05/1970;1200;29.4;26.1;77;;36;2.4;0.7;
82263;14/05/1970;1800;31;27.3;74;;0;0;0.8;
82263;15/05/1970;0000;25.7;25.3;97;;0;0;1;
82263;15/05/1970;1200;29.3;26.3;78;;5;2.4;0.4;
82263;15/05/1970;1800;33.5;26.8;57;;18;2.4;0.6;
82263;16/05/1970;0000;24.6;24.2;96;;0;0;0.3;
82263;16/05/1970;1200;27.6;26;88;;0;0;1;
82263;16/05/1970;1800;27.4;24.8;80;;9;2.4;0.9;
82263;17/05/1970;0000;25.2;24.8;94;;0;0;0.6;
82263;17/05/1970;1200;23.8;23;93;;36;2.4;1;
82263;17/05/1970;1800;27.8;25;78;;0;0;0.9;
82263;18/05/1970;0000;24.8;24;98;;0;0;0.9;
82263;18/05/1970;1200;25.8;24;86;;0;0;0.8;
82263;18/05/1970;1800;31.5;26.5;66;;27;2.4;0.7;
82263;19/05/1970;0000;22.2;22;96;;0;0;1;
82263;19/05/1970;1200;27.8;25.4;81;;5;2.4;0.5;
82263;19/05/1970;1800;32;26.9;66;;0;0;0.8;
82263;20/05/1970;0000;25.2;24.8;92;;0;0;0.8;
82263;20/05/1970;1200;29.3;26.3;78;;18;2.4;1;
82263;20/05/1970;1800;28.8;26.2;80;;0;0;0.8;
82263;21/05/1970;0000;25.7;24.8;92;;0;0;1;
82263;21/05/1970;1200;28.5;25.4;76;;5;2.4;0.5;
82263;21/05/1970;1800;32.3;27.5;68;;5;0.9;0.4;
82263;22/05/1970;0000;24.7;23.8;94;;0;0;0.6;
82263;22/05/1970;1200;29.8;26.2;74;;5;2.4;0.3;
82263;22/05/1970;1800;32.8;28.6;72;;18;4.4;0.7;
82263;23/05/1970;0000;24.8;24;84;;5;0;0.3;
82263;23/05/1970;1200;27.2;25.2;85;;0;0;0.8;
82263;23/05/1970;1800;28.4;26.2;83;;5;0.9;0.8;
82263;24/05/1970;0000;26.8;24.8;87;;5;6.7;1;
82263;24/05/1970;1200;28.6;25.8;79;;0;0;0.5;
82263;24/05/1970;1800;32.2;26.5;62;;36;0.9;0.8;
82263;25/05/1970;0000;24.8;23.2;94;;0;2.4;1;
82263;25/05/1970;1200;27.3;25;82;;5;2.4;0.8;
82263;25/05/1970;1800;32.8;27.4;64;;0;0;0.5;
82263;26/05/1970;0000;24.8;24;89;;0;0;1;
82263;26/05/1970;1200;29.9;25.6;70;;5;0.9;0.5;
82263;26/05/1970;1800;32;26.5;63;;5;0.9;0.7;
82263;27/05/1970;0000;26.2;24.8;94;;0;0;0.8;
82263;27/05/1970;1200;28.4;25.5;78;;5;2.4;0.8;
82263;27/05/1970;1800;32.6;26.4;60;;36;0.9;0.4;
82263;28/05/1970;0000;24.8;24;92;;5;0;0.8;
82263;28/05/1970;1200;29;25.3;73;;27;2.4;0.4;
82263;28/05/1970;1800;32;26;61;;36;0.9;0.5;
82263;29/05/1970;0000;24.8;23.8;97;;27;2.4;0.7;
82263;29/05/1970;1200;29.6;26.6;78;;36;2.4;0.3;
82263;29/05/1970;1800;32.1;28.4;74;;9;0.9;0.5;
82263;30/05/1970;0000;24;23.6;98;;0;0.9;0.3;
82263;30/05/1970;1200;28.3;25.4;78;;18;2.4;0.6;
82263;30/05/1970;1800;31.3;26.8;69;;36;0.9;0.5;
82263;31/05/1970;0000;25.3;25;98;;0;0;0.4;
82263;31/05/1970;1200;28.4;25;75;;27;2.4;0.5;
82263;31/05/1970;1800;31.8;26;62;;5;0.9;0.6;
82263;01/06/1970;0000;24;23.8;89;;5;0;0.4;
82263;01/06/1970;1200;28.4;25;75;;18;2.4;0.6;
82263;01/06/1970;1800;32.5;27;64;;18;0.9;0.6;
82263;02/06/1970;0000;24.8;23.4;96;;0;2.4;0.8;
82263;02/06/1970;1200;27.2;25;83;;0;0;0.6;
82263;02/06/1970;1800;32.4;26.4;61;;0;0;0.5;
82263;03/06/1970;0000;24.3;23.8;95;;0;0;1;
82263;03/06/1970;1200;29;25.2;72;;18;2.4;0.2;
82263;03/06/1970;1800;32.6;26;58;;36;2.4;0.6;
82263;04/06/1970;0000;25.4;24.8;96;;0;0;0.7;
82263;04/06/1970;1200;27.3;25.3;84;;27;2.4;0.9;
82263;04/06/1970;1800;32.3;26.3;60;;18;2.4;0.9;
82263;05/06/1970;0000;25.3;24.8;95;;5;0;0.8;
82263;05/06/1970;1200;28.3;25.5;79;;27;2.4;0.7;
82263;05/06/1970;1800;32.3;26.5;61;;27;2.4;0.8;
82263;06/06/1970;0000;23.9;23.3;96;;5;2.4;1;
82263;06/06/1970;1200;28;25.8;83;;5;2.4;0.8;
82263;06/06/1970;1800;32;26.8;65;;36;2.4;0.8;
82263;07/06/1970;0000;24.5;24;83;;0;4.4;1;
82263;07/06/1970;1200;28;26;85;;5;2.4;0.8;
82263;07/06/1970;1800;28.3;25.6;80;;0;0;0.8;
82263;08/06/1970;0000;24.4;22.4;94;;0;0;1;
82263;08/06/1970;1200;28.4;24.9;74;;5;2.4;0.6;
82263;08/06/1970;1800;31.8;26;62;;5;0.9;0.8;
82263;09/06/1970;0000;24.8;24;95;;0;0;1;
82263;09/06/1970;1200;28.5;25.8;79;;36;2.4;0.8;
82263;09/06/1970;1800;31.8;26;62;;18;0.9;0.5;
82263;10/06/1970;0000;23.8;23.2;96;;0;0;0.4;
82263;10/06/1970;1200;26.3;24.5;86;;0;0;0.9;
82263;10/06/1970;1800;31.2;26.5;68;;9;0.9;0.6;
82263;11/06/1970;0000;25.2;24.8;88;;5;0;0.6;
82263;11/06/1970;1200;27.8;25.6;83;;27;2.4;0.8;
82263;11/06/1970;1800;31.2;26.8;70;;0;0;0.8;
82263;12/06/1970;0000;25.8;24.3;92;;0;2.4;1;
82263;12/06/1970;1200;28;25.4;80;;36;2.4;0.9;
82263;12/06/1970;1800;30.7;26;68;;27;2.4;0.8;
82263;13/06/1970;0000;26.3;25.3;97;;0;0;1;
82263;13/06/1970;1200;28.6;25;73;;27;2.4;0.4;
82263;13/06/1970;1800;31.4;26.8;69;;27;2.4;0.7;
82263;14/06/1970;0000;23;22.6;98;;0;0;1;
82263;14/06/1970;1200;29.2;25.5;73;;5;2.4;0.7;
82263;14/06/1970;1800;29;26;78;;36;0.9;0.6;
82263;15/06/1970;0000;25;24.8;97;;0;0;0.5;
82263;15/06/1970;1200;28.2;25;76;;5;2.4;0.4;
82263;15/06/1970;1800;31.8;26;62;;36;2.4;0.6;
82263;16/06/1970;0000;25;24.6;99;;0;0;1;
82263;16/06/1970;1200;28.4;25.5;78;;5;2.4;0.7;
82263;16/06/1970;1800;32.3;27;65;;5;2.4;0.8;
82263;17/06/1970;0000;24.8;24.6;97;;27;0;0.4;
82263;17/06/1970;1200;28.4;25.8;80;;5;2.4;0.9;
82263;17/06/1970;1800;32;27.2;68;;5;0.9;0.8;
82263;18/06/1970;0000;22.9;22.5;91;;27;2.4;0.8;
82263;18/06/1970;1200;29.2;26;77;;5;2.4;0.8;
82263;18/06/1970;1800;31.3;27;70;;5;2.4;0.8;
82263;19/06/1970;0000;25.7;24.6;96;;0;4.4;0.8;
82263;19/06/1970;1200;29.2;25.8;75;;0;0;0.8;
82263;19/06/1970;1800;32.2;26.5;62;;0;0;0.6;
82263;20/06/1970;0000;24.2;23.8;96;;0;0;1;
82263;20/06/1970;1200;28.7;25.2;74;;5;2.4;0.9;
82263;20/06/1970;1800;32.8;27.2;63;;27;2.4;0.9;
82263;21/06/1970;0000;25.3;24.8;93;;0;0;1;
82263;21/06/1970;1200;28.8;25.5;75;;18;2.4;0.4;
82263;21/06/1970;1800;28.1;25.2;78;;0;0;0.8;
82263;22/06/1970;0000;24;23.2;96;;0;0;1;
82263;22/06/1970;1200;29;26;78;;5;2.4;0.2;
82263;22/06/1970;1800;32.8;26.6;60;;0;0;0.7;
82263;23/06/1970;0000;25;24.5;94;;0;0;0.7;
82263;23/06/1970;1200;28.2;26;84;;5;0.9;0.9;
82263;23/06/1970;1800;33;26.8;60;;0;0;0.6;
82263;24/06/1970;0000;25.2;24.5;88;;0;0;0.4;
82263;24/06/1970;1200;27.5;25;80;;5;2.4;0.8;
82263;24/06/1970;1800;31.4;26.2;65;;36;2.4;0.6;
82263;25/06/1970;0000;26.5;25;98;;0;0;1;
82263;25/06/1970;1200;27.5;25.5;84;;5;2.4;0.9;
82263;25/06/1970;1800;29.8;26.8;78;;18;2.4;0.7;
82263;26/06/1970;0000;25.4;25.1;98;;0;0;1;
82263;26/06/1970;1200;27.5;25.5;84;;0;0;0.8;
82263;26/06/1970;1800;32;27;67;;0;0;0.8;
82263;27/06/1970;0000;24.8;24.5;96;;0;0;0.6;
82263;27/06/1970;1200;26.2;24.7;88;;18;2.4;0.9;
82263;27/06/1970;1800;31.5;26.2;64;;0;0;0.7;
82263;28/06/1970;0000;22.7;22.2;96;;0;0;1;
82263;28/06/1970;1200;27.8;24.5;75;;0;0;0.7;
82263;28/06/1970;1800;28.8;24.4;68;;27;2.4;0.9;
82263;29/06/1970;0000;24.2;23.8;98;;0;0;0.6;
82263;29/06/1970;1200;28;25.4;80;;5;0.9;0.8;
82263;29/06/1970;1800;33.3;27.2;60;;18;2.4;0.8;
82263;30/06/1970;0000;22.8;22.5;96;;0;0;1;
82263;30/06/1970;1200;28.6;25.3;75;;27;2.4;0.4;
82263;30/06/1970;1800;32.5;26.8;62;;18;2.4;0.8;
82263;01/07/1970;0000;24;23.5;95;;0;0;0.3;
82263;01/07/1970;1200;27.8;25;80;;5;2.4;0.8;
82263;01/07/1970;1800;31;25.7;66;;18;2.4;0.8;
82263;02/07/1970;0000;24;23.4;97;;0;0;0.4;
82263;02/07/1970;1200;29;25.8;78;;27;2.4;0.7;
82263;02/07/1970;1800;32;26;62;;0;0;0.8;
82263;03/07/1970;0000;23.4;23;98;;0;0;0.5;
82263;03/07/1970;1200;28.4;25.2;77;;5;2.4;0.5;
82263;03/07/1970;1800;31.7;26.5;67;;5;0.9;0.6;
82263;04/07/1970;0000;24.5;24.2;95;;0;0;0.4;
82263;04/07/1970;1200;26.2;24.5;87;;5;2.4;0.9;
82263;04/07/1970;1800;31.5;26.2;66;;9;2.4;0.6;
82263;05/07/1970;0000;23.8;23.2;98;;0;0;0.3;
82263;05/07/1970;1200;28.2;25.8;83;;5;0.9;0.8;
82263;05/07/1970;1800;32;26.5;65;;18;2.4;0.6;
82263;06/07/1970;0000;23.2;23;95;;5;0;0.9;
82263;06/07/1970;1200;27.2;24.8;82;;5;2.4;0.6;
82263;06/07/1970;1800;32;26.6;66;;14;2.4;0.7;
82263;07/07/1970;0000;24.8;24.2;95;;0;2.4;0.7;
82263;07/07/1970;1200;26.2;24.6;88;;18;2.4;1;
82263;07/07/1970;1800;31.2;27;72;;0;0;0.9;
82263;08/07/1970;0000;24.8;24.2;97;;5;0;0.4;
