<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82279</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : SAO BENTO - MA (OMM: 82279)
Latitude  (graus) : -2.68
Longitude (graus) : -44.71
Altitude  (metros): 10.90
Esta��o Fechada
Inicio de opera��o: 01/01/1912
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82279;01/01/1961;1200;28.9;24.7;70;1007.5;5;3;7;
82279;01/01/1961;1800;30.9;24.7;58;1005;5;3;6;
82279;02/01/1961;0000;24.9;23;85;1007.6;0;0;0;
82279;02/01/1961;1200;28.2;24;69;1009.2;5;3;6;
82279;02/01/1961;1800;30.3;25;63;1005.8;5;1;6;
82279;03/01/1961;0000;24.9;24;93;1007.8;0;0;5;
82279;03/01/1961;1200;27.3;24.9;81;1009.4;0;0;9;
82279;03/01/1961;1800;30;24.9;64;1006.3;5;3;6;
82279;04/01/1961;0000;25.2;24;90;1007;0;0;4;
82279;04/01/1961;1200;28.9;25;72;1007.8;5;3;7;
82279;04/01/1961;1800;31;24.6;58;1005.5;5;1;6;
82279;05/01/1961;0000;25;23.8;90;1008.4;0;0;5;
82279;05/01/1961;1200;28.1;25;76;1007.6;5;3;7;
82279;05/01/1961;1800;31;24.7;58;1004.4;5;3;6;
82279;06/01/1961;0000;25;23.7;90;1006.2;0;0;4;
82279;06/01/1961;1200;28.6;24.9;72;1007.6;5;1;7;
82279;06/01/1961;1800;31.3;25;58;1010.6;5;3;4;
82279;07/01/1961;0000;25.2;24;90;1006.7;0;0;4;
82279;07/01/1961;1200;28.4;25;75;1007.2;5;3;7;
82279;07/01/1961;1800;31.1;25;59;1005;5;5;8;
82279;08/01/1961;0000;26.1;24;83;1007.9;5;1;8;
82279;08/01/1961;1200;29.2;24.7;68;1007.2;9;3;5;
82279;08/01/1961;1800;31.1;25;59;1005;5;7;6;
82279;09/01/1961;0000;25.3;24;90;1007.6;0;0;6;
82279;09/01/1961;1200;29;24.7;69;1007.2;5;7;7;
