<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82281</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : SAO LUIS - AEROPORTO - MA (OMM: 82281)
Latitude  (graus) : -2.58
Longitude (graus) : -44.23
Altitude  (metros): 54.00
Esta��o Operante
Inicio de opera��o: 00/00/0000
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82281;01/01/2015;0000;26.7;;73;1006.4;5;4.62996;2.5;
82281;01/01/2015;0600;26.2;;75;1005.6;5;2.5722;3.75;
82281;01/01/2015;1200;28.5;;59;1007.5;8;6.68772;5;
82281;01/01/2015;1800;29.3;;60;1004.6;3;7.7166;6.25;
82281;02/01/2015;0000;26.9;;71;1007.1;6;2.5722;2.5;
82281;02/01/2015;0600;25.6;;74;1005;6;2.5722;2.5;
82281;02/01/2015;1200;29;;56;1007.2;6;7.20216;3.75;
82281;02/01/2015;1800;30.5;;53;1005;1;6.17328;3.75;
82281;03/01/2015;0000;27;;68;1006.4;3;3.60108;2.5;
82281;03/01/2015;0600;25;;78;1004.3;4;2.05776;5;
82281;03/01/2015;1200;27.3;;73;1007;6;2.5722;6.25;
82281;03/01/2015;1800;27;;69;1005.4;33;2.5722;5;
82281;04/01/2015;0000;26.3;;74;1007.6;7;2.5722;7.5;
82281;04/01/2015;0600;25.4;;78;1004.9;36;1.54332;5;
82281;04/01/2015;1200;28.6;;64;1007.8;3;4.62996;5;
82281;04/01/2015;1800;30.8;;54;1004.8;4;7.20216;6.25;
82281;05/01/2015;0000;26.9;;73;1007.6;3;4.11552;1.25;
82281;05/01/2015;0600;24.2;;84;1006.4;10;1.54332;5;
82281;05/01/2015;1200;27;;70;1008.9;7;4.62996;5;
82281;05/01/2015;1800;31.2;;48;1005.4;6;7.7166;6.25;
82281;06/01/2015;0000;26.3;;68;1007.6;3;3.08664;1.25;
82281;06/01/2015;0600;24.6;;76;1006;5;2.05776;0;
82281;06/01/2015;1200;28.3;;63;1008.2;6;6.68772;8.75;
82281;06/01/2015;1800;30.7;;57;1005.3;5;8.23104;6.25;
82281;07/01/2015;0000;26.7;;76;1006.9;3;3.60108;2.5;
82281;07/01/2015;0600;26.1;;77;1005.5;5;4.62996;3.75;
82281;07/01/2015;1200;28.6;;64;1007.1;9;5.1444;5;
82281;07/01/2015;1800;31.1;;54;1003.6;6;8.74548;5;
82281;08/01/2015;0000;27.5;;68;1005.4;7;6.17328;5;
82281;08/01/2015;0600;26.4;;70;1004.7;8;2.5722;6.25;
82281;08/01/2015;1200;29.2;;59;1006.6;8;7.20216;3.75;
82281;08/01/2015;1800;31.3;;51;1004;6;10.2888;3.75;
82281;09/01/2015;0600;26;;73;1004.2;4;4.62996;1.25;
82281;09/01/2015;1200;29.3;;62;1007.4;6;5.1444;3.75;
82281;09/01/2015;1800;30.1;;57;1004.5;4;7.20216;6.25;
82281;10/01/2015;0000;27.1;;72;1006.4;3;4.62996;1.25;
82281;10/01/2015;0600;26.2;;76;1004.7;6;3.08664;1.25;
82281;10/01/2015;1200;28.6;;59;1007.4;5;6.68772;5;
82281;10/01/2015;1800;28.8;;72;1005.1;1;5.1444;6.25;
82281;11/01/2015;0000;24.3;;81;1006.8;9;1.02888;5;
82281;11/01/2015;0600;26;;79;1005.1;4;4.11552;5;
82281;11/01/2015;1200;28.1;;69;1007.5;7;6.68772;6.25;
82281;11/01/2015;1800;30.4;;58;1004.2;5;7.7166;5;
82281;12/01/2015;0000;27.3;;72;1006.1;6;7.20216;8.75;
82281;12/01/2015;0600;26.7;;74;1004.6;6;3.60108;5;
82281;12/01/2015;1200;30.1;;54;1007.6;6;6.17328;5;
82281;12/01/2015;1800;31.4;;53;1004.1;5;6.68772;3.75;
82281;13/01/2015;0000;27.3;;74;1006.2;6;5.1444;3.75;
82281;13/01/2015;0600;26.8;;73;1003.4;6;4.11552;5;
82281;13/01/2015;1200;29.1;;62;1006.3;7;7.7166;5;
82281;13/01/2015;1800;31.9;;51;1002.5;5;7.7166;3.75;
82281;14/01/2015;0000;27.8;;69;1005.1;7;5.1444;6.25;
82281;14/01/2015;0600;27.3;;71;1003.1;7;5.1444;6.25;
82281;14/01/2015;1200;29.2;;62;1006.2;6;7.20216;3.75;
82281;14/01/2015;1800;30.7;;52;1003.6;6;6.17328;6.25;
82281;15/01/2015;0000;27.4;;71;1005.3;6;3.60108;3.75;
82281;15/01/2015;0600;25.8;;77;1004.1;3;3.60108;0;
82281;15/01/2015;1200;29;;57;1007.2;8;8.23104;5;
82281;15/01/2015;1800;31.6;;48;1005;6;9.25992;5;
82281;16/01/2015;0000;27.3;;67;1006.3;5;6.17328;2.5;
82281;16/01/2015;0600;26;;75;1004.7;5;4.11552;0;
82281;16/01/2015;1200;28.1;;65;1007.4;7;5.1444;5;
82281;16/01/2015;1800;31.3;;54;1004.7;4;5.65884;6.25;
82281;17/01/2015;0000;27.3;;67;1006;4;4.11552;3.75;
82281;17/01/2015;0600;26;;75;1005;3;4.11552;3.75;
82281;17/01/2015;1200;29.1;;59;1007.2;6;5.65884;5;
82281;17/01/2015;1800;30.8;;49;1004.3;6;7.7166;5;
82281;18/01/2015;0000;27.4;;70;1006.4;4;4.11552;2.5;
82281;18/01/2015;0600;27;;70;1004.5;5;5.1444;5;
82281;18/01/2015;1200;28.7;;63;1007.7;7;6.68772;6.25;
82281;18/01/2015;1800;29.8;;60;1004.6;3;7.7166;6.25;
82281;19/01/2015;0000;27.3;;70;1005.9;3;5.1444;2.5;
82281;19/01/2015;0600;26.8;;71;1004.8;6;2.5722;8.75;
82281;19/01/2015;1200;28.2;;65;1007.2;8;5.1444;6.25;
82281;19/01/2015;1800;29.9;;57;1004;5;8.74548;7.5;
82281;20/01/2015;0000;27.6;;69;1005.3;6;5.1444;2.5;
82281;20/01/2015;0600;26.8;;73;1003.6;6;4.11552;5;
82281;20/01/2015;1200;28.8;;62;1005.6;6;5.65884;6.25;
82281;20/01/2015;1800;32.5;;44;1002.6;6;6.68772;6.25;
82281;21/01/2015;0000;27.2;;70;1004.2;4;5.1444;3.75;
82281;21/01/2015;0600;26.7;;73;1003.4;5;3.08664;5;
