<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82294</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : ACARAU - CE (OMM: 82294)
Latitude  (graus) : -2.88
Longitude (graus) : -40.14
Altitude  (metros): 16.50
Esta��o Desativada
Inicio de opera��o: 01/01/1923
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82294;01/01/1961;1200;;;;;9;2;10;
82294;01/01/1961;1800;;;;;9;2;6;
82294;02/01/1961;0000;;;;;9;2;2;
82294;02/01/1961;1200;;;;;9;2;10;
82294;02/01/1961;1800;;;;;9;2;6;
82294;03/01/1961;0000;;;;;9;2;4;
82294;03/01/1961;1200;;;;;9;2;6;
82294;03/01/1961;1800;;;;;14;2;2;
82294;04/01/1961;0000;;;;;9;2;10;
82294;04/01/1961;1200;;;;;9;2;10;
82294;04/01/1961;1800;;;;;14;4;6;
82294;05/01/1961;0000;;;;;9;2;5;
82294;05/01/1961;1200;;;;;9;2;6;
82294;05/01/1961;1800;;;;;14;4;2;
82294;06/01/1961;0000;;;;;9;2;2;
82294;06/01/1961;1200;;;;;9;4;5;
82294;06/01/1961;1800;;;;;9;2;6;
82294;07/01/1961;0000;;;;;0;0;10;
82294;07/01/1961;1200;;;;;9;4;6;
82294;07/01/1961;1800;;;;;9;2;4;
82294;08/01/1961;0000;;;;;9;2;8;
82294;08/01/1961;1200;;;;;9;2;8;
82294;08/01/1961;1800;;;;;0;0;4;
82294;09/01/1961;0000;;;;;9;2;3;
82294;09/01/1961;1200;;;;;9;2;5;
82294;09/01/1961;1800;;;;;9;2;3;
82294;10/01/1961;0000;;;;;0;0;2;
82294;10/01/1961;1200;;;;;9;2;5;
82294;10/01/1961;1800;;;;;0;0;6;
82294;11/01/1961;0000;;;;;9;2;4;
82294;11/01/1961;1200;;;;;9;2;10;
82294;11/01/1961;1800;;;;;14;2;3;
82294;12/01/1961;0000;;;;;9;2;2;
82294;12/01/1961;1200;;;;;14;2;10;
82294;12/01/1961;1800;;;;;9;2;4;
82294;13/01/1961;0000;;;;;14;4;7;
82294;13/01/1961;1200;;;;;9;4;6;
82294;13/01/1961;1800;;;;;14;4;5;
82294;14/01/1961;0000;;;;;9;2;4;
82294;14/01/1961;1200;;;;;9;2;10;
82294;14/01/1961;1800;;;;;14;4;6;
82294;15/01/1961;0000;;;;;9;2;2;
82294;15/01/1961;1200;;;;;9;2;6;
82294;15/01/1961;1800;;;;;9;2;4;
82294;16/01/1961;0000;;;;;0;0;2;
82294;16/01/1961;1200;;;;;14;2;4;
82294;16/01/1961;1800;;;;;0;0;6;
82294;17/01/1961;0000;;;;;0;0;5;
82294;17/01/1961;1200;;;;;9;2;6;
82294;17/01/1961;1800;;;;;0;0;4;
82294;18/01/1961;0000;;;;;0;0;2;
82294;18/01/1961;1200;;;;;9;4;5;
82294;18/01/1961;1800;;;;;9;2;4;
82294;19/01/1961;0000;;;;;9;2;1;
82294;19/01/1961;1200;;;;;0;0;10;
82294;19/01/1961;1800;;;;;0;0;4;
82294;20/01/1961;0000;;;;;9;2;4;
82294;20/01/1961;1200;;;;;9;2;10;
82294;20/01/1961;1800;;;;;9;2;6;
82294;21/01/1961;0000;;;;;9;2;4;
82294;21/01/1961;1200;;;;;9;2;10;
82294;21/01/1961;1800;;;;;9;2;10;
82294;22/01/1961;0000;;;;;9;2;10;
82294;22/01/1961;1200;;;;;9;2;2;
82294;22/01/1961;1800;;;;;9;2;4;
82294;23/01/1961;0000;;;;;0;0;6;
82294;23/01/1961;1200;;;;;9;2;3;
82294;23/01/1961;1800;;;;;9;4;5;
82294;24/01/1961;0000;;;;;9;2;10;
82294;24/01/1961;1200;;;;;14;2;2;
82294;24/01/1961;1800;;;;;9;2;4;
82294;25/01/1961;0000;;;;;9;2;6;
82294;25/01/1961;1200;;;;;0;0;10;
82294;25/01/1961;1800;;;;;0;0;10;
82294;26/01/1961;0000;;;;;0;0;10;
82294;26/01/1961;1200;;;;;9;2;10;
82294;26/01/1961;1800;;;;;9;2;6;
82294;27/01/1961;0000;;;;;0;0;2;
