<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82298</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : ESPERANTINA - PI (OMM: 82298)
Latitude  (graus) : -3.9
Longitude (graus) : -42.25
Altitude  (metros): 87.05
Esta��o Operante
Inicio de opera��o: 17/03/1974
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82298;01/01/1979;1200;28.4;25;75;;5;1;6;
82298;01/01/1979;1800;30.6;26.4;71;;14;3;10;
82298;02/01/1979;0000;26.4;24.4;84;;0;0;0;
82298;02/01/1979;1200;28.2;25.4;79;;5;1;7;
82298;02/01/1979;1800;31.2;27;71;;32;1;6;
82298;03/01/1979;0000;25.8;24;85;;5;1;0;
82298;03/01/1979;1200;28.8;25.6;76;;5;1;4;
82298;03/01/1979;1800;31;28.4;81;;14;1;3;
82298;04/01/1979;0000;26.6;24.2;81;;0;0;0;
82298;04/01/1979;1200;29;25.8;76;;14;3;0;
82298;04/01/1979;1800;33;27.4;64;;5;1;7;
82298;05/01/1979;0000;24.4;23.4;92;;5;1;8;
82298;06/01/1979;1200;26.8;25.4;89;;5;1;9;
82298;06/01/1979;1800;31.4;27.2;71;;5;1;4;
82298;07/01/1979;0000;26;24;84;;0;0;5;
82298;07/01/1979;1200;27;25.4;87;;5;1;9;
82298;07/01/1979;1800;31;27.4;75;;5;1;4;
82298;08/01/1979;0000;26;23.6;81;;0;0;0;
82298;08/01/1979;1200;27.8;26.2;88;;5;1;5;
82298;08/01/1979;1800;33.4;27.8;64;;5;1;5;
82298;09/01/1979;0000;26.2;24.4;86;;5;1;0;
82298;09/01/1979;1200;28.8;26;79;;5;1;5;
82298;09/01/1979;1800;33.8;28;63;;5;1;3;
82298;10/01/1979;0000;26.6;24.2;81;;5;1;0;
82298;10/01/1979;1200;28.4;25.2;76;;5;1;1;
82298;10/01/1979;1800;32.4;27.8;69;;5;1;3;
82298;11/01/1979;0000;26.8;24.8;84;;14;3;6;
82298;11/01/1979;1200;29.2;26.4;79;;14;3;6;
82298;11/01/1979;1800;35;28.4;59;;5;1;5;
82298;12/01/1979;0000;26.4;25.8;95;;0;0;10;
82298;12/01/1979;1200;29;26.8;84;;5;1;5;
82298;12/01/1979;1800;32.4;27.2;65;;5;1;2;
82298;13/01/1979;0000;25.4;24.8;95;;0;0;0;
