<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82326</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CODAJAS - AM (OMM: 82326)
Latitude  (graus) : -3.83
Longitude (graus) : -62.08
Altitude  (metros): 48.00
Esta��o Operante
Inicio de opera��o: 19/08/1974
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82326;01/09/1976;1200;23.9;23.2;94;1006.3;0;0;0;
82326;01/09/1976;1800;34.5;26.8;55;996.5;14;2;5;
82326;02/09/1976;0000;28.1;25.9;84;1002.3;0;0;0;
82326;02/09/1976;1200;28.9;25.7;78;1007.5;18;1;2;
82326;02/09/1976;1800;34.9;26.9;53;1004.8;5;3;7;
82326;03/09/1976;0000;28.8;25.9;80;1003;0;0;2;
82326;03/09/1976;1200;23.5;23.3;98;1007;0;0;4;
82326;03/09/1976;1800;32;25.9;62;1006;18;3;8;
82326;04/09/1976;0000;27.8;26.3;89;1003.5;0;0;3;
82326;04/09/1976;1200;22.8;22.2;95;1008.1;27;1;1;
82326;04/09/1976;1800;29.5;24.8;69;1007.4;23;2;7;
82326;05/09/1976;0000;27;25.9;92;1003.5;0;0;2;
82326;05/09/1976;1200;23.5;22.8;94;1007;0;0;2;
82326;05/09/1976;1800;31.2;25.9;66;1006.8;18;3;6;
82326;06/09/1976;0000;28.8;26.5;84;1003;0;0;8;
82326;06/09/1976;1200;24.8;24.7;99;1006.8;14;2;8;
82326;06/09/1976;1800;31.5;25.7;63;1004.4;18;3;8;
82326;07/09/1976;0000;26.8;24.2;81;1004.2;18;2;1;
82326;07/09/1976;1200;24.7;23.3;89;1007.8;18;3;1;
82326;07/09/1976;1800;27;24.8;84;1009.4;23;2;1;
82326;08/09/1976;0000;26.5;24.1;82;1004.9;0;0;0;
82326;08/09/1976;1200;23;22.5;96;1008.1;0;0;6;
82326;08/09/1976;1800;29.6;26.6;79;1007.6;23;2;5;
82326;09/09/1976;0000;27.2;25.2;89;1004.8;0;0;0;
82326;09/09/1976;1200;23.6;23;95;1008.9;0;0;8;
82326;09/09/1976;1800;30.5;25;64;1006.2;18;3;4;
82326;10/09/1976;0000;28.7;26.9;87;1004.3;0;0;1;
82326;10/09/1976;1200;24.9;23.5;89;1009;23;2;1;
82326;10/09/1976;1800;29.8;25.5;71;1007.4;18;3;4;
82326;11/09/1976;0000;25.5;26.5;85;1004.3;0;0;0;
82326;11/09/1976;1200;23.7;23;94;1009;0;0;0;
82326;11/09/1976;1800;31;26.9;73;1007.3;18;3;6;
82326;12/09/1976;0000;28;26.9;92;1005.1;0;0;0;
82326;12/09/1976;1200;22.5;21.5;92;1007.4;0;0;3;
82326;12/09/1976;1800;32.9;26;58;1007.2;18;3;5;
82326;13/09/1976;0000;28.3;25.8;82;1004.6;0;0;0;
82326;13/09/1976;1200;22.9;22.3;95;1007.9;0;0;0;
82326;13/09/1976;1800;35.3;26;48;1005.3;14;5;8;
82326;14/09/1976;0000;27.8;26.2;88;1004.3;0;0;0;
82326;14/09/1976;1200;22.5;22.2;97;1007.5;0;0;1;
82326;14/09/1976;1800;33.5;26.8;60;1005.6;18;3;4;
82326;15/09/1976;0000;28.6;25.8;80;1003;0;0;0;
82326;15/09/1976;1200;25.8;24;86;1007.9;14;1;6;
82326;15/09/1976;1800;33.9;26.2;55;1005.6;18;3;4;
82326;16/09/1976;0000;28.1;25.5;81;1004.3;0;0;0;
82326;16/09/1976;1200;23.2;22.5;94;1007.4;0;0;2;
82326;16/09/1976;1800;34.8;27.5;57;1006.3;18;5;5;
82326;17/09/1976;0000;29.9;26.8;79;1004.9;0;0;2;
82326;17/09/1976;1200;23.5;22.8;94;1007;0;0;7;
82326;17/09/1976;1800;33.4;26.5;58;1006.7;18;3;8;
82326;18/09/1976;0000;25.9;23.9;85;1005.8;0;0;1;
82326;18/09/1976;1200;23;22.8;98;1008.6;0;0;8;
82326;18/09/1976;1800;31.8;26.3;65;1008;18;3;6;
82326;19/09/1976;0000;27.7;25.8;86;1004.9;0;0;1;
82326;19/09/1976;1200;24.3;23.8;96;1007.6;0;0;8;
82326;19/09/1976;1800;32.2;26.8;66;1005.9;18;4;7;
82326;20/09/1976;0000;25.7;23;80;1006.7;14;1;1;
82326;20/09/1976;1200;22.6;21.9;94;1008.9;0;0;5;
82326;20/09/1976;1800;29.4;25.5;73;1006.6;18;3;3;
82326;21/09/1976;0000;28.8;26.6;83;1003.4;0;0;0;
82326;21/09/1976;1200;23.4;22.9;96;1006.2;0;0;6;
82326;21/09/1976;1800;34.5;26;51;1004.2;9;5;4;
82326;22/09/1976;0000;30.2;25.9;71;1004;18;1;8;
82326;22/09/1976;1200;24.7;23.6;91;1008.8;23;1;1;
82326;22/09/1976;1800;30.5;26.4;72;1006.5;18;3;9;
82326;23/09/1976;0000;27.9;24.8;78;1004.2;18;1;1;
82326;23/09/1976;1200;24.3;23.6;94;1009;0;0;5;
82326;23/09/1976;1800;32.8;26.5;61;1009;18;2;7;
82326;24/09/1976;0000;28.3;25.8;82;1003.8;0;0;0;
82326;24/09/1976;1200;24.9;23.5;89;1004.8;23;1;2;
82326;24/09/1976;1800;34.6;25.9;50;1004.8;23;1;5;
82326;25/09/1976;0000;27;25.9;92;1002.5;0;0;0;
82326;25/09/1976;1200;24;23.7;98;1004.5;0;0;9;
82326;25/09/1976;1800;28;25.8;84;1004.9;32;1;1;
82326;26/09/1976;0000;26.5;25.5;92;1002.7;0;0;1;
82326;26/09/1976;1200;24.7;24;94;1005.9;0;0;1;
82326;26/09/1976;1800;31.6;27;70;1004.3;18;1;8;
82326;27/09/1976;0000;28.7;26.7;86;1002.4;0;0;0;
82326;27/09/1976;1200;25.3;23.7;88;1008.2;18;3;1;
82326;27/09/1976;1800;26.7;25.8;93;1005.9;23;1;1;
82326;28/09/1976;0000;27.6;26.3;90;1002.7;0;0;0;
82326;28/09/1976;1200;24.9;24.5;97;1007.9;0;0;1;
82326;28/09/1976;1800;31.2;26.8;71;1005.1;23;1;8;
82326;29/09/1976;0000;28.7;26.9;87;1002.5;14;1;5;
82326;29/09/1976;1200;23.5;22.6;93;1005.9;0;0;7;
82326;29/09/1976;1800;33.7;26.9;59;1004.8;23;3;7;
82326;30/09/1976;0000;27.1;26;92;1002.2;0;0;1;
82326;30/09/1976;1200;24.5;23.6;93;1004.9;32;1;8;
82326;30/09/1976;1800;30.6;27.1;77;1005.3;18;1;1;
82326;01/10/1976;0000;28;26.7;90;1001.5;0;0;1;
82326;01/10/1976;1200;25.5;24.5;92;1006.8;0;0;1;
82326;01/10/1976;1800;32.5;27;65;1004.4;18;2;5;
82326;02/10/1976;0000;26;24.5;88;1005.5;18;9;1;
82326;02/10/1976;1200;23.6;22.3;90;1004.9;0;0;1;
82326;02/10/1976;1800;30;25;67;1005.5;23;1;6;
82326;03/10/1976;0000;26;24.6;89;1003.4;5;1;7;
82326;03/10/1976;1200;24;23.5;96;1006;0;0;2;
82326;03/10/1976;1800;33.1;25.7;55;1004.3;23;3;5;
82326;04/10/1976;0000;29;26.4;82;1001.8;0;0;4;
82326;04/10/1976;1200;25.2;24.4;94;1004.6;9;1;5;
82326;04/10/1976;1800;35;27;54;1003.8;5;1;8;
82326;05/10/1976;0000;28.5;26.7;87;1001.2;0;0;0;
82326;05/10/1976;1200;25.7;25;95;1004.6;0;0;8;
82326;05/10/1976;1800;33.6;27.7;64;1003.3;14;1;7;
82326;06/10/1976;0000;29.5;26.5;79;1001.9;0;0;5;
82326;06/10/1976;1200;23.7;23;94;1007.4;23;1;1;
82326;06/10/1976;1800;25.7;24.8;93;1004.8;18;3;1;
82326;07/10/1976;0000;28.3;25.7;81;1003.4;0;0;1;
82326;07/10/1976;1200;25;24.5;96;1005;0;0;1;
82326;07/10/1976;1800;32;26.8;67;1003.8;9;4;1;
82326;08/10/1976;0000;28.8;27;87;1001.8;0;0;4;
82326;08/10/1976;1200;25;24.6;97;1005.8;0;0;1;
82326;08/10/1976;1800;31.7;27.5;73;1003.1;18;2;7;
82326;09/10/1976;0000;28.5;25.7;80;1000.2;0;0;4;
82326;09/10/1976;1200;25.1;24.4;94;1004.6;14;1;1;
82326;09/10/1976;1800;32.7;26.8;63;1002.7;18;2;7;
82326;10/10/1976;0000;29.8;27.6;85;999.1;0;0;0;
82326;10/10/1976;1200;26.8;25;87;1004.7;18;3;1;
82326;10/10/1976;1800;28.9;24.9;72;1004.1;18;1;1;
82326;11/10/1976;0000;28.5;25.2;77;1002.4;18;1;0;
82326;11/10/1976;1200;24.5;23.6;93;1007.4;18;2;1;
82326;11/10/1976;1800;28;25.6;83;1007.4;14;1;1;
82326;12/10/1976;0000;26.1;24.9;91;1004.6;0;0;0;
82326;12/10/1976;1200;24.5;23.7;94;1008.5;0;0;1;
82326;12/10/1976;1800;30.8;26.8;73;1007;18;1;1;
82326;13/10/1976;0000;26.9;24.8;84;1004.5;18;1;1;
82326;13/10/1976;1200;25;24.2;94;1009.1;23;1;1;
82326;13/10/1976;1800;32;26.5;65;1006.3;23;2;1;
82326;14/10/1976;0000;26.6;25.1;89;1004.3;0;0;1;
82326;14/10/1976;1200;25.3;22.8;81;1007.7;18;1;8;
82326;14/10/1976;1800;31.8;26.9;68;1005.2;18;1;6;
82326;15/10/1976;0000;25.8;24.9;93;1002.6;0;0;1;
82326;15/10/1976;1200;24.1;23.8;98;1007.9;0;0;1;
82326;15/10/1976;1800;32;27.3;70;1005;18;1;8;
82326;16/10/1976;0000;28.4;25.7;81;1003.1;0;0;1;
82326;16/10/1976;1200;26.1;24.5;88;1006.9;18;1;1;
82326;16/10/1976;1800;32;26.7;66;1004.6;23;2;5;
82326;17/10/1976;0000;26.2;24.5;87;1003.7;23;2;1;
82326;17/10/1976;1200;24;23.5;96;1006.1;0;0;1;
82326;17/10/1976;1800;32.4;27;66;1003.6;23;1;7;
82326;18/10/1976;0000;24.6;24;95;1002.5;0;0;1;
82326;18/10/1976;1200;24.4;23.3;91;1005.9;0;0;1;
82326;18/10/1976;1800;24.3;23.6;94;1004.1;5;1;1;
82326;19/10/1976;0000;25.8;24.9;93;1002.9;0;0;1;
82326;19/10/1976;1200;24.6;23.8;94;1005.7;0;0;1;
82326;19/10/1976;1800;31.1;27.8;78;1004;23;1;1;
82326;20/10/1976;0000;25.9;24.6;90;1005.7;0;0;1;
82326;20/10/1976;1200;24.5;23.6;93;1007;9;1;1;
82326;20/10/1976;1800;30.5;25.9;69;1005.7;23;1;8;
82326;21/10/1976;0000;26.7;25;87;1004.6;18;2;1;
82326;21/10/1976;1200;24.6;23.7;93;1009.1;23;1;1;
82326;21/10/1976;1800;27.6;24.7;79;1006.8;18;2;1;
82326;22/10/1976;0000;25.8;24.7;91;1004.8;0;0;1;
82326;22/10/1976;1200;23.8;23.5;98;1005.4;36;2;9;
82326;22/10/1976;1800;28.1;25.8;83;1004.2;36;3;1;
82326;23/10/1976;0000;25.2;24.5;94;1002;0;0;0;
82326;23/10/1976;1200;25.6;24;88;1005.9;32;1;1;
82326;23/10/1976;1800;30.5;26.8;75;1004.4;23;2;8;
82326;24/10/1976;0000;25.5;24.7;94;1002;0;0;1;
82326;24/10/1976;1200;24.7;23.8;93;1005.8;0;0;1;
82326;24/10/1976;1800;29.2;26.5;81;1005.2;23;1;1;
82326;25/10/1976;0000;25.5;24.2;90;1002.7;0;0;1;
82326;25/10/1976;1200;24.6;23.8;94;1004.3;0;0;7;
82326;25/10/1976;1800;30.9;27.6;78;1002.1;18;1;9;
82326;26/10/1976;0000;27.7;25.8;86;1001.2;0;0;0;
82326;26/10/1976;1200;25.4;24.8;95;1003;0;0;1;
82326;26/10/1976;1800;34.8;27;54;1000.6;5;3;9;
82326;27/10/1976;0000;29.5;27.6;87;1001.8;0;0;1;
82326;27/10/1976;1200;23.7;23;94;1006;18;3;1;
82326;27/10/1976;1800;26.8;24.3;82;1004.5;18;2;1;
82326;28/10/1976;0000;27;25.9;92;1004.4;0;0;0;
82326;28/10/1976;1200;24.1;23.2;93;1007.1;18;3;1;
82326;28/10/1976;1800;31;26.5;70;1005;18;2;1;
82326;29/10/1976;0000;28.9;26.5;83;1004.1;0;0;0;
82326;29/10/1976;1200;26.9;26.2;87;1007.6;0;0;9;
82326;29/10/1976;1800;33;26.7;61;1003.8;18;2;7;
82326;30/10/1976;0000;25.1;24.8;98;1002.7;0;0;1;
82326;30/10/1976;1200;24.1;23.6;96;1006.1;0;0;1;
82326;30/10/1976;1800;30.7;26;69;1005.3;18;3;1;
82326;31/10/1976;0000;28.2;26.3;86;1002.6;0;0;7;
82326;31/10/1976;1200;25.4;24.4;92;1004.5;0;0;8;
82326;31/10/1976;1800;32;27.2;69;1004.8;18;3;1;
82326;01/11/1976;0000;28.7;25.7;79;999.6;18;1;1;
82326;01/11/1976;1200;24.8;23.3;88;1005.2;23;2;1;
82326;01/11/1976;1800;32.2;27.8;72;1003.1;14;1;1;
82326;02/11/1976;0000;28.3;26.8;89;1002;0;0;3;
82326;02/11/1976;1200;26;25.3;95;1006.7;23;1;8;
82326;02/11/1976;1800;32.4;27;66;1003.8;18;3;7;
82326;03/11/1976;0000;28.8;27.2;88;1001.7;0;0;0;
82326;03/11/1976;1200;25.8;25.2;95;1004.3;0;0;7;
