<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82336</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : ITACOATIARA - AM (OMM: 82336)
Latitude  (graus) : -3.13
Longitude (graus) : -58.43
Altitude  (metros): 40.00
Esta��o Operante
Inicio de opera��o: 01/01/1927
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82336;01/01/1961;1200;;;;;;1;;
82336;02/01/1961;1200;;;;;;1;;
82336;03/01/1961;1200;;;;;;1;;
82336;04/01/1961;1200;;;;;;1;;
82336;05/01/1961;1200;;;;;;2;;
82336;06/01/1961;1200;;;;;;1;;
82336;07/01/1961;1200;;;;;;0;;
82336;08/01/1961;1200;;;;;;1;;
82336;09/01/1961;1200;;;;;;1;;
82336;10/01/1961;1200;;;;;;1;;
82336;11/01/1961;1200;;;;;;1;;
82336;12/01/1961;1200;;;;;;1;;
82336;13/01/1961;1200;;;;;;1;;
82336;14/01/1961;1200;;;;;;1;;
82336;15/01/1961;1200;;;;;;1;;
82336;16/01/1961;1200;;;;;;1;;
82336;17/01/1961;1200;;;;;;1;;
82336;18/01/1961;1200;;;;;;1;;
82336;19/01/1961;1200;;;;;;1;;
82336;20/01/1961;1200;;;;;;1;;
82336;21/01/1961;1200;;;;;;1;;
82336;22/01/1961;1200;;;;;;1;;
82336;23/01/1961;1200;;;;;;1;;
82336;24/01/1961;1200;;;;;;1;;
82336;25/01/1961;1200;;;;;;1;;
82336;26/01/1961;1200;;;;;;1;;
82336;27/01/1961;1200;;;;;;1;;
82336;28/01/1961;1200;;;;;;1;;
82336;29/01/1961;1200;;;;;;1;;
82336;30/01/1961;1200;;;;;;0;;
82336;31/01/1961;1200;;;;;;1;;
82336;01/02/1961;1200;;;;1014.9;0;0;1;
82336;01/02/1961;1800;;;;1010.1;14;1;8;
82336;02/02/1961;0000;;;;1010.8;14;1;1;
82336;02/02/1961;1200;;;;1014.2;9;1;1;
82336;02/02/1961;1800;;;;1013.2;0;0;1;
82336;03/02/1961;0000;;;;1009.8;14;1;1;
82336;03/02/1961;1200;;;;1015.6;14;1;1;
82336;03/02/1961;1800;;;;1012.8;14;1;8;
