<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82396</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : FORTALEZA-UFCE - CE (OMM: 82396)
Latitude  (graus) : -3.73
Longitude (graus) : -38.54
Altitude  (metros): 19.53
Esta��o Desativada
Inicio de opera��o: 27/10/1910
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82396;01/01/1994;1200;25.6;24;88;;14;2.6;10;
82396;01/01/1994;1800;29.1;25;72;;5;5;10;
82396;02/01/1994;0000;27.4;25;82;;0;2.6;8;
82396;02/01/1994;1200;24.4;23.4;92;;14;2;10;
82396;02/01/1994;1800;29.6;25.1;70;;5;4.1;10;
82396;03/01/1994;0000;26.8;24.4;82;;0;1.6;4;
82396;03/01/1994;1200;29.2;24.8;70;;9;4.5;7;
82396;03/01/1994;1800;29.4;25.2;71;;9;6;6;
82396;04/01/1994;0000;27.4;24.2;77;;9;3;5;
82396;04/01/1994;1200;28.6;24.6;72;;9;4.5;7;
82396;04/01/1994;1800;28.4;24.4;72;;5;3;8;
82396;05/01/1994;0000;27;24.6;82;;5;1.6;7;
82396;05/01/1994;1200;26.2;24.8;89;;9;1;9;
82396;05/01/1994;1800;26.8;24.2;81;;0;0;8;
82396;06/01/1994;0000;24.6;23.6;92;;0;0;7;
82396;06/01/1994;1200;27.2;25;84;;9;2;8;
82396;06/01/1994;1800;30;24.6;64;;9;4;4;
82396;07/01/1994;0000;25.6;23.6;85;;0;0;6;
82396;07/01/1994;1200;29;23.8;65;;9;2;6;
82396;07/01/1994;1800;29.4;23.4;60;;9;4.5;4;
82396;08/01/1994;0000;27;23.8;77;;9;2.5;4;
82396;08/01/1994;1200;28.8;24;67;;9;4;9;
82396;08/01/1994;1800;28.6;24.4;71;;5;4.3;5;
82396;09/01/1994;0000;26.8;23.7;77;;5;2.5;4;
82396;09/01/1994;1200;28.8;24.2;68;;5;3;5;
82396;09/01/1994;1800;29.6;24.3;65;;9;3.5;3;
82396;10/01/1994;0000;27;24;78;;14;2.6;3;
82396;10/01/1994;1200;30;24.8;66;;9;6.5;6;
82396;10/01/1994;1800;30.8;25;63;;9;4;2;
82396;11/01/1994;0000;27.2;24.2;78;;9;3.3;3;
82396;11/01/1994;1200;31;25.8;66;;9;3.5;6;
82396;11/01/1994;1800;30.4;24.8;63;;9;7.5;3;
82396;12/01/1994;0000;27.6;23.8;73;;9;4;4;
82396;12/01/1994;1200;29;24.2;67;;14;5;8;
82396;12/01/1994;1800;30;24.4;63;;9;6;6;
82396;13/01/1994;0000;26.8;22.8;71;;14;3;2;
82396;13/01/1994;1200;29;24.6;70;;9;3.5;7;
82396;13/01/1994;1800;30.4;23.8;58;;9;7;3;
82396;14/01/1994;0000;27.8;24.2;74;;5;3.6;8;
82396;14/01/1994;1200;30.4;25.2;66;;5;5.5;6;
82396;14/01/1994;1800;29.6;24.2;64;;9;8;7;
82396;15/01/1994;0000;27.3;24;76;;14;2;10;
82396;15/01/1994;1200;28.7;25;74;;9;3.6;5;
82396;15/01/1994;1800;29.5;25;70;;5;3.6;5;
82396;16/01/1994;0000;27.1;24.4;80;;0;0;7;
82396;16/01/1994;1200;29.4;25;70;;14;4.1;6;
82396;16/01/1994;1800;30.6;24.7;62;;9;4.3;4;
82396;17/01/1994;0000;27.1;24.4;80;;14;3;4;
82396;17/01/1994;1200;29;24.8;71;;5;3;7;
82396;17/01/1994;1800;29.8;24.8;67;;5;6.5;4;
82396;18/01/1994;0000;27.3;24.2;77;;0;0;4;
82396;18/01/1994;1200;29.6;25.6;73;;9;3.5;6;
82396;18/01/1994;1800;30.2;25;66;;5;4;4;
82396;19/01/1994;0000;27.3;24.3;78;;5;2.8;5;
82396;19/01/1994;1200;29.4;25;70;;9;4;6;
82396;19/01/1994;1800;30.4;24.8;63;;5;5;3;
82396;20/01/1994;0000;28;24.2;73;;9;1.6;6;
82396;20/01/1994;1200;29.4;24.8;69;;9;2.5;7;
82396;20/01/1994;1800;31;24.6;59;;9;5;2;
82396;21/01/1994;0000;27.6;24.1;75;;9;3.3;6;
82396;21/01/1994;1200;29;25.4;75;;5;4.5;6;
82396;21/01/1994;1800;28.6;24.6;72;;9;3.5;8;
82396;22/01/1994;0000;27.5;24.2;76;;0;0;8;
82396;22/01/1994;1200;28.6;24.5;72;;14;3.5;10;
82396;22/01/1994;1800;29.6;25;69;;5;4.5;5;
82396;23/01/1994;0000;27.4;24.2;77;;14;3;8;
82396;23/01/1994;1200;29.6;24.6;66;;9;3.5;5;
82396;23/01/1994;1800;31;24.8;60;;9;4;2;
82396;24/01/1994;0000;27.3;24;76;;9;3;4;
82396;24/01/1994;1200;29;25.2;74;;14;3.5;6;
82396;24/01/1994;1800;31;24;56;;9;3.5;4;
82396;25/01/1994;0000;27.8;23.8;72;;9;4.3;4;
82396;25/01/1994;1200;30.4;24;59;;9;6.5;4;
82396;25/01/1994;1800;31.4;23.4;51;;9;3;2;
82396;26/01/1994;0000;27.2;24.2;78;;9;2.8;1;
82396;26/01/1994;1200;30;24;61;;9;4.5;4;
82396;26/01/1994;1800;30.6;24.6;61;;9;3.5;6;
82396;27/01/1994;0000;27.6;24.2;76;;9;3;4;
82396;27/01/1994;1200;29.6;24.8;68;;14;4;8;
82396;27/01/1994;1800;29.6;24.2;64;;14;5;6;
82396;28/01/1994;0000;27.5;24.2;76;;14;3;4;
82396;28/01/1994;1200;25;23.8;91;;18;4;10;
82396;28/01/1994;1800;28.6;24.6;72;;14;4;7;
82396;29/01/1994;0000;27.3;24.4;79;;9;3.3;7;
82396;29/01/1994;1200;28.8;24.2;68;;9;5.3;9;
82396;29/01/1994;1800;30;24;61;;9;5;5;
82396;30/01/1994;0000;27.5;24.2;76;;9;3.7;8;
82396;30/01/1994;1200;29.6;24.4;65;;14;4.3;5;
82396;30/01/1994;1800;30;24.2;62;;9;5.7;4;
82396;31/01/1994;0000;27.7;24.4;76;;14;3.2;2;
82396;31/01/1994;1200;29;25.2;74;;14;3.5;6;
82396;31/01/1994;1800;30.6;25;64;;9;5;7;
82396;01/02/1994;0000;27.8;24.2;74;;9;3;2;
82396;01/02/1994;1200;29.2;25.8;76;;14;3.5;7;
82396;01/02/1994;1800;29.4;24.8;69;;9;5.5;8;
82396;02/02/1994;0000;27.1;24;77;;5;3.3;2;
82396;02/02/1994;1200;30;25.6;70;;9;3.5;6;
82396;02/02/1994;1800;30.6;24.8;62;;5;4;3;
