<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82400</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : FERNANDO DE NORONHA - PE (OMM: 82400)
Latitude  (graus) : -3.85
Longitude (graus) : -32.41
Altitude  (metros): 55.00
Esta��o Operante
Inicio de opera��o: 01/01/1911
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82400;01/01/2015;1200;28.8;;63;1008;14;6.68772;6.25;
82400;01/01/2015;1800;27.9;;66;1005.6;14;4.62996;3.75;
82400;02/01/2015;1200;28.3;;67;1007.4;12;4.62996;5;
82400;02/01/2015;1800;28.3;;65;1005.7;13;4.11552;5;
82400;03/01/2015;1200;28.4;;64;1007.7;12;5.65884;5;
82400;03/01/2015;1800;28.4;;62;1005.7;12;5.65884;3.75;
82400;04/01/2015;1200;28.5;;65;1009.1;11;6.17328;7.5;
82400;04/01/2015;1800;27;;68;1007.3;11;5.1444;8.75;
82400;05/01/2015;1200;29;;70;1009.4;12;6.68772;3.75;
82400;05/01/2015;1800;28;;71;1007.3;13;6.17328;6.25;
82400;06/01/2015;1200;29.1;;70;1008.5;13;6.68772;5;
82400;06/01/2015;1800;28.6;;68;1006.6;13;6.68772;5;
82400;07/01/2015;1200;27.4;;73;1008.6;14;5.65884;5;
82400;07/01/2015;1800;28.7;;65;1005.9;13;5.65884;2.5;
82400;08/01/2015;1200;28.7;;64;1008.3;13;6.17328;2.5;
82400;08/01/2015;1800;28.3;;69;1006.1;16;5.1444;3.75;
82400;09/01/2015;1200;28.6;;67;1008;15;7.20216;2.5;
82400;09/01/2015;1800;28.4;;65;1005.7;17;6.17328;2.5;
82400;10/01/2015;1200;28.7;;66;1008.2;14;6.68772;2.5;
82400;10/01/2015;1800;28.2;;67;1006;13;6.17328;3.75;
82400;11/01/2015;1200;29.2;;66;1008.6;13;5.65884;3.75;
82400;11/01/2015;1800;28;;71;1006.4;13;5.1444;5;
82400;12/01/2015;1200;28.3;;73;1008.7;13;7.20216;6.25;
