<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82410</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : BENJAMIN CONSTANT - AM (OMM: 82410)
Latitude  (graus) : -4.38
Longitude (graus) : -70.03
Altitude  (metros): 65.00
Esta��o Operante
Inicio de opera��o: 01/01/1924
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82410;01/01/1961;0000;;;;;;1;6;
82410;01/01/1961;1200;;;;;14;1;6;
82410;01/01/1961;1800;;;;;36;1;6;
82410;02/01/1961;0000;;;;;0;0;5;
82410;02/01/1961;1200;;;;;9;1;1;
82410;02/01/1961;1800;;;;;14;1;1;
82410;03/01/1961;0000;;;;;0;0;1;
82410;03/01/1961;1200;;;;;0;0;7;
82410;03/01/1961;1800;;;;;36;1;7;
82410;04/01/1961;0000;;;;;14;1;1;
82410;04/01/1961;1200;;;;;0;0;9;
82410;04/01/1961;1800;;;;;32;3;6;
82410;05/01/1961;0000;;;;;18;1;1;
82410;05/01/1961;1200;;;;;14;1;1;
82410;05/01/1961;1800;;;;;14;1;1;
82410;06/01/1961;0000;;;;;18;1;1;
82410;06/01/1961;1200;;;;;9;1;1;
82410;06/01/1961;1800;;;;;36;3;1;
82410;07/01/1961;0000;;;;;18;1;1;
82410;07/01/1961;1200;;;;;0;0;5;
82410;07/01/1961;1800;;;;;27;3;1;
82410;08/01/1961;0000;;;;;18;1;1;
82410;08/01/1961;1200;;;;;14;1;7;
82410;08/01/1961;1800;;;;;14;1;9;
82410;09/01/1961;0000;;;;;18;1;6;
82410;09/01/1961;1200;;;;;23;3;1;
82410;09/01/1961;1800;;;;;5;1;8;
82410;10/01/1961;0000;;;;;14;1;1;
82410;10/01/1961;1200;;;;;0;0;1;
82410;10/01/1961;1800;;;;;9;1;6;
82410;11/01/1961;0000;;;;;9;1;1;
82410;11/01/1961;1200;;;;;0;0;9;
82410;11/01/1961;1800;;;;;18;3;8;
82410;12/01/1961;0000;;;;;9;1;1;
82410;12/01/1961;1200;;;;;18;1;1;
82410;12/01/1961;1800;;;;;23;3;1;
82410;13/01/1961;0000;;;;;18;1;1;
82410;13/01/1961;1200;;;;;0;0;7;
82410;13/01/1961;1800;;;;;5;3;6;
82410;14/01/1961;0000;;;;;9;1;7;
82410;14/01/1961;1200;;;;;14;1;7;
82410;14/01/1961;1800;;;;;9;1;6;
82410;15/01/1961;0000;;;;;36;1;5;
82410;15/01/1961;1200;;;;;23;1;1;
82410;15/01/1961;1800;;;;;9;3;6;
82410;16/01/1961;0000;;;;;18;1;7;
82410;16/01/1961;1200;;;;;32;1;1;
82410;16/01/1961;1800;;;;;32;3;9;
82410;17/01/1961;0000;;;;;9;1;6;
82410;17/01/1961;1200;;;;;0;0;7;
82410;17/01/1961;1800;;;;;36;1;6;
82410;18/01/1961;0000;;;;;14;1;6;
82410;18/01/1961;1200;;;;;9;1;9;
82410;18/01/1961;1800;;;;;9;3;7;
82410;19/01/1961;0000;;;;;0;1;6;
82410;19/01/1961;1200;;;;;5;1;7;
82410;19/01/1961;1800;;;;;36;3;5;
82410;20/01/1961;0000;;;;;14;1;7;
82410;20/01/1961;1200;;;;;5;1;1;
82410;20/01/1961;1800;;;;;32;1;6;
82410;21/01/1961;0000;;;;;9;0;8;
82410;21/01/1961;1200;;;;;0;0;1;
82410;21/01/1961;1800;;;;;18;1;1;
82410;22/01/1961;0000;;;;;0;1;0;
82410;22/01/1961;1200;;;;;36;1;5;
82410;22/01/1961;1800;;;;;32;3;6;
82410;23/01/1961;0000;;;;;18;0;7;
82410;23/01/1961;1200;;;;;0;0;8;
82410;23/01/1961;1800;;;;;9;1;7;
82410;24/01/1961;0000;;;;;0;1;4;
82410;24/01/1961;1200;;;;;23;1;5;
82410;24/01/1961;1800;;;;;32;1;4;
82410;25/01/1961;0000;;;;;18;0;1;
82410;25/01/1961;1200;;;;;23;1;5;
82410;25/01/1961;1800;;;;;27;1;4;
82410;26/01/1961;0000;;;;;0;1;1;
82410;26/01/1961;1200;;;;;27;1;9;
82410;26/01/1961;1800;;;;;9;1;7;
82410;27/01/1961;0000;;;;;14;1;1;
82410;27/01/1961;1200;;;;;14;1;1;
82410;27/01/1961;1800;;;;;27;3;1;
82410;28/01/1961;0000;;;;;18;1;1;
82410;28/01/1961;1200;;;;;18;3;1;
82410;28/01/1961;1800;;;;;23;1;6;
82410;29/01/1961;0000;;;;;36;1;6;
82410;29/01/1961;1200;;;;;9;1;6;
82410;29/01/1961;1800;;;;;32;1;1;
82410;30/01/1961;0000;;;;;18;0;1;
82410;30/01/1961;1200;;;;;14;1;8;
82410;30/01/1961;1800;;;;;27;1;5;
82410;31/01/1961;0000;;;;;0;1;6;
82410;31/01/1961;1200;;;;;5;1;9;
82410;31/01/1961;1800;;;;;5;1;5;
82410;01/02/1961;0000;;;;;32;0;4;
82410;01/02/1961;1200;;;;;5;3;9;
82410;01/02/1961;1800;;;;;9;1;7;
82410;02/02/1961;0000;;;;;0;0;4;
82410;02/02/1961;1200;;;;;5;3;3;
82410;02/02/1961;1800;;;;;9;3;7;
82410;03/02/1961;0000;;;;;0;0;4;
82410;03/02/1961;1200;;;;;9;1;1;
82410;03/02/1961;1800;;;;;23;1;1;
82410;04/02/1961;0000;;;;;18;1;7;
82410;04/02/1961;1200;;;;;18;1;6;
82410;04/02/1961;1800;;;;;0;0;7;
82410;05/02/1961;0000;;;;;23;1;1;
82410;05/02/1961;1200;;;;;14;1;7;
82410;05/02/1961;1800;;;;;36;3;5;
82410;06/02/1961;0000;;;;;0;0;0;
82410;06/02/1961;1200;;;;;5;1;4;
82410;06/02/1961;1800;;;;;5;3;6;
82410;07/02/1961;0000;;;;;0;0;0;
82410;07/02/1961;1200;;;;;9;1;1;
82410;07/02/1961;1800;;;;;36;1;7;
82410;08/02/1961;0000;;;;;0;0;1;
82410;08/02/1961;1200;;;;;36;1;1;
82410;08/02/1961;1800;;;;;18;3;8;
82410;09/02/1961;0000;;;;;14;3;1;
82410;09/02/1961;1200;;;;;14;1;1;
82410;09/02/1961;1800;;;;;9;3;7;
82410;10/02/1961;0000;;;;;18;1;6;
82410;10/02/1961;1200;;;;;5;3;8;
82410;10/02/1961;1800;;;;;0;0;1;
82410;11/02/1961;0000;;;;;14;1;7;
82410;11/02/1961;1200;;;;;14;1;6;
82410;11/02/1961;1800;;;;;23;3;7;
82410;12/02/1961;0000;;;;;0;0;0;
82410;12/02/1961;1200;;;;;36;3;4;
82410;12/02/1961;1800;;;;;0;0;5;
82410;13/02/1961;0000;;;;;5;1;7;
82410;13/02/1961;1200;;;;;9;1;7;
82410;13/02/1961;1800;;;;;5;1;6;
82410;14/02/1961;0000;;;;;9;3;1;
82410;14/02/1961;1200;;;;;36;1;7;
82410;14/02/1961;1800;;;;;36;3;8;
82410;15/02/1961;0000;;;;;18;1;6;
82410;15/02/1961;1200;;;;;0;0;1;
82410;15/02/1961;1800;;;;;5;1;7;
82410;16/02/1961;0000;;;;;14;1;1;
82410;16/02/1961;1200;;;;;36;1;1;
82410;16/02/1961;1800;;;;;36;3;1;
82410;17/02/1961;0000;;;;;14;1;1;
82410;17/02/1961;1200;;;;;9;3;1;
82410;17/02/1961;1800;;;;;5;3;7;
82410;18/02/1961;0000;;;;;14;1;1;
82410;18/02/1961;1200;;;;;23;1;1;
82410;18/02/1961;1800;;;;;5;1;4;
82410;19/02/1961;0000;;;;;0;0;0;
82410;19/02/1961;1200;;;;;36;1;7;
82410;19/02/1961;1800;;;;;9;3;7;
82410;20/02/1961;0000;;;;;18;1;1;
82410;20/02/1961;1200;;;;;0;0;5;
82410;20/02/1961;1800;;;;;5;3;5;
82410;21/02/1961;0000;;;;;14;1;6;
82410;21/02/1961;1200;;;;;0;0;1;
82410;21/02/1961;1800;;;;;5;3;7;
82410;22/02/1961;0000;;;;;14;1;6;
82410;22/02/1961;1200;;;;;14;3;1;
82410;22/02/1961;1800;;;;;9;1;3;
82410;23/02/1961;0000;;;;;0;0;0;
82410;23/02/1961;1200;;;;;9;1;1;
82410;23/02/1961;1800;;;;;0;0;6;
82410;24/02/1961;0000;;;;;18;1.6;6;
82410;24/02/1961;1200;;;;;5;1;8;
82410;24/02/1961;1800;;;;;5;3;7;
82410;25/02/1961;0000;;;;;14;1;6;
82410;25/02/1961;1200;;;;;9;1.6;1;
82410;25/02/1961;1800;;;;;36;1.6;7;
82410;26/02/1961;0000;;;;;0;0;0;
82410;26/02/1961;1200;;;;;14;1;8;
82410;26/02/1961;1800;;;;;5;3;1;
82410;27/02/1961;0000;;;;;0;0;7;
82410;27/02/1961;1200;;;;;18;1;9;
82410;27/02/1961;1800;;;;;14;1;8;
82410;28/02/1961;0000;;;;;5;3;6;
82410;28/02/1961;1200;;;;;9;1;1;
82410;28/02/1961;1800;;;;;5;3;5;
82410;01/03/1961;0000;;;;;0;0;5;
82410;01/03/1961;1200;;;;;36;1;1;
82410;01/03/1961;1800;;;;;32;1;7;
82410;02/03/1961;0000;;;;;5;3;1;
82410;02/03/1961;1200;;;;;14;3;1;
82410;02/03/1961;1800;;;;;32;1;7;
82410;03/03/1961;0000;;;;;0;0;5;
82410;03/03/1961;1200;;;;;14;1;1;
82410;03/03/1961;1800;;;;;5;3;6;
82410;04/03/1961;0000;;;;;14;1;7;
82410;04/03/1961;1200;;;;;9;1;8;
82410;04/03/1961;1800;;;;;14;3;6;
82410;05/03/1961;0000;;;;;23;1;5;
82410;05/03/1961;1200;;;;;18;1;8;
82410;05/03/1961;1800;;;;;36;3;6;
82410;06/03/1961;0000;;;;;0;0;0;
82410;06/03/1961;1200;;;;;5;1;6;
82410;06/03/1961;1800;;;;;0;0;9;
82410;07/03/1961;0000;;;;;18;1;5;
82410;07/03/1961;1200;;;;;9;1;1;
82410;07/03/1961;1800;;;;;18;1;1;
82410;08/03/1961;0000;;;;;18;1;1;
82410;08/03/1961;1200;;;;;14;1;1;
82410;08/03/1961;1800;;;;;32;1;6;
82410;09/03/1961;0000;;;;;0;0;0;
82410;09/03/1961;1200;;;;;23;1;1;
82410;09/03/1961;1800;;;;;0;0;6;
82410;10/03/1961;0000;;;;;18;1;5;
