<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82411</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : TABATINGA - AM (OMM: 82411)
Latitude  (graus) : -4.25
Longitude (graus) : -69.93
Altitude  (metros): 81.00
Esta��o Operante
Inicio de opera��o: 00/00/0000
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82411;01/01/2015;1200;25.2;;94;1002.8;23;1.02888;8.75;
82411;01/01/2015;1800;30.8;;62;999.9;28;1.54332;7.5;
82411;02/01/2015;1200;24.2;;95;1003.6;26;1.02888;8.75;
82411;02/01/2015;1800;30.3;;71;1001.4;30;1.54332;5;
82411;03/01/2015;1200;24;;98;1003;17;1.02888;10;
82411;03/01/2015;1800;29;;73;1002;20;2.5722;7.5;
82411;04/01/2015;1200;24;;92;1004.4;17;3.08664;7.5;
82411;04/01/2015;1800;29.6;;72;1002.7;18;2.5722;5;
82411;05/01/2015;1200;23.4;;95;1004.8;23;2.5722;8.75;
82411;05/01/2015;1800;29.6;;71;1003.2;20;2.05776;7.5;
82411;06/01/2015;1200;23.7;;92;1005.1;0;0;7.5;
82411;06/01/2015;1800;29.8;;72;1003.6;20;1.02888;8.75;
82411;07/01/2015;1200;24;;94;1004;23;1.02888;8.75;
82411;07/01/2015;1800;30.1;;67;1001.6;28;1.54332;8.75;
82411;08/01/2015;1200;24.2;;92;1003.8;20;1.54332;7.5;
82411;08/01/2015;1800;25.4;;89;1002.6;32;4.11552;8.75;
82411;09/01/2015;1200;23.8;;94;1005.2;30;1.02888;6.25;
82411;09/01/2015;1800;29.8;;67;1002.7;31;2.5722;7.5;
82411;10/01/2015;1200;23;;100;1005.3;1;1.54332;10;
82411;10/01/2015;1800;24.5;;90;1004.3;33;1.54332;10;
82411;11/01/2015;1200;23.6;;98;1005.1;24;1.02888;10;
82411;11/01/2015;1800;30.8;;66;1002.3;18;1.54332;6.25;
82411;12/01/2015;1200;23.1;;98;1005.2;11;0.51444;10;
82411;12/01/2015;1800;27;;84;1003.1;24;1.54332;8.75;
82411;13/01/2015;1200;24.4;;95;1003.3;28;0.51444;7.5;
82411;13/01/2015;1800;31.9;;60;1001;32;3.60108;8.75;
82411;14/01/2015;1200;23.2;;99;1003.7;0;0;8.75;
82411;14/01/2015;1800;28.4;;79;1001.9;6;1.54332;7.5;
82411;15/01/2015;1200;24;;98;1003.8;14;1.02888;8.75;
82411;15/01/2015;1800;30.2;;70;1002.4;30;3.08664;6.25;
82411;16/01/2015;1200;23.9;;98;1004.4;36;1.02888;8.75;
82411;16/01/2015;1800;30.2;;70;1002.5;30;2.5722;7.5;
82411;17/01/2015;1200;24.8;;90;1002.3;7;0.51444;7.5;
82411;17/01/2015;1800;31.4;;60;1000.5;10;2.05776;6.25;
82411;18/01/2015;1200;23.3;;98;1004;3;1.02888;8.75;
82411;18/01/2015;1800;28.2;;77;1003.2;29;1.54332;8.75;
82411;19/01/2015;1200;23.4;;95;1004;9;1.54332;10;
82411;19/01/2015;1800;27.8;;77;1002.9;9;1.02888;8.75;
82411;20/01/2015;1200;24;;96;1002.2;13;1.02888;7.5;
82411;20/01/2015;1800;32;;59;1000.7;11;2.05776;6.25;
82411;21/01/2015;1200;23.8;;98;1003;22;2.05776;7.5;
82411;21/01/2015;1800;27.2;;79;1001.9;20;2.05776;7.5;
82411;22/01/2015;1200;23.4;;98;1004.2;0;0;10;
82411;22/01/2015;1800;24.8;;86;1003.9;13;1.02888;8.75;
82411;23/01/2015;1200;24.2;;94;1004.4;23;0.51444;10;
82411;23/01/2015;1800;28.4;;76;1002;7;0.51444;7.5;
82411;24/01/2015;1200;22.4;;96;1003.7;7;0.51444;8.75;
82411;24/01/2015;1800;31.4;;65;1002.1;32;3.08664;7.5;
82411;25/01/2015;1200;24.2;;95;1002.2;16;0.51444;7.5;
82411;25/01/2015;1800;25.2;;92;1001.1;36;4.11552;8.75;
82411;26/01/2015;1200;24.9;;94;1001.8;0;0;8.75;
82411;26/01/2015;1800;32;;63;999.7;30;2.5722;7.5;
82411;27/01/2015;1200;23.7;;99;1003.2;13;2.05776;8.75;
82411;27/01/2015;1800;24.2;;95;1002.4;10;1.54332;10;
82411;28/01/2015;1200;24.8;;92;1001.9;13;1.02888;7.5;
82411;28/01/2015;1800;31.6;;69;1000.5;8;1.02888;8.75;
82411;29/01/2015;1200;25.6;;94;1001.2;19;1.54332;8.75;
82411;29/01/2015;1800;32;;65;999.3;22;2.5722;5;
82411;30/01/2015;1200;23;;99;1002.5;26;1.02888;10;
82411;30/01/2015;1800;23.8;;100;1002.3;19;2.05776;10;
82411;31/01/2015;1200;22.6;;100;1005.4;13;1.02888;10;
82411;31/01/2015;1800;23.7;;98;1003.5;29;1.54332;10;
82411;01/02/2015;1200;22.6;;;1004.6;11;1.02888;10;
82411;01/02/2015;1800;28.6;;;1003.9;30;2.05776;8.75;
82411;02/02/2015;1200;23.8;;;1005.3;9;2.05776;8.75;
82411;02/02/2015;1800;24.4;;;1004.7;10;1.54332;10;
82411;03/02/2015;1200;23.6;;;1004.9;27;1.02888;8.75;
82411;03/02/2015;1800;29;;;1003.5;24;2.05776;8.75;
82411;04/02/2015;1200;23.6;;;1002.6;21;0.51444;8.75;
82411;04/02/2015;1800;32;;;1000.7;28;1.54332;6.25;
82411;05/02/2015;1200;24.5;;;1002.3;28;1.02888;6.25;
82411;05/02/2015;1800;27.4;;;1002.1;31;3.08664;7.5;
82411;06/02/2015;1200;22.6;;;1002.7;0;0;;
82411;06/02/2015;1800;31.4;;;1001.4;29;2.05776;8.75;
82411;07/02/2015;1200;24.3;;;1000.4;0;0;6.25;
82411;07/02/2015;1800;32.2;;;999.8;28;2.05776;8.75;
82411;08/02/2015;1200;24.6;;;1000.5;36;0.51444;7.5;
82411;08/02/2015;1800;32.1;;;999.8;10;2.05776;8.75;
82411;09/02/2015;1200;24.4;;;1002.3;1;1.02888;10;
82411;09/02/2015;1800;28.6;;;1002;29;2.05776;10;
82411;10/02/2015;1200;24.8;;;1002;4;2.05776;10;
82411;10/02/2015;1800;28.7;;;1000.4;6;3.08664;7.5;
82411;11/02/2015;1200;24.4;;;1002.8;14;1.02888;8.75;
82411;11/02/2015;1800;31.8;;;1000.7;16;3.60108;7.5;
82411;12/02/2015;1200;23.6;;;1003.3;10;2.5722;8.75;
82411;12/02/2015;1800;30;;;1003.1;18;2.5722;8.75;
82411;13/02/2015;1200;25.2;;;1004.2;32;1.02888;8.75;
82411;13/02/2015;1800;32;;;1002.1;15;3.08664;7.5;
82411;14/02/2015;1800;30.4;;;1002.8;24;1.54332;7.5;
82411;15/02/2015;1200;24;;;1003.4;20;1.54332;8.75;
82411;15/02/2015;1800;30.2;;;1002.5;21;2.5722;8.75;
82411;16/02/2015;1200;24.8;;;1002.3;0;0;7.5;
82411;16/02/2015;1800;28;;;1000.8;26;3.60108;10;
82411;17/02/2015;1200;23.6;;;1001.3;0;0;7.5;
82411;17/02/2015;1800;30.6;;;1001.1;23;1.54332;8.75;
82411;18/02/2015;1200;26.6;;;1000.6;0;0;10;
82411;18/02/2015;1800;32.8;;;999.2;31;2.05776;7.5;
82411;19/02/2015;1200;24.6;;;998.4;2;1.02888;8.75;
82411;19/02/2015;1800;33.2;;;997.5;30;2.5722;7.5;
82411;20/02/2015;1200;25.6;;;998.1;11;1.02888;8.75;
82411;20/02/2015;1800;32.4;;;997.3;4;2.05776;7.5;
