<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82480</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : PIRIPIRI - PI (OMM: 82480)
Latitude  (graus) : -4.26
Longitude (graus) : -41.78
Altitude  (metros): 161.12
Esta��o Operante
Inicio de opera��o: 09/03/1976
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82480;09/03/1976;1200;25.9;23.7;83;991.9;14;1.1;4;
82480;09/03/1976;1800;31.2;24.3;57;988.4;9;3.3;6;
82480;10/03/1976;0000;23.6;22.5;91;990.8;0;0;8;
82480;10/03/1976;1200;26.9;22.3;67;991.1;9;3;6;
82480;10/03/1976;1800;30.1;25.1;67;986.6;18;2.6;7;
82480;11/03/1976;0000;24.3;23.6;94;989.7;32;2.1;8;
82480;11/03/1976;1200;26.5;24.1;82;990.3;9;0.3;8;
82480;11/03/1976;1800;27.9;25.9;85;985.7;32;2;10;
82480;12/03/1976;0000;22.5;22.3;98;989.2;36;3.5;10;
82480;12/03/1976;1200;25.7;24.3;89;989.9;36;0.3;8;
82480;12/03/1976;1800;32.9;24.4;50;986.2;14;3;7;
82480;13/03/1976;0000;23.9;22.9;92;989;36;2;7;
82480;13/03/1976;1200;26.5;23.9;80;988.9;0;0;5;
82480;13/03/1976;1800;30.5;25;64;987.1;36;2;5;
82480;14/03/1976;0000;23.8;23.3;96;989.9;36;1.6;10;
82480;14/03/1976;1200;25.3;23.5;86;992.2;18;1;3;
82480;14/03/1976;1800;27.6;25.1;82;988;9;4.3;9;
82480;15/03/1976;0000;23.6;23;95;991;14;1;10;
82480;15/03/1976;1200;25.4;23.9;88;992.2;27;0.8;4;
82480;15/03/1976;1800;24.3;22.5;86;987.6;27;1.8;10;
82480;16/03/1976;0000;23.5;23.1;97;991.2;0;0;10;
82480;16/03/1976;1200;25.6;23.9;87;992.2;23;1;9;
82480;16/03/1976;1800;30.3;25.1;66;987.7;23;2.5;9;
82480;17/03/1976;0000;23.9;23.4;96;991.5;0;0;10;
82480;17/03/1976;1200;25.1;23.6;88;992.4;27;0.7;10;
82480;17/03/1976;1800;29.1;26.1;79;989.3;32;1.5;7;
82480;18/03/1976;0000;23.8;23.2;95;989.6;9;1.5;10;
82480;18/03/1976;1200;27.1;24.5;81;993.4;18;1.1;8;
82480;18/03/1976;1800;31.5;24.9;59;989.8;9;1.1;6;
