<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82487</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : GUARAMIRANGA - CE (OMM: 82487)
Latitude  (graus) : -4.28
Longitude (graus) : -39
Altitude  (metros): 870.67
Esta��o Operante
Inicio de opera��o: 01/02/1911
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82487;01/01/1961;1200;19.4;18.8;94;915.8;0;0;9;
82487;01/01/1961;1800;27.4;23.2;70;915.5;0;0;5;
82487;02/01/1961;0000;22;20.8;89;915;0;0;0;
82487;02/01/1961;1200;19.4;19.2;98;917.6;14;0.9;10;
82487;02/01/1961;1800;28.6;23.8;66;917.1;0;0;5;
82487;03/01/1961;0000;22.4;21.4;91;917;0;0;9;
82487;03/01/1961;1200;20.3;19.4;91;917.5;14;0.9;5;
82487;03/01/1961;1800;26;23.2;79;917.6;0;0;5;
82487;04/01/1961;0000;20.8;20.2;95;917.1;14;2.4;0;
82487;04/01/1961;1200;21.2;20;89;917.8;14;0.9;5;
82487;04/01/1961;1800;29.2;24.8;70;917.4;0;0;4;
82487;05/01/1961;0000;22;20.8;89;917;0;0;0;
82487;05/01/1961;1200;20.3;19.4;91;917.2;0;0;8;
82487;05/01/1961;1800;28.6;25;74;917;0;0;6;
82487;06/01/1961;0000;21.6;20;87;916.4;14;0.9;0;
82487;06/01/1961;1200;19.8;19.4;96;917.1;14;0.9;9;
82487;06/01/1961;1800;28.8;24;66;917.2;0;0;2;
82487;07/01/1961;0000;22.6;21.4;89;917;0;0;0;
82487;07/01/1961;1200;20;20;100;917.4;14;0.9;10;
82487;07/01/1961;1800;27.4;23.8;74;917.4;0;0;5;
82487;08/01/1961;0000;21.8;20.2;87;916.4;0;0;0;
82487;08/01/1961;1200;20.4;19.5;91;917.1;14;0.9;10;
82487;08/01/1961;1800;28;23.2;66;916.8;14;2.4;3;
82487;09/01/1961;0000;21.6;19.2;80;916.6;14;2.4;0;
