<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82567</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CARAJAS - PA (OMM: 82567)
Latitude  (graus) : -6.11
Longitude (graus) : -50
Altitude  (metros): 621.00
Esta��o Operante
Inicio de opera��o: 00/00/0000
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82567;01/01/2015;1200;;;;;7;;7.5;
82567;01/01/2015;1800;;;;;8;;5;
82567;02/01/2015;1200;;;;;3;;7.5;
82567;02/01/2015;1800;;;;;1;;3.75;
82567;03/01/2015;1200;;;;;4;;5;
82567;03/01/2015;1800;;;;;0;;3.75;
82567;04/01/2015;0600;;;;;0;;3.75;
82567;04/01/2015;1200;;;;;5;;6.25;
82567;04/01/2015;1800;;;;;10;;7.5;
82567;05/01/2015;1200;;;;;8;;;
82567;05/01/2015;1800;;;;;7;;5;
82567;06/01/2015;1200;;;;;2;;7.5;
82567;06/01/2015;1800;;;;;7;;5;
82567;07/01/2015;1200;;;;;2;;3.75;
82567;07/01/2015;1800;;;;;6;;5;
82567;08/01/2015;1200;;;;;9;;0;
82567;08/01/2015;1800;;;;;5;;3.75;
82567;09/01/2015;1200;;;;;3;;8.75;
82567;09/01/2015;1800;;;;;5;;6.25;
82567;10/01/2015;1200;;;;;2;;7.5;
82567;10/01/2015;1800;;;;;5;;5;
82567;11/01/2015;1200;;;;;7;;7.5;
82567;11/01/2015;1800;;;;;1;;3.75;
82567;12/01/2015;1200;;;;;0;;7.5;
82567;12/01/2015;1800;;;;;4;;7.5;
82567;13/01/2015;1200;;;;;7;;8.75;
82567;13/01/2015;1800;;;;;6;;5;
82567;14/01/2015;1200;;;;;5;;7.5;
82567;14/01/2015;1800;;;;;0;;7.5;
82567;15/01/2015;1200;;;;;5;;7.5;
82567;15/01/2015;1800;;;;;5;;7.5;
82567;16/01/2015;0000;;;;;0;;8.75;
82567;16/01/2015;1200;;;;;3;;10;
82567;16/01/2015;1800;;;;;3;;10;
82567;17/01/2015;1200;;;;;0;;8.75;
82567;17/01/2015;1800;;;;;33;;6.25;
82567;18/01/2015;1200;;;;;8;;7.5;
82567;18/01/2015;1800;;;91;;0;;10;
82567;19/01/2015;1200;;;;;7;;8.75;
82567;19/01/2015;1800;;;91;;0;;8.75;
82567;20/01/2015;1200;;;;;10;;8.75;
82567;20/01/2015;1800;;;;;5;;6.25;
82567;21/01/2015;1200;;;;;3;;6.25;
82567;21/01/2015;1800;;;;;11;;5;
82567;22/01/2015;1200;;;;;25;;8.75;
82567;22/01/2015;1800;;;;;10;;7.5;
82567;23/01/2015;1200;;;;;6;;10;
82567;23/01/2015;1800;;;;;8;;7.5;
82567;24/01/2015;1200;;;;;2;;8.75;
82567;24/01/2015;1800;;;;;8;;10;
82567;25/01/2015;1200;;;;;4;;8.75;
82567;25/01/2015;1800;;;;;3;;7.5;
82567;26/01/2015;1200;;;;;6;;10;
82567;26/01/2015;1800;;;;;9;;6.25;
82567;27/01/2015;0000;;;;;0;;0;
82567;27/01/2015;1200;;;;;4;;5;
82567;27/01/2015;1800;;;;;9;;6.25;
82567;28/01/2015;0000;;;;;8;;7.5;
82567;28/01/2015;1200;;;;;3;;5;
82567;28/01/2015;1800;;;;;1;;5;
82567;29/01/2015;1200;;;;;5;;2.5;
82567;29/01/2015;1800;;;;;5;;7.5;
