<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82579</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : TERESINA  AEROPORTO - PI (OMM: 82579)
Latitude  (graus) : -5.06
Longitude (graus) : -42.82
Altitude  (metros): 67.00
Esta��o Operante
Inicio de opera��o: 00/00/0000
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82579;01/01/2015;0000;23.6;;90;1005.6;33;2.5722;10;
82579;01/01/2015;0600;22.3;;97;1003.9;0;0;0;
82579;01/01/2015;1200;25.4;;85;1006.7;4;2.05776;8.75;
82579;01/01/2015;1800;33.7;;44;1001.8;13;2.05776;3.75;
82579;02/01/2015;0000;28.3;;70;1004.2;2;4.62996;3.75;
82579;02/01/2015;0600;24.2;;92;1003;35;2.5722;0;
82579;02/01/2015;1200;26.6;;78;1006;1;2.05776;8.75;
82579;02/01/2015;1800;33;;48;1002.2;24;2.05776;3.75;
82579;03/01/2015;0000;28.9;;68;1003.6;35;1.02888;0;
82579;03/01/2015;0600;22.3;;96;1003.6;6;2.05776;8.75;
82579;03/01/2015;1200;26.1;;83;1005.8;21;3.08664;6.25;
82579;03/01/2015;1800;29.3;;70;1002.5;12;2.05776;5;
82579;04/01/2015;0000;22.8;;96;1004.5;34;1.02888;5;
82579;04/01/2015;0600;22.4;;96;1003.4;36;1.54332;0;
82579;04/01/2015;1200;26.2;;78;1007;4;3.60108;5;
82579;04/01/2015;1800;29.8;;60;1003.4;26;1.02888;7.5;
82579;05/01/2015;0000;23.8;;95;1007;5;1.54332;8.75;
82579;05/01/2015;0600;23;;98;1004.6;34;1.02888;6.25;
82579;05/01/2015;1200;25.6;;77;1007.6;8;1.54332;8.75;
82579;05/01/2015;1800;32.5;;47;1003.5;18;2.5722;3.75;
82579;06/01/2015;0000;27.2;;69;1005;21;1.54332;2.5;
82579;06/01/2015;0600;24.4;;83;1004;31;1.54332;0;
82579;06/01/2015;1200;27.6;;69;1006.7;14;1.02888;2.5;
82579;06/01/2015;1800;33.4;;41;1003;10;2.5722;3.75;
82579;07/01/2015;0000;29.2;;63;1004.1;0;0;0;
82579;07/01/2015;0600;24.8;;89;1003.4;35;2.05776;0;
82579;07/01/2015;1200;;;96;1006.7;33;1.54332;8.75;
82579;07/01/2015;1800;24.8;;92;1002.3;35;5.65884;8.75;
82579;08/01/2015;0000;26.5;;86;1002.8;24;1.54332;5;
82579;08/01/2015;0600;23.8;;98;1002.6;35;1.54332;0;
82579;08/01/2015;1200;28.1;;68;1005.7;7;2.5722;6.25;
82579;08/01/2015;1800;33.6;;45;1001.6;16;3.60108;6.25;
82579;09/01/2015;0600;24.5;;91;1002.6;32;2.05776;0;
82579;09/01/2015;1200;28.6;;68;1006.1;14;1.54332;0;
82579;09/01/2015;1800;34.1;;43;1001.9;17;2.05776;6.25;
82579;10/01/2015;0000;29.7;;59;1003.1;21;1.02888;0;
82579;10/01/2015;0600;25.2;;85;1002.9;33;2.5722;0;
82579;10/01/2015;1200;26.8;;78;1006.6;10;2.5722;8.75;
82579;10/01/2015;1800;33.7;;43;1002.3;19;4.62996;3.75;
82579;11/01/2015;0000;30;;64;1003.3;0;0;5;
82579;11/01/2015;0600;25.6;;86;1002.9;36;3.08664;6.25;
82579;11/01/2015;1200;29;;72;1006;8;2.05776;5;
82579;11/01/2015;1800;34.7;;42;1001.4;15;2.05776;5;
82579;12/01/2015;0000;29.3;;66;1003.1;1;1.54332;6.25;
82579;12/01/2015;0600;25.9;;85;1003.3;30;1.54332;0;
82579;12/01/2015;1200;28.8;;66;1006.7;7;3.08664;5;
82579;12/01/2015;1800;35.1;;35;1001.3;13;3.60108;2.5;
82579;13/01/2015;0000;28.5;;64;1002.9;36;2.05776;0;
82579;13/01/2015;0600;25.4;;77;1001.9;31;2.05776;0;
82579;13/01/2015;1200;28.9;;65;1005.2;11;2.5722;2.5;
82579;13/01/2015;1800;33.1;;49;1000;2;2.5722;5;
82579;14/01/2015;0000;27.1;;73;1002.1;16;2.5722;7.5;
82579;14/01/2015;0600;24.6;;92;1001;36;2.05776;0;
82579;14/01/2015;1200;27.8;;70;1005.5;11;2.05776;6.25;
82579;14/01/2015;1800;29.6;;65;1001.8;29;4.11552;8.75;
82579;15/01/2015;0000;27.5;;70;1002.5;0;0;6.25;
82579;15/01/2015;0600;24.6;;83;1002.2;0;0;0;
82579;15/01/2015;1200;28;;67;1005.9;11;2.5722;5;
82579;15/01/2015;1800;35;;37;1001.7;15;2.05776;5;
82579;16/01/2015;0000;29.3;;66;1003;33;3.08664;0;
82579;16/01/2015;0600;25.4;;78;1003.1;33;2.05776;0;
82579;16/01/2015;1200;28.2;;62;1006.3;11;3.60108;5;
82579;16/01/2015;1800;35.5;;35;1001.8;20;2.5722;1.25;
82579;17/01/2015;0000;30.4;;53;1003;3;1.54332;3.75;
82579;17/01/2015;0600;25.6;;79;1003.5;35;3.08664;0;
82579;17/01/2015;1200;27.6;;74;1005.8;4;2.05776;6.25;
82579;17/01/2015;1800;34.3;;43;1001.2;18;3.60108;6.25;
82579;18/01/2015;0000;28.4;;72;1002.8;34;1.54332;0;
82579;18/01/2015;0600;26.3;;81;1003;33;3.08664;0;
82579;18/01/2015;1200;28.5;;69;1006.1;11;1.54332;6.25;
82579;18/01/2015;1800;34.4;;41;1000.4;1;3.60108;5;
82579;19/01/2015;0000;25.8;;77;1004.5;35;5.65884;7.5;
82579;19/01/2015;0600;24.6;;91;1002.9;30;1.02888;7.5;
82579;19/01/2015;1200;25.5;;87;1006;20;2.5722;7.5;
82579;19/01/2015;1800;31.8;;54;1001.3;22;2.5722;8.75;
82579;20/01/2015;0000;27.2;;69;1002.5;1;2.05776;0;
82579;20/01/2015;0600;25.3;;86;1002.2;0;0;0;
82579;20/01/2015;1200;28.8;;63;1004.2;5;2.05776;3.75;
82579;20/01/2015;1800;34.5;;37;999.8;17;5.1444;3.75;
82579;21/01/2015;0000;26.5;;69;1001.7;31;1.54332;0;
82579;21/01/2015;0600;24.4;;81;1001.7;30;1.54332;7.5;
82579;21/01/2015;1200;27.1;;74;1005.6;10;1.02888;7.5;
82579;21/01/2015;1800;31.8;;50;1001.7;15;2.5722;6.25;
82579;22/01/2015;0000;27.8;;71;1003.3;30;1.54332;6.25;
82579;22/01/2015;0600;22.5;;96;1003.1;33;1.02888;6.25;
82579;22/01/2015;1200;25.8;;80;1006.1;6;1.02888;7.5;
82579;22/01/2015;1800;30.1;;57;1002.3;14;4.11552;8.75;
82579;23/01/2015;0000;26.2;;78;1003;18;2.05776;7.5;
82579;23/01/2015;0600;25.2;;88;1003.2;26;1.54332;6.25;
82579;23/01/2015;1200;27.3;;73;1006.3;28;2.05776;8.75;
82579;23/01/2015;1800;28.6;;60;1002.7;2;5.1444;8.75;
82579;24/01/2015;0000;27.2;;75;1002.9;34;1.02888;7.5;
82579;24/01/2015;0600;25.3;;89;1003.4;30;1.54332;5;
82579;24/01/2015;1200;29;;65;1004.8;7;2.5722;7.5;
82579;24/01/2015;1800;34;;38;1000.5;14;2.5722;6.25;
82579;25/01/2015;0000;29.2;;58;1003.1;0;0;8.75;
82579;25/01/2015;0600;24.3;;99;1002.4;0;0;8.75;
82579;25/01/2015;1200;26.1;;85;1005.3;21;2.5722;10;
82579;25/01/2015;1800;29.4;;62;1002;29;2.05776;8.75;
82579;26/01/2015;0000;26.8;;79;1003.3;20;2.5722;8.75;
82579;26/01/2015;0600;25.2;;91;1004.1;0;0;8.75;
82579;26/01/2015;1200;28.1;;71;1006.5;17;3.60108;5;
82579;26/01/2015;1800;33.6;;41;1002;19;2.5722;2.5;
82579;27/01/2015;0000;27.3;;68;1001.9;0;0;0;
82579;27/01/2015;0600;24.4;;92;1002.4;35;2.05776;3.75;
82579;27/01/2015;1200;27.9;;65;1005.9;5;2.05776;5;
82579;27/01/2015;1800;35.4;;33;1001.4;15;3.08664;5;
82579;28/01/2015;0000;30.1;;51;1001.9;0;0;0;
82579;28/01/2015;0600;25.4;;81;1002.2;31;1.54332;0;
82579;28/01/2015;1200;28.1;;69;1004.6;7;2.05776;2.5;
82579;28/01/2015;1800;36.4;;32;1000.1;13;2.5722;2.5;
82579;29/01/2015;0600;26;;76;1001;32;2.5722;0;
82579;29/01/2015;1200;28.2;;67;1004.8;0;0;5;
82579;29/01/2015;1800;35.6;;34;1000.3;17;4.11552;2.5;
82579;30/01/2015;0000;30.6;;57;1001.7;24;2.5722;5;
82579;30/01/2015;0600;25.5;;76;1001.5;35;3.60108;0;
82579;30/01/2015;1200;28.2;;65;1004.8;3;2.5722;0;
82579;30/01/2015;1800;36;;35;1000.4;17;4.11552;5;
82579;31/01/2015;0000;31.3;;51;1002.1;36;5.65884;7.5;
82579;31/01/2015;0600;25.6;;77;1001.6;31;2.05776;3.75;
82579;31/01/2015;1200;28.6;;67;1004.6;25;1.02888;3.75;
82579;31/01/2015;1800;36.8;;33;999.8;15;3.08664;2.5;
82579;01/02/2015;0000;31.8;;;1001.4;33;2.5722;0;
82579;01/02/2015;0600;26.9;;;1001.7;34;3.60108;0;
82579;01/02/2015;1200;28.8;;;1004.6;9;2.05776;5;
82579;01/02/2015;1800;36.5;;;1000;16;4.11552;5;
