<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82588</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : MORADA NOVA - CE (OMM: 82588)
Latitude  (graus) : -5.11
Longitude (graus) : -38.36
Altitude  (metros): 43.62
Esta��o Operante
Inicio de opera��o: 01/10/1962
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82588;01/10/1962;1200;31.6;22.8;45;;14;6;4;
82588;01/10/1962;1800;37.2;23.4;28;;14;6;3;
82588;02/10/1962;0000;26.4;22.8;72;;9;2;0;
82588;02/10/1962;1200;29.2;22.8;56;;14;6;5;
82588;02/10/1962;1800;35.8;23.2;32;;9;2;4;
82588;03/10/1962;0000;26;22.2;71;;9;4;0;
82588;03/10/1962;1200;29;22.6;56;;14;4;5;
82588;03/10/1962;1800;37;24;31;;14;4;3;
82588;04/10/1962;0000;25.6;22.4;75;;9;2;0;
82588;04/10/1962;1200;29;22.8;57;;14;4;2;
82588;04/10/1962;1800;36.4;24.2;34;;0;0;1;
82588;05/10/1962;0000;25.4;22.6;78;;9;2;0;
82588;05/10/1962;1200;29.4;22.9;55;;9;4;6;
82588;05/10/1962;1800;36.4;24.4;35;;9;4;1;
82588;06/10/1962;0000;25.4;22.8;79;;9;4;0;
82588;06/10/1962;1200;29.4;23.2;57;;9;4;8;
82588;06/10/1962;1800;36;24.4;36;;9;6;5;
82588;07/10/1962;0000;25.2;22.6;80;;9;4;0;
82588;07/10/1962;1200;29.6;22.4;51;;14;6;6;
82588;07/10/1962;1800;35.4;24.6;38;;14;6;5;
82588;08/10/1962;0000;25.6;22.6;77;;9;4;1;
82588;08/10/1962;1200;30.1;22.8;51;;14;4;5;
82588;08/10/1962;1800;36.2;22.8;28;;0;0;3;
82588;09/10/1962;0000;26;22.6;74;;9;4;0;
82588;09/10/1962;1200;28.8;22.2;54;;14;6;7;
82588;09/10/1962;1800;34.8;23;34;;14;4;4;
82588;10/10/1962;0000;26.2;22;68;;5;2;0;
82588;10/10/1962;1200;29.8;22.8;53;;14;4;3;
