<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82590</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : APODI - RN (OMM: 82590)
Latitude  (graus) : -5.61
Longitude (graus) : -37.81
Altitude  (metros): 150.00
Esta��o Operante
Inicio de opera��o: 18/12/1962
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82590;24/12/1962;1200;29.2;25;70;;9;3;7;
82590;24/12/1962;1800;35;26.6;50;;14;1;2;
82590;25/12/1962;0000;26.6;24.4;83;;5;5;0;
82590;25/12/1962;1200;28.3;24;68;;9;5;5;
82590;25/12/1962;1800;34.7;26.2;49;;9;5;2;
82590;26/12/1962;0000;26.6;24.2;82;;32;7;0;
82590;26/12/1962;1200;28.2;24.2;71;;9;3;2;
82590;26/12/1962;1800;33.7;25.4;49;;14;3;9;
82590;27/12/1962;0000;27.3;24;75;;5;12;0;
82590;27/12/1962;1200;29.2;24.1;64;;14;7;1;
82590;27/12/1962;1800;35.8;26.3;45;;9;3;2;
82590;28/12/1962;0000;26.6;23.8;78;;5;5;0;
82590;28/12/1962;1200;27.7;24.1;73;;14;5;9;
82590;28/12/1962;1800;35.9;26.6;46;;14;5;2;
82590;29/12/1962;0000;26.8;23.3;73;;5;7;0;
82590;29/12/1962;1200;29.3;24.2;64;;9;3;2;
82590;29/12/1962;1800;35.7;26.4;46;;9;3;2;
82590;30/12/1962;0000;27.5;24.4;76;;9;3;0;
82590;30/12/1962;1200;29.6;24.3;63;;14;7;4;
82590;30/12/1962;1800;29.6;26.2;75;;9;3;8;
82590;31/12/1962;0000;27.4;24.8;80;;14;7;0;
82590;31/12/1962;1200;28.7;24.3;68;;14;3;9;
82590;31/12/1962;1800;35.2;27.4;53;;9;3;4;
82590;01/01/1963;0000;27.9;23.3;67;;5;5;0;
82590;01/01/1963;1200;29.3;24.8;68;;14;5;2;
82590;01/01/1963;1800;35;26.8;51;;14;3;2;
82590;02/01/1963;0000;29.2;24.6;68;;14;3;2;
82590;02/01/1963;1200;29.6;24.8;66;;14;3;7;
82590;02/01/1963;1800;36.6;27.2;47;;5;5;2;
82590;03/01/1963;0000;26.7;24.5;83;;5;5;0;
82590;03/01/1963;1200;28.8;24.8;71;;14;5;2;
82590;03/01/1963;1800;36.4;28.1;51;;9;3;2;
82590;04/01/1963;0000;26.9;25.6;90;;5;7;0;
82590;04/01/1963;1200;29;25;71;;9;5;2;
82590;04/01/1963;1800;35.1;27.2;53;;9;3;2;
82590;05/01/1963;0000;26.6;24.4;83;;5;5;0;
82590;05/01/1963;1200;28.4;24.7;73;;9;5;2;
82590;05/01/1963;1800;34.5;27;54;;5;5;5;
82590;06/01/1963;0000;26.7;24.3;81;;9;5;0;
82590;06/01/1963;1200;28.5;24.5;71;;9;5;3;
82590;06/01/1963;1800;34.9;26.7;50;;9;5;2;
82590;07/01/1963;0000;27.2;24;76;;9;5;3;
82590;07/01/1963;1200;27.8;24.2;73;;9;5;3;
82590;07/01/1963;1800;35.6;26.2;46;;9;1;9;
82590;08/01/1963;0000;26.8;23.8;76;;5;3;0;
82590;08/01/1963;1200;28.7;24.6;71;;14;1;1;
82590;08/01/1963;1800;35.4;26;45;;9;1;6;
82590;09/01/1963;0000;27;24;77;;5;5;6;
82590;09/01/1963;1200;28.6;24.1;67;;9;3;9;
82590;09/01/1963;1800;35.6;26.6;48;;14;1;2;
82590;10/01/1963;0000;26.3;23.7;80;;5;3;0;
82590;10/01/1963;1200;28.6;24.5;70;;9;3;1;
82590;10/01/1963;1800;34.6;26.2;50;;9;1;8;
82590;11/01/1963;0000;26.5;23.8;78;;5;5;2;
82590;11/01/1963;1200;28;24;70;;0;0;2;
82590;11/01/1963;1800;35.3;26.3;47;;0;0;4;
82590;12/01/1963;0000;27.2;24.3;78;;9;5;8;
82590;12/01/1963;1200;28.7;24.6;71;;14;5;7;
82590;12/01/1963;1800;25.5;24.2;90;;32;5;7;
82590;13/01/1963;0000;24.4;23;88;;0;0;0;
82590;13/01/1963;1200;27.8;24.3;73;;18;4;8;
82590;13/01/1963;1800;27.2;23.8;74;;0;0;7;
82590;14/01/1963;0000;21.8;21.4;96;;0;0;0;
82590;14/01/1963;1200;26.8;23.6;75;;9;3;2;
82590;14/01/1963;1800;33;25.7;54;;14;3;2;
82590;15/01/1963;0000;26;24.2;86;;5;3;0;
82590;15/01/1963;1200;27;24.4;80;;0;0;2;
82590;15/01/1963;1800;34.6;26.6;52;;18;5;2;
82590;16/01/1963;0000;26.6;24.6;85;;5;7;0;
82590;16/01/1963;1200;27.8;24.3;73;;0;0;6;
82590;16/01/1963;1800;34;26.2;52;;0;0;9;
82590;17/01/1963;0000;26.6;24.4;83;;5;5;0;
82590;17/01/1963;1200;27.7;24.8;78;;0;0;2;
82590;17/01/1963;1800;34.8;26.6;51;;0;0;2;
82590;18/01/1963;0000;28;23.9;69;;32;5;0;
82590;18/01/1963;1200;27.4;24.8;80;;0;0;5;
82590;18/01/1963;1800;35;27.4;54;;23;5;5;
82590;19/01/1963;0000;25.8;24;86;;32;3;0;
82590;19/01/1963;1200;28.3;25.6;80;;32;1;2;
82590;19/01/1963;1800;36;28.6;56;;18;3;2;
82590;20/01/1963;0000;24.6;23.5;91;;0;0;0;
82590;20/01/1963;1200;28;24.3;72;;18;3;5;
82590;20/01/1963;1800;35;27.8;56;;14;3;5;
82590;21/01/1963;0000;25.9;24;85;;5;7;0;
82590;21/01/1963;1200;28.8;25.3;74;;0;0;2;
82590;21/01/1963;1800;35.3;27.4;53;;18;3;2;
82590;22/01/1963;0000;26.6;24.6;85;;9;7;0;
82590;22/01/1963;1200;28.7;25.2;74;;9;3;2;
82590;22/01/1963;1800;36;28.6;56;;0;0;2;
82590;23/01/1963;0000;25.6;24.2;89;;0;0;0;
82590;23/01/1963;1200;23;22.8;98;;0;0;8;
82590;23/01/1963;1800;32.6;26;58;;0;0;2;
82590;24/01/1963;0000;26.6;24.8;86;;0;0;0;
82590;24/01/1963;1200;27.8;25.1;79;;0;0;2;
82590;24/01/1963;1800;34.6;28;59;;0;0;2;
82590;25/01/1963;0000;26.8;23.9;77;;36;3;0;
82590;25/01/1963;1200;26.8;25;86;;0;0;6;
82590;25/01/1963;1800;32.2;26.8;64;;18;3;2;
82590;26/01/1963;0000;26.4;24.6;86;;5;3;0;
82590;26/01/1963;1200;28.4;24.6;73;;14;3;6;
82590;26/01/1963;1800;33.9;26.3;53;;23;5;2;
82590;27/01/1963;0000;27;23.4;72;;5;7;0;
82590;27/01/1963;1200;28.2;24.2;71;;18;3;1;
82590;27/01/1963;1800;35;26.6;50;;18;7;2;
82590;28/01/1963;0000;26.8;24.8;84;;5;3;0;
82590;28/01/1963;1200;29.2;25.1;71;;14;3;1;
82590;28/01/1963;1800;33.6;25.6;51;;18;5;2;
82590;29/01/1963;0000;26.8;24.6;83;;5;3;0;
82590;29/01/1963;1200;28.7;25;73;;18;3;2;
82590;29/01/1963;1800;34.7;27;56;;18;5;2;
82590;30/01/1963;0000;26.4;24.4;84;;5;5;0;
82590;30/01/1963;1200;29.2;24.6;68;;18;3;2;
82590;30/01/1963;1800;35.2;27.2;52;;14;3;2;
82590;31/01/1963;0000;27.6;25;80;;5;9;0;
82590;31/01/1963;1200;28.4;24.6;73;;14;3;6;
82590;31/01/1963;1800;33;26.6;59;;18;3;6;
82590;01/02/1963;0000;25.4;24.4;92;;0;0;0;
82590;01/02/1963;1200;27.4;24.5;78;;0;0;4;
82590;01/02/1963;1800;33.2;26.6;58;;36;3;9;
82590;02/02/1963;0000;26.8;24.4;81;;5;3;9;
82590;02/02/1963;1200;27.3;24.9;81;;0;0;7;
82590;02/02/1963;1800;32.2;26.2;61;;0;0;3;
82590;03/02/1963;0000;27;24.7;82;;0;0;0;
82590;03/02/1963;1200;28.1;26.2;85;;9;3;9;
82590;03/02/1963;1800;33;26.9;60;;18;3;3;
