<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82595</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CALCANHAR - RN (OMM: 82595)
Latitude  (graus) : -5.16
Longitude (graus) : -35.48
Altitude  (metros): 14.00
Esta��o Operante
Inicio de opera��o: 01/10/1977
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82595;01/01/2015;0000;27;26;93;;9;10.2888;;
82595;01/01/2015;0600;25;23;84;;10;9.25992;;
82595;01/01/2015;1200;30;26;73;;10;10.2888;6.25;
82595;01/01/2015;1800;30;25;67;;9;9.25992;5;
82595;02/01/2015;0000;27;25;85;;7;9.25992;;
82595;02/01/2015;0600;26;24;;;8;9.25992;;
82595;02/01/2015;1200;30;26;73;;8;6.17328;6.25;
82595;02/01/2015;1800;29;25;72;;10;10.2888;7.5;
82595;03/01/2015;0600;25;24;92;;15;5.1444;;
82595;03/01/2015;1200;29;26;79;;9;9.25992;7.5;
82595;03/01/2015;1800;30;26;73;;9;;6.25;
82595;04/01/2015;0000;27;25;85;;8;;;
82595;04/01/2015;0600;25;24;92;;8;10.2888;;
82595;04/01/2015;1200;29;24;66;;6;9.25992;7.5;
82595;04/01/2015;1800;29;24;;;7;9.25992;6.25;
82595;05/01/2015;0000;27;23;71;;7;9.25992;;
82595;05/01/2015;0600;26;24;85;;6;9.25992;;
82595;05/01/2015;1200;29;25;72;;8;7.20216;6.25;
82595;06/01/2015;1200;30;26;73;;10;;6.25;
82595;06/01/2015;1800;29;26;79;;10;;6.25;
82595;07/01/2015;0000;26;24;92;;10;;;
82595;07/01/2015;0600;25;23;84;;10;10.2888;;
82595;07/01/2015;1200;30;27;79;;10;10.2888;6.25;
82595;07/01/2015;1800;29;25;72;;9;;5;
82595;08/01/2015;0600;27;24;78;;10;;;
82595;08/01/2015;1200;30;25;67;;12;7.7166;8.75;
82595;08/01/2015;1800;30;25;67;;11;;2.5;
82595;09/01/2015;0000;27;23;71;;12;7.20216;;
82595;09/01/2015;0600;23;21;84;;16;5.1444;;
82595;09/01/2015;1200;31;25;61;;9;9.77436;3.75;
82595;09/01/2015;1800;30;25;67;;9;;3.75;
82595;10/01/2015;0000;27;24;78;;11;9.77436;;
82595;10/01/2015;0600;24;22;84;;16;5.1444;;
82595;10/01/2015;1200;29;25;72;;11;;8.75;
82595;10/01/2015;1800;29;25;72;;10;;5;
82595;11/01/2015;1800;28;25;79;;10;9.25992;8.75;
82595;12/01/2015;0600;25;24;92;;15;5.1444;;
82595;12/01/2015;1200;29;25;72;;11;8.23104;8.75;
82595;13/01/2015;0000;26;24;85;;10;10.2888;;
82595;13/01/2015;0600;25;23;84;;10;;;
82595;13/01/2015;1200;24;23;92;;8;7.7166;10;
82595;13/01/2015;1800;30;25;67;;10;;7.5;
82595;14/01/2015;0000;27;23;71;;12;9.25992;;
82595;14/01/2015;0600;26;24;85;;10;10.2888;;
82595;14/01/2015;1200;31;26;67;;10;;10;
82595;14/01/2015;1800;30;25;67;;11;;2.5;
82595;15/01/2015;0000;27;24;78;;12;10.2888;;
82595;15/01/2015;0600;24;22;84;;17;4.11552;;
82595;15/01/2015;1200;29;24;66;;10;;2.5;
82595;15/01/2015;1800;30;25;67;;10;;3.75;
82595;16/01/2015;0000;27;24;78;;10;10.2888;;
82595;16/01/2015;1200;31;25;61;;10;;3.75;
82595;17/01/2015;0600;25;24;92;;9;;;
82595;17/01/2015;1200;30;25;67;;10;;3.75;
82595;17/01/2015;1800;29;25;72;;9;;3.75;
82595;18/01/2015;0000;27;25;85;;10;;;
82595;18/01/2015;0600;27;24;78;;9;;;
82595;18/01/2015;1200;29;25;72;;9;10.2888;5;
82595;18/01/2015;1800;30;26;73;;9;10.2888;3.75;
82595;19/01/2015;0000;27;24;78;;9;10.2888;;
82595;19/01/2015;0600;27;24;78;;9;8.23104;;
82595;19/01/2015;1200;30;26;73;;9;10.2888;3.75;
82595;19/01/2015;1800;30;26;73;;8;9.25992;2.5;
82595;20/01/2015;0000;27;24;78;;9;8.23104;;
82595;20/01/2015;0600;24;22;84;;13;5.1444;;
82595;20/01/2015;1200;30;25;67;;10;10.2888;5;
82595;20/01/2015;1800;30;25;67;;10;;2.5;
82595;21/01/2015;0600;27;24;78;;10;9.25992;;
82595;21/01/2015;1200;30;25;67;;10;;5;
82595;21/01/2015;1800;30;26;73;;10;10.2888;3.75;
82595;22/01/2015;0000;27;24;78;;9;;;
82595;22/01/2015;0600;27;24;78;;7;;;
82595;23/01/2015;0000;27;24;78;;10;;;
82595;23/01/2015;0600;27;24;78;;9;;;
82595;23/01/2015;1200;30;25;67;;9;10.2888;8.75;
82595;24/01/2015;0000;27;25;85;;10;9.77436;;
82595;24/01/2015;0600;26;24;85;;10;8.74548;;
82595;24/01/2015;1200;31;26;67;;9;9.25992;5;
82595;24/01/2015;1800;30;25;67;;9;10.2888;5;
82595;25/01/2015;0000;26;23;78;;10;10.2888;;
82595;25/01/2015;1200;31;25;61;;10;;5;
82595;25/01/2015;1800;30;25;67;;10;10.2888;6.25;
82595;26/01/2015;0000;26;23;78;;10;;;
82595;26/01/2015;0600;23;21;84;;17;4.11552;;
82595;26/01/2015;1200;30;25;67;;12;6.68772;5;
82595;27/01/2015;0600;26;22;71;;9;;1.25;
82595;27/01/2015;1200;31;25;61;;10;;5;
