<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82596</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CEARA MIRIM - RN (OMM: 82596)
Latitude  (graus) : -5.65
Longitude (graus) : -35.65
Altitude  (metros): 61.35
Esta��o Operante
Inicio de opera��o: 01/06/1967
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82596;01/01/1971;1200;27.9;23.6;69;1005;14;5;10;
82596;01/01/1971;1800;30.2;23.8;57;1001.9;14;7;0;
82596;02/01/1971;0000;25.8;23.5;82;1003.9;14;5;0;
82596;02/01/1971;1200;29.5;24.5;65;1003.1;14;7;8;
82596;02/01/1971;1800;29.2;24.2;65;1000.8;14;9;4;
82596;03/01/1971;0000;25.4;23.6;86;1003.1;14;5;4;
82596;03/01/1971;1200;28.2;22.6;60;1003.1;14;7;2;
82596;03/01/1971;1800;29.8;21.6;46;1000.6;14;5;0;
82596;04/01/1971;0000;24.6;21.8;77;1003.2;9;3;6;
82596;04/01/1971;1200;29.4;22;50;1003.5;14;5;9;
82596;04/01/1971;1800;29.8;23.2;55;1001.1;9;5;9;
82596;05/01/1971;0000;24.4;22.4;83;1003.1;9;1;6;
82596;05/01/1971;1200;28.8;23.8;64;1003.5;14;5;7;
82596;05/01/1971;1800;29.4;23.6;60;1001.2;14;3;7;
82596;06/01/1971;0000;25.6;23.4;82;1003.9;14;3;8;
82596;06/01/1971;1200;28.4;23.2;63;1003.5;14;9;10;
82596;06/01/1971;1800;29.2;24.1;64;1001.9;14;7;7;
82596;07/01/1971;0000;24.2;22.4;85;1004.6;14;1;0;
82596;07/01/1971;1200;28.2;23.6;67;1004.8;9;5;9;
82596;07/01/1971;1800;29.9;22.8;52;1001.1;14;5;4;
82596;08/01/1971;0000;24.9;22.2;79;1003.4;0;0;8;
82596;08/01/1971;1200;28.9;23.2;60;1003.5;9;5;4;
82596;08/01/1971;1800;29.8;23.1;55;1000.7;14;5;0;
82596;09/01/1971;0000;25.3;22.8;80;1003;9;1;0;
82596;09/01/1971;1200;29;23.8;63;1004.3;14;7;6;
82596;09/01/1971;1800;30.1;23.2;53;1001.8;9;5;5;
82596;10/01/1971;0000;25.6;23;79;1003.8;14;3;6;
82596;10/01/1971;1200;28.9;23.2;60;1005.1;14;5;5;
82596;10/01/1971;1800;30.2;23.6;56;1002.4;9;5;8;
82596;11/01/1971;0000;25.4;23.5;85;1003.6;9;3;7;
82596;11/01/1971;1200;29.6;23.3;57;1004.7;9;5;5;
82596;11/01/1971;1800;29.2;23.8;62;1002.6;9;5;9;
82596;12/01/1971;0000;24.6;22.2;81;1002.6;0;0;8;
82596;12/01/1971;1200;28.8;24;65;1005.5;9;5;7;
82596;12/01/1971;1800;29.4;23.8;61;1003.4;9;3;7;
82596;13/01/1971;0000;24.5;22.7;85;1005.8;14;1;3;
82596;13/01/1971;1200;26;24.5;88;1006.8;9;1;8;
82596;13/01/1971;1800;29.6;23.5;58;1004.7;9;7;4;
82596;14/01/1971;0000;24.2;22.6;87;1006.6;0;0;2;
82596;14/01/1971;1200;29.4;23.7;60;1006;14;3;6;
82596;14/01/1971;1800;30.3;24;57;1003.8;9;5;4;
82596;15/01/1971;0000;25;23.2;86;1005.9;0;0;4;
82596;15/01/1971;1200;29.9;23.4;55;1005.8;9;5;2;
82596;15/01/1971;1800;29.4;24;62;1003.1;9;7;2;
82596;16/01/1971;0000;24.7;22.8;84;1004;9;1;0;
82596;16/01/1971;1200;26.4;23.6;78;1005.1;18;1;7;
82596;16/01/1971;1800;29.4;24;62;1001.9;14;5;5;
82596;17/01/1971;0000;23.9;22.2;86;1004.7;0;0;0;
82596;17/01/1971;1200;28.6;23.4;62;1006.4;9;3;5;
82596;17/01/1971;1800;30.4;23.4;53;1003.1;9;5;2;
82596;18/01/1971;0000;24;22.8;89;1005;9;1;0;
82596;18/01/1971;1200;29.3;23.2;57;1006.3;9;5;6;
82596;18/01/1971;1800;30.2;23.8;57;1003.2;14;7;4;
82596;19/01/1971;0000;25.8;23.8;84;1005.6;9;3;0;
82596;19/01/1971;1200;29.4;24.2;64;1006.7;14;5;3;
82596;19/01/1971;1800;30;24.9;64;1003.8;14;3;3;
82596;20/01/1971;0000;25;23.6;89;1006;9;1;1;
82596;20/01/1971;1200;26.2;22.8;74;1007;9;3;9;
82596;20/01/1971;1800;29.4;24.2;64;1002.8;9;7;8;
82596;21/01/1971;0000;24;23.3;94;1005.8;36;3;10;
82596;21/01/1971;1200;28;23.6;68;1006.2;14;5;6;
82596;21/01/1971;1800;29.3;24.2;64;1002.7;5;3;2;
82596;22/01/1971;0000;25;23.2;86;1005.8;0;0;0;
82596;22/01/1971;1200;28.5;23.7;65;1005.8;14;5;7;
82596;22/01/1971;1800;29.5;24.6;66;1002.3;14;7;6;
82596;23/01/1971;0000;25.2;22.8;81;1005.5;9;1;0;
82596;23/01/1971;1200;25.8;24;86;1006.2;14;7;10;
82596;23/01/1971;1800;25.8;23.4;81;1003.4;14;1;10;
82596;24/01/1971;0000;23.2;22.4;93;1005.8;18;3;10;
82596;24/01/1971;1200;27.8;23.8;70;1005.2;14;5;3;
82596;24/01/1971;1800;29.4;22.8;55;1003.5;14;7;2;
82596;25/01/1971;0000;24;22.2;85;1004.4;0;0;0;
82596;25/01/1971;1200;28;23.4;66;1005;9;3;7;
82596;25/01/1971;1800;29.5;23;55;1002.2;5;5;2;
82596;26/01/1971;0000;24.4;22.5;84;1003.1;0;0;10;
82596;26/01/1971;1200;27.6;23.4;68;1004.8;9;1;6;
82596;26/01/1971;1800;29.8;23.2;55;1002.6;9;5;3;
82596;27/01/1971;0000;25.4;23.5;85;1004.8;0;0;0;
82596;27/01/1971;1200;27.6;24;73;1004.8;9;1;8;
82596;27/01/1971;1800;29.4;23.2;57;1002.2;9;5;9;
82596;28/01/1971;0000;25.4;23.4;84;1004.8;0;0;10;
82596;28/01/1971;1200;28.6;23.2;61;1005.2;9;5;3;
82596;28/01/1971;1800;29.6;23.4;57;1003;14;5;8;
82596;29/01/1971;0000;25.1;23;83;1004.6;9;3;0;
82596;29/01/1971;1200;28;24.8;76;1005.6;9;3;7;
82596;29/01/1971;1800;30;23.2;54;1002.6;14;7;5;
82596;30/01/1971;0000;25.4;23;81;1004.4;0;0;0;
82596;30/01/1971;1200;27.7;23.9;71;1004.8;18;5;10;
82596;30/01/1971;1800;29.2;23;57;1002.7;9;7;4;
82596;31/01/1971;0000;25;22.9;83;1003.9;14;1;0;
82596;31/01/1971;1200;29;23.6;62;1004.6;14;5;3;
82596;31/01/1971;1800;30.4;23.2;52;1001.9;14;5;1;
82596;01/02/1971;0000;24.8;22.9;84;1004.9;0;0;2;
82596;01/02/1971;1200;29;23.1;59;1004.3;14;5;3;
82596;01/02/1971;1800;30.6;24.1;57;1001.8;14;3;1;
82596;02/02/1971;0000;25.8;23.2;80;1003.5;9;3;3;
82596;02/02/1971;1200;28.4;24;68;1004;14;3;7;
82596;02/02/1971;1800;30.2;23.7;56;999;14;7;4;
82596;03/02/1971;0000;25.8;23.2;80;1002.2;14;3;10;
82596;03/02/1971;1200;28.2;24.2;71;1003;9;3;6;
82596;03/02/1971;1800;29.6;23;55;1000.4;9;7;7;
82596;04/02/1971;0000;25.3;23.2;84;1002.4;0;0;10;
82596;04/02/1971;1200;28.8;23.6;63;1002.3;9;3;4;
82596;04/02/1971;1800;29.6;22.8;54;999.6;9;3;3;
82596;05/02/1971;0000;24;22;83;1002;9;1;1;
82596;05/02/1971;1200;28.9;23.2;60;1003.6;14;5;3;
82596;05/02/1971;1800;29.2;22.2;52;1001.2;14;5;9;
82596;06/02/1971;0000;24.6;23;87;1003.9;0;0;6;
82596;06/02/1971;1200;28.4;23.8;67;1004.2;14;3;10;
82596;06/02/1971;1800;27.7;24;72;1002;14;3;10;
82596;07/02/1971;0000;23.7;22.2;87;1003;14;1;3;
82596;07/02/1971;1200;28.8;23;59;1003;9;5;6;
82596;07/02/1971;1800;30.5;23.2;51;1000.4;9;5;8;
82596;08/02/1971;0000;25.3;23.1;83;1002.8;9;1;4;
82596;08/02/1971;1200;25.8;23.4;81;1003.8;5;1;9;
82596;08/02/1971;1800;29.4;22.6;54;1001;9;3;9;
82596;09/02/1971;0000;24;22.2;85;1003.6;0;0;2;
82596;09/02/1971;1200;29;23;58;1004.8;5;3;3;
82596;09/02/1971;1800;30.4;22.8;50;1002.2;9;5;1;
82596;10/02/1971;0000;24.4;22.2;82;1004.8;9;3;0;
