<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82605</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : ALTO LONGA  PILOTO DO LONGA  - PI (OMM: 82605)
Latitude  (graus) : -5.2
Longitude (graus) : -42.25
Altitude  (metros): 150.00
Esta��o Desativada
Inicio de opera��o: 01/09/1973
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82605;01/01/1979;1200;27.3;24.1;76;;;;5;
82605;01/01/1979;1800;31.1;25.6;63;;;;8;
82605;02/01/1979;0000;26;24;84;;;;6;
82605;02/01/1979;1200;28.7;23.1;60;;;;5;
82605;02/01/1979;1800;33.2;26.8;59;;;;5;
82605;03/01/1979;0000;25.5;23.2;81;;;;1;
82605;03/01/1979;1200;28.6;24.1;67;;;;1;
82605;03/01/1979;1800;34.5;26.5;52;;;;2;
82605;04/01/1979;0000;28;24;70;;;;1;
82605;04/01/1979;1200;28.4;24.6;72;;;;1;
82605;04/01/1979;1800;34.1;25.5;48;;;;2;
82605;05/01/1979;0000;28.8;25.3;74;;;;4;
82605;05/01/1979;1200;26.8;24.1;79;;;;8;
82605;05/01/1979;1800;33.4;26.5;57;;;;2;
82605;06/01/1979;0000;23.5;22.6;92;;;;10;
82605;06/01/1979;1200;25.5;23.8;86;;;;9;
82605;06/01/1979;1800;31.5;25.1;58;;;;4;
82605;07/01/1979;0000;25;22.6;80;;;;1;
82605;07/01/1979;1200;26.8;23.8;77;;;;6;
82605;07/01/1979;1800;32;25.3;56;;;;2;
82605;08/01/1979;0000;27.7;24.4;75;;;;0;
82605;08/01/1979;1200;28.2;24;69;;;;3;
82605;08/01/1979;1800;34.8;28;58;;;;4;
82605;09/01/1979;0000;28.8;25.4;75;;;;1;
82605;09/01/1979;1200;28;23.9;70;;;;1;
82605;09/01/1979;1800;33.6;25.8;52;;;;5;
82605;10/01/1979;0000;28.3;24.3;71;;;;7;
82605;10/01/1979;1200;28;23.9;70;;;;1;
82605;10/01/1979;1800;33.6;25.8;52;;;;5;
82605;11/01/1979;0000;28.3;24.3;71;;;;7;
82605;11/01/1979;1200;26.3;24.1;83;;;;5;
82605;11/01/1979;1800;32.1;25.8;59;;;;9;
82605;12/01/1979;0000;26.1;24.7;89;;;;10;
82605;12/01/1979;1200;28.3;23.7;67;;;;2;
82605;12/01/1979;1800;33.2;25.7;53;;;;5;
82605;13/01/1979;0000;28.1;24.5;73;;;;3;
82605;13/01/1979;1200;28.1;25.2;78;;;;8;
82605;13/01/1979;1800;33.3;26.2;55;;;;6;
82605;14/01/1979;0000;26.6;23.4;75;;;;8;
82605;14/01/1979;1200;26.7;24.6;83;;;;9;
82605;14/01/1979;1800;32.5;26;58;;;;7;
82605;15/01/1979;0000;25.9;24.5;89;;;;10;
82605;15/01/1979;1200;22.5;22.3;98;;;;10;
82605;15/01/1979;1800;26.1;23.7;81;;;;10;
82605;16/01/1979;0000;24;23.6;97;;;;5;
82605;16/01/1979;1200;25.8;23.4;81;;;;10;
82605;16/01/1979;1800;30.8;25.2;62;;;;9;
82605;17/01/1979;0000;23.8;23.2;95;;;;10;
82605;17/01/1979;1200;21.9;21.7;98;;;;10;
82605;17/01/1979;1800;24.5;23.5;92;;;;10;
82605;18/01/1979;0000;23.3;23;97;;;;7;
82605;18/01/1979;1200;23.6;22.6;91;;;;10;
82605;18/01/1979;1800;28.5;24.8;73;;;;8;
82605;19/01/1979;0000;24.7;23.4;89;;;;10;
82605;19/01/1979;1200;25.6;23.7;85;;;;8;
82605;19/01/1979;1800;30.2;24.5;61;;;;3;
82605;20/01/1979;0000;23.1;22.7;96;;;;10;
82605;20/01/1979;1200;26.8;23.5;75;;;;1;
82605;20/01/1979;1800;31.8;25.4;58;;;;1;
82605;21/01/1979;0000;28.7;23.6;64;;;;1;
82605;21/01/1979;1200;29.1;24.8;69;;;;1;
82605;21/01/1979;1800;31.9;25.9;60;;;;2;
82605;22/01/1979;0000;27.2;25.2;84;;;;1;
82605;22/01/1979;1200;27.8;24.6;76;;;;1;
82605;22/01/1979;1800;32.6;26.8;62;;;;6;
82605;23/01/1979;0000;26.8;24.7;84;;;;0;
82605;23/01/1979;1200;24.8;23.2;87;;;;10;
82605;23/01/1979;1800;30.4;25.6;67;;;;9;
82605;24/01/1979;0000;25;24.4;95;;;;10;
82605;25/01/1979;1200;24.1;23.8;97;;;;10;
82605;25/01/1979;1800;31;26.7;70;;;;5;
82605;26/01/1979;0000;26.9;25.5;89;;;;10;
82605;26/01/1979;1200;24.6;23.7;92;;;;10;
82605;26/01/1979;1800;29.9;25.7;70;;;;6;
82605;27/01/1979;0000;26.8;25.2;87;;;;9;
82605;27/01/1979;1200;26.7;24.7;84;;;;6;
82605;27/01/1979;1800;30.9;25.7;65;;;;8;
82605;28/01/1979;0000;27.4;25.5;85;;;;10;
82605;28/01/1979;1200;27.3;24.5;79;;;;8;
82605;28/01/1979;1800;31.8;25.6;59;;;;2;
82605;29/01/1979;0000;26.8;25.2;87;;;;5;
82605;29/01/1979;1200;27.5;24.2;75;;;;7;
82605;29/01/1979;1800;31.8;26.1;62;;;;4;
82605;30/01/1979;0000;25.8;24;85;;;;10;
82605;30/01/1979;1200;27.5;24.1;74;;;;5;
82605;30/01/1979;1800;31;25.4;62;;;;2;
82605;31/01/1979;0000;25.5;23.5;84;;;;10;
82605;31/01/1979;1200;25.5;24.1;89;;;;6;
82605;31/01/1979;1800;31.5;26.1;64;;;;3;
82605;01/02/1979;0000;26.1;24.4;86;;;;0;
82605;01/02/1979;1200;26.3;24.4;85;;;;10;
82605;01/02/1979;1800;31.1;25.2;60;;;;3;
82605;02/02/1979;0000;28.2;25.1;77;;;;8;
82605;02/02/1979;1200;23.7;23.1;95;;;;10;
82605;02/02/1979;1800;30.8;25.8;66;;;;5;
82605;03/02/1979;0000;25.1;23.8;89;;;;9;
82605;03/02/1979;1200;26.6;24.2;81;;;;9;
82605;03/02/1979;1800;31.2;24.2;54;;;;1;
82605;04/02/1979;0000;25.8;25.3;96;;;;10;
82605;04/02/1979;1200;26.9;24.6;82;;;;7;
82605;04/02/1979;1800;31.1;24.8;58;;;;6;
82605;05/02/1979;0000;24.6;23.2;88;;;;10;
82605;05/02/1979;1200;24.6;23.2;88;;;;9;
82605;05/02/1979;1800;27;24.8;83;;;;8;
82605;06/02/1979;0000;24.8;23.4;88;;;;7;
82605;06/02/1979;1200;25.4;24.2;90;;;;9;
82605;06/02/1979;1800;28.5;24.7;72;;;;9;
82605;07/02/1979;0000;25.7;24.4;89;;;;10;
82605;07/02/1979;1200;22.6;22.3;97;;;;10;
82605;07/02/1979;1800;26.1;23.9;82;;;;8;
82605;08/02/1979;0000;24.5;23.7;93;;;;2;
82605;08/02/1979;1200;22.7;22.2;96;;;;9;
82605;08/02/1979;1800;28.2;25.1;77;;;;6;
82605;09/02/1979;0000;24.7;23.4;89;;;;10;
82605;09/02/1979;1200;23.6;22.6;91;;;;10;
82605;09/02/1979;1800;29.6;24.6;65;;;;4;
82605;10/02/1979;0000;25.7;24.4;89;;;;2;
82605;10/02/1979;1200;27.7;23.9;72;;;;1;
82605;10/02/1979;1800;31.4;24.9;57;;;;1;
82605;11/02/1979;0000;26.8;24;78;;;;1;
82605;11/02/1979;1200;27.4;24.2;76;;;;8;
82605;11/02/1979;1800;31.5;25.3;59;;;;2;
82605;12/02/1979;0000;27.3;24.6;79;;;;2;
82605;12/02/1979;1200;27.2;24.2;77;;;;1;
82605;12/02/1979;1800;31.4;25.2;59;;;;1;
82605;13/02/1979;0000;26.1;23.5;79;;;;1;
82605;13/02/1979;1200;24.5;23.7;93;;;;9;
82605;13/02/1979;1800;28.8;26.6;83;;;;5;
82605;14/02/1979;0000;24;22.4;86;;;;9;
82605;14/02/1979;1200;24.9;24;92;;;;9;
82605;14/02/1979;1800;29.9;25.2;67;;;;2;
82605;15/02/1979;0000;26.7;24.7;84;;;;8;
82605;15/02/1979;1200;24.3;23.5;93;;;;7;
82605;15/02/1979;1800;31.5;25.5;60;;;;3;
82605;16/02/1979;0000;24.8;23.1;86;;;;2;
82605;16/02/1979;1200;22.9;22.8;99;;;;10;
82605;16/02/1979;1800;27.8;24.9;78;;;;9;
82605;17/02/1979;0000;25.5;24.6;93;;;;10;
82605;17/02/1979;1200;24.4;23.6;93;;;;10;
82605;17/02/1979;1800;29.8;25.6;70;;;;8;
82605;18/02/1979;0000;25.4;24.5;93;;;;10;
82605;18/02/1979;1200;26.9;24.3;80;;;;8;
82605;18/02/1979;1800;31.1;25.5;62;;;;1;
82605;19/02/1979;0000;26.6;24;80;;;;5;
82605;19/02/1979;1200;25.3;24.2;91;;;;10;
82605;19/02/1979;1800;28.8;25.5;76;;;;6;
82605;20/02/1979;0000;25.2;24.7;96;;;;7;
82605;20/02/1979;1200;25.7;24.3;89;;;;7;
82605;20/02/1979;1800;28.7;25.7;78;;;;7;
82605;21/02/1979;0000;26.4;24.7;86;;;;1;
82605;21/02/1979;1200;23;22.8;98;;;;10;
82605;21/02/1979;1800;25.5;23.2;81;;;;10;
82605;22/02/1979;0000;24;23.6;97;;;;1;
82605;22/02/1979;1200;25.9;22.7;75;;;;10;
82605;22/02/1979;1800;30.9;25.6;64;;;;1;
82605;23/02/1979;0000;27.1;25.1;84;;;;3;
82605;23/02/1979;1200;24.7;24;94;;;;7;
