<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82610</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : EIRUNEPE - AM (OMM: 82610)
Latitude  (graus) : -6.66
Longitude (graus) : -69.86
Altitude  (metros): 104.00
Esta��o Operante
Inicio de opera��o: 01/01/1928
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82610;19/08/1974;1200;21.5;21.2;97;1005.6;9;2;7;
82610;19/08/1974;1800;28.5;23.7;67;1004.6;5;3;5;
82610;20/08/1974;0000;25;24.3;94;999.9;23;1;0;
82610;20/08/1974;1200;19.5;19;96;1001.8;23;1;6;
82610;20/08/1974;1800;30;25;67;1000.7;23;3;4;
82610;21/08/1974;0000;27.3;26.8;96;1001.8;0;0;2;
82610;21/08/1974;1200;21.5;21;96;1000.8;23;1;8;
82610;21/08/1974;1800;31.7;26;64;1000.8;18;2;5;
82610;22/08/1974;0000;25;24;92;999;0;0;2;
82610;22/08/1974;1200;19;18.5;95;999.8;23;1;10;
82610;22/08/1974;1800;32.5;25.5;57;998.7;23;3;6;
82610;23/08/1974;0000;27.2;25.5;87;996.2;0;0;2;
82610;23/08/1974;1200;21.6;21.5;99;1000.8;0;0;7;
82610;23/08/1974;1800;31;25.8;66;998.6;18;3;6;
82610;24/08/1974;0000;23.8;23;94;1001.4;0;0;7;
82610;24/08/1974;1200;21.2;20.5;94;998.8;32;1;7;
82610;24/08/1974;1800;32.8;28;70;998.8;36;1;5;
82610;25/08/1974;0000;27.2;25.5;87;996.8;23;1;2;
82610;25/08/1974;1200;21.2;20.5;94;997.5;14;1;9;
82610;25/08/1974;1800;29.5;25.5;73;1002.8;27;1;6;
82610;26/08/1974;0000;24;23;92;999.1;0;0;10;
82610;26/08/1974;1200;22;21;92;999.5;14;1;7;
82610;26/08/1974;1800;32;26;62;998.2;23;1;5;
82610;27/08/1974;0000;26;25;92;1001.5;0;0;2;
82610;27/08/1974;1200;22.8;21.5;89;997.6;23;1;8;
82610;27/08/1974;1800;32;28;74;996.6;36;1;5;
82610;28/08/1974;0000;25.2;24.5;94;1003.4;23;1;4;
82610;28/08/1974;1200;22;21;92;993.4;27;1;6;
82610;28/08/1974;1800;32.5;26;60;996.7;18;1;6;
82610;29/08/1974;0000;25;24.5;96;1003.4;0;0;9;
82610;29/08/1974;1200;22.5;22;96;997.2;9;1;6;
82610;29/08/1974;1800;32;28.5;77;999;36;1;7;
82610;30/08/1974;0000;25;24;92;995.5;0;0;2;
82610;30/08/1974;1200;22.5;21;87;997.6;23;1;9;
82610;30/08/1974;1800;31.2;26.5;69;999.1;5;1;7;
82610;31/08/1974;0000;24.5;23.5;92;996.7;0;0;7;
82610;31/08/1974;1200;22;21.5;96;998.4;32;1;7;
82610;31/08/1974;1800;30.5;26;70;1003.4;23;2;6;
82610;01/09/1974;0000;28.5;27;89;993.4;0;0;4;
82610;01/09/1974;1200;21.2;20;90;1001.9;23;1;5;
82610;01/09/1974;1800;32.5;27.5;68;997.4;18;1;6;
82610;02/09/1974;0000;28;27;93;1001.6;0;0;6;
82610;02/09/1974;1200;22.2;21;90;993.4;14;1;7;
82610;02/09/1974;1800;28.5;25.2;77;1003.4;27;2;7;
82610;03/09/1974;0000;27;24.7;83;996.8;0;0;5;
82610;03/09/1974;1200;21.5;20;87;993.4;14;1;9;
82610;03/09/1974;1800;26;23;78;1005.8;18;1;9;
82610;04/09/1974;0000;24.5;23.5;92;997.2;0;0;7;
82610;04/09/1974;1200;20;19;91;1001.5;18;2;9;
82610;04/09/1974;1800;24.5;22;80;1001.6;18;2;7;
82610;05/09/1974;0000;24;23;92;999.2;18;1;2;
82610;05/09/1974;1200;18.2;17;89;1001.1;23;1;5;
82610;05/09/1974;1800;29;24;66;1001.2;14;2;6;
82610;06/09/1974;0000;28;27;93;1003.4;0;0;4;
82610;06/09/1974;1200;21;20;91;1000.8;23;1;7;
82610;06/09/1974;1800;31;27;73;996.8;18;1;6;
