<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82659</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : ARAGUAINA - TO (OMM: 82659)
Latitude  (graus) : -7.2
Longitude (graus) : -48.2
Altitude  (metros): 228.52
Esta��o Operante
Inicio de opera��o: 21/08/1984
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82659;02/07/1982;0000;;;;;;0;;
82659;03/07/1982;0000;;;;;;0;;
82659;04/07/1982;0000;;;;;;0;;
82659;05/07/1982;0000;;;;;;0.3;;
82659;06/07/1982;0000;;;;;;0;;
82659;07/07/1982;0000;;;;;;0.3;;
82659;08/07/1982;0000;;;;;;0.3;;
82659;09/07/1982;0000;;;;;;0;;
82659;10/07/1982;0000;;;;;;0;;
82659;11/07/1982;0000;;;;;;0;;
82659;12/07/1982;0000;;;;;;0;;
82659;13/07/1982;0000;;;;;;0;;
82659;14/07/1982;0000;;;;;;0;;
82659;15/07/1982;0000;;;;;;0;;
82659;16/07/1982;0000;;;;;;0;;
82659;17/07/1982;0000;;;;;;0;;
82659;18/07/1982;0000;;;;;;0;;
82659;19/07/1982;0000;;;;;;0;;
82659;20/07/1982;0000;;;;;;0;;
82659;21/07/1982;0000;;;;;;0;;
82659;22/07/1982;0000;;;;;;0;;
82659;23/07/1982;0000;;;;;;0;;
82659;24/07/1982;0000;;;;;;0;;
82659;25/07/1982;0000;;;;;;0;;
82659;26/07/1982;0000;;;;;;0;;
82659;27/07/1982;0000;;;;;;0;;
82659;28/07/1982;0000;;;;;;0;;
82659;29/07/1982;0000;;;;;;0;;
82659;30/07/1982;0000;;;;;;0;;
82659;31/07/1982;0000;;;;;;0;;
82659;01/08/1982;0000;;;;;;0;;
82659;01/08/1982;1200;;;;;;2;;
82659;01/08/1982;1800;;;;;;1;;
82659;02/08/1982;0000;;;;;;0;;
82659;02/08/1982;1200;;;;;;3;;
82659;02/08/1982;1800;;;;;;1;;
82659;03/08/1982;0000;;;;;;0;;
82659;03/08/1982;1200;;;;;;1;;
82659;03/08/1982;1800;;;;;;0.3;;
82659;04/08/1982;0000;;;;;;0;;
82659;04/08/1982;1200;;;;;;0;;
82659;04/08/1982;1800;;;;;;3;;
82659;05/08/1982;0000;;;;;;0.5;;
82659;05/08/1982;1200;;;;;;0.3;;
82659;05/08/1982;1800;;;;;;0.5;;
82659;06/08/1982;0000;;;;;;0;;
82659;06/08/1982;1200;;;;;;0.3;;
82659;06/08/1982;1800;;;;;;0.5;;
82659;07/08/1982;0000;;;;;;0.3;;
82659;07/08/1982;1200;;;;;;2;;
82659;07/08/1982;1800;;;;;;1.5;;
82659;08/08/1982;0000;;;;;;0;;
82659;08/08/1982;1200;;;;;;1.5;;
82659;08/08/1982;1800;;;;;;0.5;;
82659;09/08/1982;0000;;;;;;0.5;;
82659;09/08/1982;1200;;;;;;0;;
82659;09/08/1982;1800;;;;;;0.5;;
82659;10/08/1982;0000;;;;;;0;;
82659;10/08/1982;1200;;;;;;0;;
82659;10/08/1982;1800;;;;;;2;;
82659;11/08/1982;0000;;;;;;0.3;;
82659;11/08/1982;1200;;;;;;2;;
82659;11/08/1982;1800;;;;;;3;;
82659;12/08/1982;0000;;;;;;0.3;;
82659;12/08/1982;1200;;;;;;0;;
82659;12/08/1982;1800;;;;;;0.5;;
82659;13/08/1982;0000;;;;;;0.3;;
82659;13/08/1982;1200;;;;;;0.3;;
82659;13/08/1982;1800;;;;;;0.5;;
82659;14/08/1982;0000;;;;;;1.5;;
82659;14/08/1982;1200;;;;;;0.5;;
82659;14/08/1982;1800;;;;;;2;;
82659;15/08/1982;0000;;;;;;0.3;;
82659;15/08/1982;1200;;;;;;1;;
82659;15/08/1982;1800;;;;;;0.5;;
82659;16/08/1982;0000;;;;;;0.3;;
82659;16/08/1982;1200;;;;;;2;;
82659;16/08/1982;1800;;;;;;1;;
82659;17/08/1982;0000;;;;;;0;;
82659;17/08/1982;1200;;;;;;2;;
82659;17/08/1982;1800;;;;;;3;;
82659;18/08/1982;0000;;;;;;0.3;;
82659;18/08/1982;1200;;;;;;4;;
82659;18/08/1982;1800;;;;;;5;;
82659;19/08/1982;0000;;;;;;0.5;;
82659;19/08/1982;1200;;;;;;0;;
82659;19/08/1982;1800;;;;;;1;;
82659;20/08/1982;0000;;;;;;0;;
82659;20/08/1982;1200;;;;;;0;;
82659;20/08/1982;1800;;;;;;2;;
82659;21/08/1982;0000;;;;;;0;;
82659;21/08/1982;1200;;;;;;1;;
82659;21/08/1982;1800;;;;;;0.5;;
82659;22/08/1982;0000;;;;;;0;;
82659;22/08/1982;1200;;;;;;0.5;;
82659;22/08/1982;1800;;;;;;0;;
82659;23/08/1982;0000;;;;;;0;;
82659;23/08/1982;1200;;;;;;1;;
82659;23/08/1982;1800;;;;;;0.3;;
82659;24/08/1982;0000;;;;;;0;;
82659;24/08/1982;1200;;;;;;4;;
82659;24/08/1982;1800;;;;;;3;;
82659;25/08/1982;0000;;;;;;0;;
82659;25/08/1982;1200;;;;;;2;;
82659;25/08/1982;1800;;;;;;5;;
82659;26/08/1982;0000;;;;;;0;;
82659;26/08/1982;1200;;;;;;0.5;;
82659;26/08/1982;1800;;;;;;1;;
82659;27/08/1982;0000;;;;;;0;;
82659;27/08/1982;1200;;;;;;0.5;;
82659;27/08/1982;1800;;;;;;1;;
82659;28/08/1982;0000;;;;;;0;;
82659;28/08/1982;1200;;;;;;0;;
82659;28/08/1982;1800;;;;;;1;;
82659;29/08/1982;0000;;;;;;0;;
82659;29/08/1982;1200;;;;;;0.5;;
82659;29/08/1982;1800;;;;;;1;;
82659;30/08/1982;0000;;;;;;0;;
82659;30/08/1982;1200;;;;;;0.3;;
82659;30/08/1982;1800;;;;;;0.5;;
82659;31/08/1982;0000;;;;;;0;;
82659;31/08/1982;1200;;;;;;0.5;;
82659;31/08/1982;1800;;;;;;2;;
82659;01/09/1982;0000;;;;;;0;;
82659;01/09/1982;1200;;;;;;2;;
82659;01/09/1982;1800;;;;;;3;;
82659;02/09/1982;0000;;;;;;0.5;;
82659;02/09/1982;1200;;;;;;0.5;;
