<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82676</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : COLINAS - MA (OMM: 82676)
Latitude  (graus) : -6.03
Longitude (graus) : -44.25
Altitude  (metros): 179.75
Esta��o Operante
Inicio de opera��o: 19/05/1976
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82676;01/06/1976;1200;23.2;22.6;95;991.1;32;1.3;10;
82676;01/06/1976;1800;30.5;24.9;63;987.5;36;3;5;
82676;02/06/1976;0000;24.3;23.2;91;988.7;14;1.5;2;
82676;02/06/1976;1200;22.9;22.4;96;991;36;0.7;10;
82676;02/06/1976;1800;26.1;23.7;82;987.6;5;1.3;7;
82676;03/06/1976;0000;22.2;22;98;989.6;0;0;3;
82676;03/06/1976;1200;24.3;23.2;91;991.8;27;1.6;8;
82676;03/06/1976;1800;29.9;20.7;43;988.7;9;1.8;7;
82676;04/06/1976;0000;20.9;19.9;91;989.8;18;1.6;2;
82676;04/06/1976;1200;24.3;21;74;991.7;18;0.8;0;
82676;04/06/1976;1800;30.3;22.2;49;988.6;14;1.8;6;
82676;05/06/1976;0000;24;22.9;91;989.3;14;0.3;8;
82676;05/06/1976;1200;26.7;20.4;57;991.5;14;2.6;2;
82676;05/06/1976;1800;30.7;20.7;40;987.9;14;3.3;0;
82676;06/06/1976;0000;22.4;20.6;85;990.3;14;0.7;0;
82676;06/06/1976;1200;24.3;21;74;991.4;23;0.7;7;
82676;06/06/1976;1800;30.4;22;48;988.4;14;2.3;6;
82676;07/06/1976;0000;22.5;21.1;88;989.9;18;0.5;3;
82676;07/06/1976;1200;23.1;21.3;85;991.5;36;0.8;10;
82676;07/06/1976;1800;29.9;23.7;60;987.2;5;2.8;6;
82676;08/06/1976;0000;23.3;22.2;91;989.3;14;1;4;
82676;08/06/1976;1200;23.2;22.4;93;991.4;18;1.5;5;
82676;08/06/1976;1800;29.4;25.1;71;987.6;18;2.8;7;
82676;09/06/1976;0000;23.7;22.6;91;990.1;18;1.3;4;
82676;09/06/1976;1200;26.2;22.4;72;993.1;23;1.5;9;
82676;09/06/1976;1800;31.9;21.6;40;989;14;4;5;
82676;10/06/1976;0000;22.4;21.3;91;990.9;18;1.6;9;
82676;10/06/1976;1200;25.6;19.8;58;992.9;14;4.6;3;
82676;10/06/1976;1800;30.7;21.3;43;988.3;18;3.3;10;
82676;11/06/1976;0000;21.6;20.3;89;991.1;14;1.6;9;
82676;11/06/1976;1200;22;20;83;991.2;27;1.6;0;
82676;11/06/1976;1800;31;21.6;43;987;14;2.6;9;
82676;12/06/1976;0000;23.1;21.5;87;989.5;14;1.1;0;
82676;12/06/1976;1200;23.5;20.6;77;991.4;27;1.5;0;
82676;12/06/1976;1800;31.9;23.1;47;987.1;23;1.8;5;
82676;13/06/1976;0000;23.1;21.9;90;989.6;18;1.6;0;
82676;13/06/1976;1200;23.3;22.6;94;991.9;14;1.6;10;
82676;13/06/1976;1800;30.4;23.6;56;988.2;23;1.3;3;
82676;14/06/1976;0000;24.2;23;90;990.1;14;1.5;4;
82676;14/06/1976;1200;22.9;22.5;97;993.4;32;1.6;10;
82676;14/06/1976;1800;30.3;24.3;61;988.9;36;2.1;3;
82676;15/06/1976;0000;23.9;22.8;91;990.3;14;1.6;3;
