<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82678</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : FLORIANO - PI (OMM: 82678)
Latitude  (graus) : -6.76
Longitude (graus) : -43.01
Altitude  (metros): 123.27
Esta��o Operante
Inicio de opera��o: 21/01/1968
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82678;01/10/1970;1200;28.8;23.8;66;995.5;36;4;5;
82678;01/10/1970;1800;35.8;24.2;38;989.9;36;1;5;
82678;02/10/1970;0000;28.8;21.4;52;992.1;5;1;0;
82678;02/10/1970;1200;24.4;23.2;90;998;0;0;10;
82678;02/10/1970;1800;26.7;23.4;76;993.9;0;0;10;
82678;03/10/1970;0000;25;23.3;87;994.1;0;0;0;
82678;03/10/1970;1200;29;24.6;70;997.7;0;0;8;
82678;03/10/1970;1800;35.5;24.5;41;992.2;36;1;6;
82678;04/10/1970;0000;28.6;23.9;68;993.7;0;0;0;
82678;04/10/1970;1200;28.4;23.3;65;996.6;36;2;6;
82678;04/10/1970;1800;35.4;24;38;991.7;32;2;6;
82678;05/10/1970;0000;29.6;23.8;62;992.9;0;0;0;
82678;05/10/1970;1200;27.9;23.5;69;997.3;0;0;10;
82678;05/10/1970;1800;35;23.8;39;991.6;32;1;4;
82678;06/10/1970;0000;29;22.2;55;992.6;0;0;0;
82678;06/10/1970;1200;29;22.8;59;996.6;32;3;10;
82678;06/10/1970;1800;35.2;24.2;40;991.7;36;2;7;
82678;07/10/1970;0000;29.3;23.2;60;993.1;0;0;3;
82678;07/10/1970;1200;27.5;23.6;73;996.9;5;1;8;
82678;07/10/1970;1800;35;23.5;38;990.9;5;2;6;
82678;08/10/1970;0000;28.9;23.7;65;992.8;0;0;1;
82678;08/10/1970;1200;27.4;23.6;73;997.4;14;3;10;
82678;08/10/1970;1800;27;23.4;74;993.9;14;3;9;
82678;09/10/1970;0000;25.9;24.6;90;995.5;0;0;9;
82678;09/10/1970;1200;29.7;23.5;60;997.8;5;6;5;
82678;09/10/1970;1800;34.6;23;37;992.8;5;2;5;
82678;10/10/1970;0000;28;24.2;73;994.2;0;0;4;
82678;10/10/1970;1200;29.6;24;63;997.6;0;0;0;
82678;10/10/1970;1800;36.2;25.3;41;991.6;14;1;5;
82678;11/10/1970;0000;28.8;23;61;993;0;0;0;
82678;11/10/1970;1200;30.1;22.9;54;997.8;5;1;9;
82678;11/10/1970;1800;36.6;23.6;34;992.4;18;1;9;
82678;12/10/1970;0000;29.8;23.6;60;995.7;9;1;9;
82678;12/10/1970;1200;30.2;23;54;998.8;5;3;4;
82678;12/10/1970;1800;36.2;22.4;29;992.5;5;2;5;
82678;13/10/1970;0000;28.4;23.8;68;994.3;0;0;8;
82678;13/10/1970;1200;29.7;22.2;52;999.8;5;3;1;
82678;13/10/1970;1800;36;21.2;26;993.9;5;2;3;
82678;14/10/1970;0000;28.3;21;52;995.4;0;0;6;
82678;14/10/1970;1200;29.6;22.2;53;999;0;0;0;
82678;14/10/1970;1800;37.1;21.9;25;993.5;36;1;3;
82678;15/10/1970;0000;28.2;20.9;52;994.8;0;0;2;
82678;15/10/1970;1200;30.5;22.8;51;997.5;36;1;0;
82678;15/10/1970;1800;38.3;24.9;33;992.3;23;3;5;
82678;16/10/1970;0000;29.1;20.3;44;994;9;1;1;
82678;16/10/1970;1200;30.5;22.7;51;997.6;14;1;1;
82678;16/10/1970;1800;36.9;22.3;28;991.8;5;1;3;
82678;17/10/1970;0000;28.6;20.4;48;993.7;0;0;0;
82678;17/10/1970;1200;31.3;20.2;35;998.1;5;3;7;
82678;17/10/1970;1800;36.4;21.8;26;992.9;14;1;6;
82678;18/10/1970;0000;29.2;23.7;63;994.7;0;0;5;
82678;18/10/1970;1200;30;23.8;60;999.1;32;1;7;
82678;18/10/1970;1800;36.1;23.8;35;994.1;36;1;5;
82678;19/10/1970;0000;30.2;22.2;50;996.1;0;0;3;
82678;19/10/1970;1200;30.8;24.2;58;999.6;5;3;3;
82678;19/10/1970;1800;37;23;30;994.5;14;1;4;
82678;20/10/1970;0000;30.6;22.2;49;996.2;0;0;2;
82678;20/10/1970;1200;30.5;23.7;56;998.6;36;1;9;
82678;20/10/1970;1800;35.6;24;38;993.4;36;1;10;
82678;21/10/1970;0000;31.2;22.9;49;994.6;36;1;0;
82678;21/10/1970;1200;28.6;23.4;65;998;36;3;10;
82678;21/10/1970;1800;32.8;24.4;50;994.2;32;2;10;
82678;22/10/1970;0000;26.8;25.6;91;995.7;0;0;0;
82678;22/10/1970;1200;25.9;23.6;83;999.4;0;0;10;
82678;22/10/1970;1800;32.6;24.4;51;993.7;5;1;8;
82678;23/10/1970;0000;26.4;22.2;69;996.9;5;8;7;
82678;23/10/1970;1200;27.6;22.9;67;1000.1;0;0;10;
82678;23/10/1970;1800;33;24.2;48;995.1;0;0;5;
82678;24/10/1970;0000;27;21.5;62;997.4;5;1;7;
82678;24/10/1970;1200;28.6;23.6;66;999.9;9;1;8;
82678;24/10/1970;1800;35.6;23.7;37;993.8;36;4;6;
82678;25/10/1970;0000;28.6;24;69;995.5;0;0;0;
82678;25/10/1970;1200;29.5;23.3;60;998.4;36;1;5;
82678;25/10/1970;1800;36.1;22.9;32;992.6;9;2;4;
82678;26/10/1970;0000;29.4;23;58;993.8;0;0;0;
82678;26/10/1970;1200;29.2;23.2;60;998.7;5;1;3;
