<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82684</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : MORRO DOS CAVALOS - PI (OMM: 82684)
Latitude  (graus) : -7.85
Longitude (graus) : -41.9
Altitude  (metros): 242.00
Esta��o Operante
Inicio de opera��o: 01/05/1970
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82684;04/11/1971;1200;28.9;21.6;53;;32;5;10;
82684;04/11/1971;1800;29.1;22.6;57;;32;7;5;
82684;05/11/1971;0000;24.6;21;73;;0;0;0;
82684;05/11/1971;1200;26.8;22.4;69;;5;6;8;
82684;05/11/1971;1800;35.1;23.2;36;;14;2;8;
82684;06/11/1971;0000;25.8;22.7;77;;0;0;0;
82684;06/11/1971;1200;30.6;22;47;;14;6;2;
82684;06/11/1971;1800;35.7;22;30;;9;5;8;
82684;07/11/1971;0000;32.6;21.7;38;;0;0;0;
82684;07/11/1971;1200;30.4;22;48;;14;3;0;
82684;07/11/1971;1800;36.4;22;27;;18;5;7;
82684;08/11/1971;0000;30.9;19.4;33;;0;0;0;
82684;08/11/1971;1200;30.6;21;42;;9;9;0;
82684;08/11/1971;1800;36.3;21.4;25;;14;5;5;
82684;09/11/1971;0000;31;19.8;35;;0;0;0;
82684;09/11/1971;1200;28.9;20.2;45;;14;5;4;
82684;09/11/1971;1800;31.3;20.6;37;;18;1;2;
82684;10/11/1971;0000;28.4;21.4;53;;0;0;0;
82684;10/11/1971;1200;30.3;23.3;55;;14;7;2;
82684;10/11/1971;1800;33.5;23.3;43;;5;4;9;
82684;11/11/1971;0000;28.8;21.5;53;;0;0;0;
82684;11/11/1971;1200;29.9;22.5;53;;5;5;2;
82684;11/11/1971;1800;35.6;23.6;37;;18;1;8;
82684;12/11/1971;0000;30.7;21.8;46;;0;0;0;
82684;12/11/1971;1200;28.7;21.2;52;;5;5;10;
82684;12/11/1971;1800;35.5;23;35;;36;5;3;
82684;13/11/1971;0000;;;;;0;0;0;
82684;17/11/1971;1200;30.8;22.5;49;;14;5;3;
82684;17/11/1971;1800;35.4;22.4;32;;18;1;4;
82684;18/11/1971;0000;25.7;21.6;70;;0;0;0;
82684;18/11/1971;1200;30.2;22.4;51;;14;7;6;
82684;18/11/1971;1800;35.8;23;33;;14;3;6;
82684;19/11/1971;0000;24.8;23.6;91;;0;0;0;
82684;19/11/1971;1200;28.2;21.6;56;;9;7;3;
82684;19/11/1971;1800;34.9;22.1;32;;23;3;6;
82684;20/11/1971;0000;26.6;22;67;;0;0;0;
82684;20/11/1971;1200;24.1;22.6;88;;18;3;10;
82684;20/11/1971;1800;30.4;23.6;56;;14;3;4;
82684;21/11/1971;0000;25.4;22.8;80;;0;0;0;
82684;21/11/1971;1200;25.2;22.6;80;;0;0;10;
82684;21/11/1971;1800;33.8;23.8;43;;18;1;5;
82684;22/11/1971;0000;27.2;23.4;73;;0;0;0;
82684;22/11/1971;1200;24.1;22.6;88;;18;3;10;
82684;22/11/1971;1800;30.4;23.6;56;;14;3;4;
82684;23/11/1971;0000;25.4;22.8;80;;0;0;0;
82684;23/11/1971;1200;26.8;23.1;73;;32;3;9;
82684;23/11/1971;1800;28.2;22.6;62;;32;5;8;
82684;24/11/1971;0000;24.6;22.6;84;;0;0;0;
82684;24/11/1971;1200;26.2;23.4;79;;5;3;5;
82684;24/11/1971;1800;28.8;24;67;;32;5;6;
82684;25/11/1971;0000;22.8;20;78;;0;0;0;
82684;25/11/1971;1200;26.8;22.8;71;;9;5;10;
82684;25/11/1971;1800;33.5;23;41;;5;3;2;
82684;26/11/1971;0000;24.8;22.6;83;;0;0;0;
82684;26/11/1971;1200;28.9;20.8;48;;9;5;5;
82684;26/11/1971;1800;35;22.6;34;;9;3;4;
82684;27/11/1971;0000;29;22.4;57;;0;0;8;
82684;27/11/1971;1200;29;21.8;53;;9;5;0;
82684;27/11/1971;1800;34.5;22.2;33;;18;1;2;
82684;28/11/1971;0000;26.4;22.4;71;;0;0;0;
82684;28/11/1971;1200;29.8;22.2;52;;14;9;0;
82684;28/11/1971;1800;35.2;22.1;31;;14;5;3;
82684;29/11/1971;0000;27.1;20.6;56;;0;0;0;
82684;29/11/1971;1200;29.7;20.7;44;;14;7;0;
82684;29/11/1971;1800;36;21.5;27;;18;6;4;
