<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82690</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : SERIDO  CAICO  - RN (OMM: 82690)
Latitude  (graus) : -6.46
Longitude (graus) : -37.08
Altitude  (metros): 169.85
Esta��o Operante
Inicio de opera��o: 14/03/1995
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82690;01/08/1990;1200;26.6;21;59;994.6;9;5;2;
82690;01/08/1990;1800;33.4;25;49;990.5;14;3;7;
82690;02/08/1990;0000;26.4;22.8;72;993.1;5;4.8;1;
82690;02/08/1990;1200;26.8;21.2;59;994.6;9;3.6;3;
82690;02/08/1990;1800;33.8;23.4;39;990.6;14;3.8;4;
82690;03/08/1990;0000;26.6;20.8;57;994.6;9;5.8;2;
82690;03/08/1990;1200;25.4;20;59;995.2;14;2.3;1;
82690;03/08/1990;1800;34.4;21.8;30;989.9;9;2;5;
82690;04/08/1990;0000;26.4;21.7;64;992.7;9;7.8;2;
82690;04/08/1990;1200;27.8;22;58;993.9;9;5;4;
82690;04/08/1990;1800;33.2;22.2;35;989.5;9;2.5;6;
82690;05/08/1990;0000;26.5;21.8;65;992.7;5;3;2;
82690;05/08/1990;1200;27.2;21.6;59;995.1;9;6.1;1;
82690;05/08/1990;1800;34.4;22.6;33;990.4;9;3.6;5;
82690;06/08/1990;0000;26.8;22.2;65;993.2;5;7.1;0;
82690;06/08/1990;1200;27.4;21.4;57;996.1;9;5;2;
82690;06/08/1990;1800;33.8;22.6;35;991.5;9;4;6;
82690;07/08/1990;0000;26.6;20.6;56;995.3;9;5;0;
82690;07/08/1990;1200;27.4;19.8;47;996.2;14;5.5;2;
82690;07/08/1990;1800;34.4;21.8;29;991.3;9;4;4;
82690;08/08/1990;0000;24.8;21;70;994.7;5;6.8;0;
82690;08/08/1990;1200;27.2;20.2;50;996;9;7.1;8;
82690;08/08/1990;1800;31.6;20.2;31;991.1;14;3.1;8;
82690;09/08/1990;0000;26;21;62;994.1;14;7;0;
82690;09/08/1990;1200;26.4;21;60;995.1;9;7;4;
82690;09/08/1990;1800;33.6;22.8;37;989.6;9;3.1;4;
82690;10/08/1990;0000;25;21.4;71;993;9;5.6;2;
82690;10/08/1990;1200;26.8;21.2;59;995.7;14;4;4;
82690;10/08/1990;1800;33.6;23.2;39;990.7;18;3;5;
82690;11/08/1990;0000;26.4;21.2;61;993.2;14;5;2;
82690;11/08/1990;1200;25.4;20.4;61;996.3;14;7;3;
82690;11/08/1990;1800;33.2;22.8;38;991.9;14;3.8;3;
82690;12/08/1990;0000;26;20.4;58;993.8;9;6.5;1;
82690;12/08/1990;1200;26.6;22.8;71;996.5;14;7.6;1;
82690;12/08/1990;1800;33;21.6;33;991.9;14;4.1;2;
82690;13/08/1990;0000;26.8;20.2;52;994.3;5;8.1;0;
82690;13/08/1990;1200;26.2;20.2;55;996.3;9;5.8;2;
82690;13/08/1990;1800;33.2;21.2;31;990.9;9;4.5;3;
82690;14/08/1990;0000;26.8;20;51;993.1;9;4.2;2;
82690;14/08/1990;1200;26.8;20;51;995.2;14;7.5;1;
82690;14/08/1990;1800;33.8;21.4;30;989.6;14;2.8;3;
82690;15/08/1990;0000;26.8;20.2;52;992.8;18;5;1;
82690;15/08/1990;1200;26.8;20.8;56;995.4;9;5.3;1;
82690;15/08/1990;1800;34;20.6;25;991.2;14;3;5;
82690;16/08/1990;0000;27.4;18.4;38;994.8;9;5.5;1;
82690;16/08/1990;1200;26.2;20;54;996.2;14;6.6;1;
82690;16/08/1990;1800;33.8;20.2;24;992.8;18;4.8;1;
82690;17/08/1990;0000;26.2;20.6;58;994.9;14;2;1;
82690;17/08/1990;1200;27.2;20.5;52;996.4;18;6.3;1;
82690;17/08/1990;1800;33.4;21.4;31;991.5;9;3.8;4;
82690;18/08/1990;0000;26.4;20.4;56;994.9;9;6.1;1;
