<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82691</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : FLORANIA - RN (OMM: 82691)
Latitude  (graus) : -6.11
Longitude (graus) : -36.81
Altitude  (metros): 324.45
Esta��o Operante
Inicio de opera��o: 19/12/1962
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82691;01/01/1963;1200;28.3;24.1;69;;32;6;7;
82691;01/01/1963;1800;32;25;55;;5;1;9;
82691;02/01/1963;0000;25.4;22.3;75;;23;4;1;
82691;02/01/1963;1200;28.4;23.4;64;;36;2;2;
82691;02/01/1963;1800;35;24.4;39;;0;0;7;
82691;03/01/1963;0000;26.3;22.4;70;;23;6;1;
82691;03/01/1963;1200;29;24;64;;23;4;2;
82691;03/01/1963;1800;34.2;25.4;47;;14;4;8;
82691;04/01/1963;0000;26.3;22.2;69;;23;1;5;
82691;04/01/1963;1200;28.3;24;68;;14;2;3;
82691;04/01/1963;1800;34;26.4;53;;23;4;6;
82691;05/01/1963;0000;26;23.2;78;;23;1;3;
82691;05/01/1963;1200;29.2;24.1;64;;23;4;4;
82691;05/01/1963;1800;33.4;25.2;49;;23;2;5;
82691;06/01/1963;0000;25.4;22.1;74;;23;2;2;
82691;06/01/1963;1200;27.4;23;68;;32;8;8;
82691;06/01/1963;1800;32;24.4;51;;23;6;9;
82691;07/01/1963;0000;25.1;22.1;76;;23;4;6;
82691;07/01/1963;1200;27.2;22.4;64;;27;8;6;
82691;07/01/1963;1800;33.2;24.3;46;;27;4;7;
82691;08/01/1963;0000;25.4;22.2;75;;27;6;1;
82691;08/01/1963;1200;28.4;23.3;64;;32;4;5;
82691;08/01/1963;1800;33.4;25;48;;27;6;6;
82691;09/01/1963;0000;26.1;22.1;69;;23;2;1;
82691;09/01/1963;1200;28;23.2;63;;36;4;8;
82691;09/01/1963;1800;32.3;24.4;50;;27;2;7;
82691;10/01/1963;0000;26.1;23;75;;0;0;1;
82691;10/01/1963;1200;28.1;23;63;;23;6;4;
82691;10/01/1963;1800;33.4;25;48;;32;7;7;
82691;11/01/1963;0000;26.3;22.4;70;;23;4;9;
82691;11/01/1963;1200;29;23.4;60;;23;8;4;
82691;11/01/1963;1800;33.8;25.1;47;;18;4;7;
82691;12/01/1963;0000;24.1;22.3;84;;18;4;10;
82691;12/01/1963;1200;28;23.3;66;;23;8;6;
82691;12/01/1963;1800;31;24.7;58;;5;2;8;
82691;13/01/1963;0000;22;21.3;93;;23;14;10;
82691;13/01/1963;1200;25.4;23.1;82;;23;6;6;
82691;13/01/1963;1800;31.3;25.2;59;;32;7;7;
82691;14/01/1963;0000;24.4;22;80;;27;2;5;
82691;14/01/1963;1200;27.4;23.2;69;;23;4;4;
82691;14/01/1963;1800;33.1;24.4;47;;27;4;3;
82691;15/01/1963;0000;26.1;23.2;77;;0;0;6;
82691;15/01/1963;1200;27.2;23.3;71;;36;4;5;
82691;15/01/1963;1800;34.4;26;49;;32;2;4;
82691;16/01/1963;0000;26;23.4;79;;0;0;1;
82691;16/01/1963;1200;28.3;23.1;63;;0;0;3;
82691;16/01/1963;1800;33.1;25.4;52;;14;2;7;
82691;17/01/1963;0000;24.3;22.4;84;;23;1;3;
82691;17/01/1963;1200;26.4;23.2;75;;36;2;8;
82691;17/01/1963;1800;32.2;26.1;60;;14;2;6;
82691;18/01/1963;0000;25.2;23.4;85;;23;1;4;
82691;18/01/1963;1200;28.1;24.2;71;;32;8;8;
82691;18/01/1963;1800;33.1;26.4;57;;18;4;7;
82691;19/01/1963;0000;25.1;24;91;;0;0;9;
82691;19/01/1963;1200;28.1;24;69;;36;1.4;3;
82691;19/01/1963;1800;30.2;25.2;65;;32;6;8;
82691;20/01/1963;0000;25.4;23.2;83;;23;6;5;
82691;20/01/1963;1200;27.1;23.2;70;;23;6;7;
82691;20/01/1963;1800;32.3;25.2;54;;23;9;8;
82691;21/01/1963;0000;22.4;21.4;91;;0;0;10;
82691;21/01/1963;1200;28.4;24.2;70;;14;2;7;
82691;21/01/1963;1800;32.8;25;51;;14;2;4;
82691;22/01/1963;0000;21.1;20.2;92;;23;8;10;
82691;22/01/1963;1200;27.2;24.1;77;;0;0;4;
82691;22/01/1963;1800;31.4;26;64;;36;6;7;
82691;23/01/1963;0000;24;22.3;85;;0;0;10;
82691;23/01/1963;1200;27.4;24;74;;23;2;6;
82691;23/01/1963;1800;32.4;25.3;55;;32;2;4;
82691;24/01/1963;0000;24.3;23.3;92;;18;8;10;
82691;24/01/1963;1200;27.2;24.2;78;;36;2;4;
82691;24/01/1963;1800;32.1;25.6;58;;36;2;5;
82691;25/01/1963;0000;22.2;21.1;90;;27;2;10;
82691;25/01/1963;1200;27;24;77;;32;4;6;
82691;25/01/1963;1800;32.1;26.1;60;;23;2;5;
82691;26/01/1963;0000;26;23.3;78;;32;6;3;
82691;26/01/1963;1200;27.2;23.4;71;;32;8;6;
82691;26/01/1963;1800;31.3;24.2;53;;23;4;3;
82691;27/01/1963;0000;26.1;23;75;;23;2;0;
82691;27/01/1963;1200;26.4;23.2;75;;36;4;2;
82691;27/01/1963;1800;34;26.1;52;;32;6;3;
82691;28/01/1963;0000;26.4;23.4;76;;32;4;5;
82691;28/01/1963;1200;27.2;24;76;;32;1.4;7;
82691;28/01/1963;1800;32.3;25.2;54;;9;2;7;
82691;29/01/1963;0000;26;23.4;79;;0;0;0;
82691;29/01/1963;1200;27.2;23.3;71;;36;6;3;
82691;29/01/1963;1800;32.7;25.9;56;;27;5;7;
82691;30/01/1963;0000;25.3;23.2;84;;32;6;8;
82691;30/01/1963;1200;27.1;24;76;;32;6;8;
82691;30/01/1963;1800;33.4;26.8;58;;23;4;3;
82691;31/01/1963;0000;26.2;23.1;76;;23;2;7;
82691;31/01/1963;1200;27.2;23.4;71;;32;8;7;
82691;31/01/1963;1800;30.6;25.1;63;;36;6;9;
82691;01/02/1963;0000;26.4;22.4;69;;32;6;4;
82691;01/02/1963;1200;27;23.6;74;;32;8;6;
82691;01/02/1963;1800;32.9;26.7;60;;18;7;8;
82691;02/02/1963;0000;23.4;22.6;93;;32;4;10;
82691;02/02/1963;1200;26.4;23.8;79;;32;8;10;
82691;02/02/1963;1800;32;26.6;64;;0;0;9;
