<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82693</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CRUZETA - RN (OMM: 82693)
Latitude  (graus) : -6.43
Longitude (graus) : -36.58
Altitude  (metros): 226.46
Esta��o Operante
Inicio de opera��o: 01/01/1930
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82693;01/06/1962;1200;28.6;23.2;61;;14;3;2;
82693;01/06/1962;1800;31.4;25.4;60;;14;5;3;
82693;02/06/1962;0000;25.4;22;73;;14;3;0;
82693;02/06/1962;1200;27.8;23.4;67;;14;7;2;
82693;02/06/1962;1800;32.6;25.2;53;;14;3;4;
82693;03/06/1962;0000;25;22.2;78;;14;3;3;
82693;03/06/1962;1200;24.2;22.2;84;;14;5;8;
82693;03/06/1962;1800;22.4;21.8;94;;14;1;10;
82693;04/06/1962;0000;23;22;91;;14;1;8;
82693;04/06/1962;1200;25.4;22.6;78;;14;3;7;
82693;04/06/1962;1800;32.2;24.8;53;;5;1;3;
82693;05/06/1962;0000;25;23.2;86;;0;0;0;
82693;05/06/1962;1200;27.2;23.2;70;;18;1;1;
82693;05/06/1962;1800;32.6;25;52;;0;0;3;
82693;06/06/1962;0000;26.6;23.6;77;;14;7;0;
82693;06/06/1962;1200;26.4;23.2;75;;14;1;7;
82693;06/06/1962;1800;30.4;25;63;;14;3;4;
82693;07/06/1962;0000;25.6;22.4;75;;14;1;0;
82693;07/06/1962;1200;27;22.6;67;;14;3;3;
82693;07/06/1962;1800;30.4;24.2;58;;14;3;7;
82693;08/06/1962;0000;24.8;22;77;;14;3;4;
82693;08/06/1962;1200;26.6;22.4;68;;14;3;2;
82693;08/06/1962;1800;32.8;24.8;50;;14;3;6;
82693;09/06/1962;0000;25.8;22.4;73;;9;1;4;
82693;09/06/1962;1200;27.4;22.8;66;;14;3;1;
82693;09/06/1962;1800;33.2;24.6;47;;14;1;3;
82693;10/06/1962;0000;27;23;70;;0;0;2;
