<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82695</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CAMARATUBA - PB (OMM: 82695)
Latitude  (graus) : -6.55
Longitude (graus) : -35.13
Altitude  (metros): 136.00
Esta��o Fechada
Inicio de opera��o: 19/11/1998
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82695;01/01/1999;1200;28.4;24.8;75;1000.6;;;3;
82695;01/01/1999;1800;29.4;23.6;62;1002.4;;;6;
82695;02/01/1999;0000;25;23;84;1003.4;;;3;
82695;02/01/1999;1200;26.8;24.2;79;1002.8;;;6;
82695;02/01/1999;1800;27.2;25.2;86;1004.6;;;5;
82695;03/01/1999;0000;24.6;;67;1003.2;;;0;
82695;03/01/1999;1200;28.2;24.2;72;1003.4;;;6;
82695;03/01/1999;1800;29.2;24.4;68;1004.2;;;5;
82695;04/01/1999;0000;25.2;23.4;86;1004;;;0;
82695;04/01/1999;1200;28.8;26.2;80;1000.8;;;5;
82695;04/01/1999;1800;29.8;25;68;1000.8;;;4;
82695;05/01/1999;0000;25.8;23.6;82;1001.1;;;3;
82695;05/01/1999;1200;27.8;23.2;68;1004;;;6;
82695;05/01/1999;1800;30.2;24.2;61;1001.4;;;6;
82695;06/01/1999;0000;25.2;22.8;81;1002.2;;;5;
82695;06/01/1999;1200;28.2;24.6;75;1001.2;;;4;
82695;06/01/1999;1800;29.8;25.4;70;1000.4;;;0;
82695;07/01/1999;0000;25.4;23.6;86;1001.8;;;0;
82695;07/01/1999;1200;26.8;23;73;1001.8;;;4;
82695;07/01/1999;1800;28.4;24.2;71;1001.4;;;0;
82695;08/01/1999;0000;24.8;22.8;84;1001.4;;;0;
82695;08/01/1999;1200;26.6;24.4;84;1001.2;;;6;
82695;08/01/1999;1800;28.2;23.8;69;998.8;;;5;
82695;09/01/1999;0000;24.4;22.8;87;1001.2;;;0;
82695;09/01/1999;1200;27;24;78;1002.2;;;6;
82695;09/01/1999;1800;27.8;23.2;68;1001.2;;;5;
82695;10/01/1999;0000;25;23.2;86;1002.4;;;0;
82695;10/01/1999;1200;27.2;23.4;73;1003.2;;;5;
82695;10/01/1999;1800;28.8;24.2;69;1001.6;;;6;
82695;11/01/1999;0000;24.8;23.4;89;1003.8;;;0;
82695;11/01/1999;1200;28.6;26.4;84;1002.2;;;6;
82695;11/01/1999;1800;29.6;23.4;59;1002.8;;;5;
82695;12/01/1999;0000;24.2;22.2;84;1002.2;;;0;
82695;12/01/1999;1200;29.8;25.2;69;1002.2;;;5;
82695;12/01/1999;1800;30.4;26.3;73;1002.2;;;3;
82695;13/01/1999;0000;24.8;22.8;84;1003.2;;;0;
82695;13/01/1999;1200;24.6;22.2;81;1003;;;5;
82695;13/01/1999;1800;28.6;25.6;79;1000.2;;;5;
82695;14/01/1999;0000;25.2;23.6;88;1000.7;;;0;
82695;14/01/1999;1200;28.2;23.8;69;1003.4;;;5;
82695;14/01/1999;1800;28.4;25.6;80;1003.6;;;5;
82695;15/01/1999;0000;23.8;22.6;90;1004.2;;;0;
82695;15/01/1999;1200;27.8;24.2;74;1002.4;;;5;
82695;15/01/1999;1800;29.4;25.2;71;1001.6;;;4;
82695;16/01/1999;0000;23.8;22.6;90;1004.4;;;0;
82695;16/01/1999;1200;28.8;23.6;65;1005.6;;;6;
82695;16/01/1999;1800;29;23.2;61;1004.2;;;4;
82695;17/01/1999;0000;23.6;22.6;92;1005.2;;;0;
82695;17/01/1999;1200;28.2;26;84;1002.2;;;6;
82695;17/01/1999;1800;30.2;24.2;61;1002.6;;;4;
82695;18/01/1999;0000;25.2;23.6;88;1004.4;;;0;
82695;18/01/1999;1200;27.4;23.8;74;1005.4;14;3.5;6;
82695;18/01/1999;1800;28.6;23;62;1004.4;9;7.6;6;
82695;19/01/1999;0000;24.2;22.8;89;1004.2;23;3.6;0;
82695;19/01/1999;1200;27;21.6;62;1003.2;27;2.6;6;
82695;19/01/1999;1800;27.8;25.6;84;1003.6;0;5.8;3;
82695;20/01/1999;0000;25.4;23.6;86;1003.4;14;2.3;6;
82695;20/01/1999;1200;27.8;24.2;74;1003;;;5;
82695;20/01/1999;1800;29.2;25.8;76;1002.6;14;5.4;4;
82695;21/01/1999;0000;24.8;22.6;83;1003.8;0;0;8;
82695;21/01/1999;1200;26.6;23.4;77;1003.2;14;5.2;8;
82695;21/01/1999;1800;28.2;24;71;1002.8;9;0;4;
82695;22/01/1999;0000;25.8;23.6;83;1003.4;9;3;5;
82695;22/01/1999;1200;28;24.2;73;1004;14;0;6;
82695;22/01/1999;1800;29;24.6;70;1001.6;9;3.2;3;
82695;23/01/1999;0000;24.8;22.6;83;1001.2;9;3.3;0;
82695;23/01/1999;1200;27.8;24.2;74;1003.4;14;6;4;
82695;23/01/1999;1800;29.8;24.6;65;1002.6;9;4.4;6;
82695;24/01/1999;0000;25.6;23.6;85;1003.6;9;3.7;0;
82695;24/01/1999;1200;29;24.2;67;1003.4;14;0.2;4;
82695;24/01/1999;1800;30;23.8;60;1001.4;14;7.8;4;
82695;25/01/1999;0000;25.4;23.2;83;1003.8;14;3.1;3;
82695;25/01/1999;1200;28.8;23.6;65;1001.4;14;4.9;6;
82695;25/01/1999;1800;30;23.2;56;1000.2;14;7.9;2;
82695;26/01/1999;0000;25.6;23.2;82;1003.8;14;4;1;
82695;26/01/1999;1200;28.6;23;62;1003.4;9;5;6;
82695;26/01/1999;1800;29.8;22.6;54;1001.2;9;6.9;3;
82695;27/01/1999;0000;25.2;23;83;1003.6;14;3.4;2;
82695;27/01/1999;1200;28;22.6;63;1003.2;14;4.3;5;
