<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82741</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : ALTO TAPAJOS - PA (OMM: 82741)
Latitude  (graus) : -7.35
Longitude (graus) : -57.51
Altitude  (metros): 140.00
Esta��o Desativada
Inicio de opera��o: 01/01/1925
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82741;01/02/1961;1200;22.4;22.1;97;1001.3;0;0;10;
82741;01/02/1961;1800;27.8;26;86;999.6;0;0;7;
82741;02/02/1961;0000;25.2;24;90;999.5;0;0;10;
82741;02/02/1961;1200;22.8;22.6;99;1003;0;0;10;
82741;02/02/1961;1800;26.3;25;90;1001;0;0;10;
82741;03/02/1961;0000;24.5;23.8;94;1001.2;0;0;10;
82741;03/02/1961;1200;22.6;21.8;93;1002.6;0;0;10;
82741;03/02/1961;1800;28.4;26.4;84;1001.5;27;1;10;
82741;04/02/1961;0000;25.7;25;94;1000.6;0;0;4;
82741;04/02/1961;1200;23.9;23.4;96;1002.3;0;0;9;
82741;04/02/1961;1800;26.7;25.4;89;1001;0;0;10;
82741;05/02/1961;0000;24.5;24.2;95;1001.5;0;0;10;
82741;05/02/1961;1200;22.1;21.8;97;1003.4;0;0;10;
82741;05/02/1961;1800;26.8;25.1;87;1001.8;0;0;10;
82741;06/02/1961;0000;22.9;22.3;95;1001.5;0;0;10;
82741;06/02/1961;1200;23.1;22.8;97;1001.6;0;0;8;
82741;06/02/1961;1800;31.7;28.1;76;1000;0;0;6;
82741;07/02/1961;0000;25.2;24.6;95;999.1;0;0;0;
82741;07/02/1961;1200;25.5;24.1;89;1001.5;0;0;7;
82741;07/02/1961;1800;31.9;28.6;78;1000.4;0;0;10;
82741;08/02/1961;0000;23.7;23;94;1001.8;0;0;10;
82741;08/02/1961;1200;22.6;22.2;97;1002.3;0;0;10;
82741;08/02/1961;1800;27.2;25.6;88;1000.2;9;1;10;
82741;09/02/1961;0000;23.7;22.5;90;1000.2;9;1;10;
