<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82753</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : OURICURI - PE (OMM: 82753)
Latitude  (graus) : -7.9
Longitude (graus) : -40.04
Altitude  (metros): 459.28
Esta��o Operante
Inicio de opera��o: 16/09/1975
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82753;01/10/1975;1200;25.1;18.9;55;;9;5;7;
82753;01/10/1975;1800;32.4;18.2;23;;14;4;0;
82753;02/10/1975;0000;26.8;17.4;39;;14;4.6;0;
82753;02/10/1975;1200;25.5;18.1;49;;9;4;0;
82753;02/10/1975;1800;32.9;19.5;28;;9;4.8;1;
82753;03/10/1975;0000;24.8;15.8;39;;5;0.8;0;
82753;03/10/1975;1200;25.4;20.1;61;;9;3;6;
82753;03/10/1975;1800;32.5;18.9;25;;5;2.5;5;
82753;04/10/1975;0000;26.4;16.9;37;;9;0.8;0;
82753;04/10/1975;1200;27.4;19.3;46;;9;1.3;0;
82753;04/10/1975;1800;34.6;19;22;;18;3.3;5;
82753;05/10/1975;0000;27.3;16.5;32;;5;1.6;0;
82753;05/10/1975;1200;26.4;20.9;61;;14;1.6;7;
82753;05/10/1975;1800;34.8;20.8;28;;18;3.3;4;
82753;06/10/1975;0000;26.4;20.9;61;;9;1.3;0;
82753;06/10/1975;1200;25.5;21.1;68;;9;2.3;9;
82753;06/10/1975;1800;33.1;20.9;32;;18;5;4;
82753;07/10/1975;0000;27.8;18.5;41;;9;2.3;0;
82753;07/10/1975;1200;27;20.7;57;;9;4.3;6;
82753;07/10/1975;1800;32.8;19.3;27;;9;3.6;4;
82753;08/10/1975;0000;27;17.8;40;;9;1;0;
82753;08/10/1975;1200;24.3;20.5;71;;14;3.6;10;
82753;08/10/1975;1800;33.6;19.8;27;;9;4;4;
82753;09/10/1975;0000;27.5;18;40;;5;1.8;0;
82753;09/10/1975;1200;26.7;20.3;56;;5;3.3;7;
