<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82771</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : URUCUI - PI (OMM: 82771)
Latitude  (graus) : -7.23
Longitude (graus) : -44.55
Altitude  (metros): 190.37
Esta��o Desativada
Inicio de opera��o: 11/08/1978
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82771;09/08/1976;1200;;;;;0;0;0;
82771;09/08/1976;1800;34.1;20;26;985.7;9;3.3;0;
82771;10/08/1976;0000;25.4;19.2;55;987.8;0;0;0;
82771;10/08/1976;1200;25.2;21.6;73;992.2;5;2.8;9;
82771;10/08/1976;1800;33.4;21.5;34;987.3;5;2.3;7;
82771;11/08/1976;0000;24.8;17.8;50;989;9;1;0;
82771;11/08/1976;1200;26.7;20.5;57;991.4;5;1.6;0;
82771;11/08/1976;1800;36.1;19.3;19;986.1;9;3.3;2;
82771;12/08/1976;0000;24.6;16.7;45;987.7;0;0;0;
82771;12/08/1976;1200;24.8;20.7;69;991.7;9;1;1;
82771;12/08/1976;1800;33.6;21.5;34;986.2;9;1.6;3;
82771;13/08/1976;0000;26.6;20.4;57;987.9;0;0;0;
82771;13/08/1976;1200;26;20.7;62;991.5;9;1.6;1;
82771;13/08/1976;1800;34.1;21.8;33;986.8;9;3;7;
82771;14/08/1976;0000;28.2;21.5;55;988.6;14;0.8;0;
82771;14/08/1976;1200;26.8;21.6;64;992.3;32;2;3;
82771;14/08/1976;1800;33.6;22.4;38;988.5;5;1.5;4;
82771;15/08/1976;0000;27;21.8;64;990.1;9;1.6;0;
82771;15/08/1976;1200;25.9;22;71;992.7;32;2.8;10;
82771;15/08/1976;1800;33.5;23.2;42;988.2;5;2;6;
82771;16/08/1976;0000;28;22.1;60;989.2;9;1.8;0;
82771;16/08/1976;1200;24.8;22.1;79;992.1;5;1.6;10;
82771;16/08/1976;1800;31.3;22.5;47;987.3;5;4.6;7;
82771;17/08/1976;0000;25.8;20.8;64;989.3;9;1;0;
82771;17/08/1976;1200;27.2;20;51;992.4;9;3.3;0;
82771;17/08/1976;1800;34.2;20.6;28;987;9;3.3;3;
82771;18/08/1976;0000;25.8;18.1;47;988.5;0;0;0;
82771;18/08/1976;1200;27.7;18.3;40;990.6;9;3.8;0;
82771;18/08/1976;1800;34.2;19.1;22;986.2;9;3;0;
82771;19/08/1976;0000;24;17.4;52;989.1;14;1;0;
82771;19/08/1976;1200;26.9;18.3;43;992.9;5;3;0;
82771;19/08/1976;1800;34.6;19.8;25;987.8;9;2.5;0;
82771;20/08/1976;0000;27;18.3;43;989.8;9;1.8;0;
82771;20/08/1976;1200;26.4;18;43;992.8;5;1.6;0;
82771;20/08/1976;1800;36.4;19.3;18;986.8;9;1.6;1;
82771;21/08/1976;0000;26.2;17.2;40;988.5;14;0.8;0;
82771;21/08/1976;1200;28.8;18.3;36;992.3;9;5.1;0;
82771;21/08/1976;1800;33.8;20;27;986.9;5;2.6;0;
82771;22/08/1976;0000;26.2;18.5;47;988.8;9;0.8;0;
82771;22/08/1976;1200;27.5;18.6;43;993;9;4.1;0;
