<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82777</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CAMPOS SALES - CE (OMM: 82777)
Latitude  (graus) : -7
Longitude (graus) : -40.38
Altitude  (metros): 583.50
Esta��o Operante
Inicio de opera��o: 01/06/1960
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82777;01/11/1962;1200;28;21.6;55;988.4;9;5;7;
82777;01/11/1962;1800;35.5;22.2;28;983.9;18;4;9;
82777;02/11/1962;0000;29.5;19.8;37;986.7;18;3;9;
82777;02/11/1962;1200;25.8;24.5;90;989.6;5;4;6;
82777;02/11/1962;1800;34.4;22.6;33;985.2;32;4;6;
82777;03/11/1962;0000;28.9;21.2;47;986.8;18;2;5;
82777;03/11/1962;1200;26.7;21.2;59;990.8;9;8;7;
82777;03/11/1962;1800;35.1;22.5;31;984.7;5;2;7;
82777;04/11/1962;0000;27.4;20.4;50;987.6;18;3;3;
82777;04/11/1962;1200;27.1;21.3;57;991.5;5;6;8;
82777;04/11/1962;1800;33.8;22.8;36;985;5;4;7;
82777;05/11/1962;0000;26.9;21.1;58;987.8;5;2;3;
82777;05/11/1962;1200;25.8;21.4;65;989.5;5;6;9;
82777;05/11/1962;1800;32.3;21.9;37;984;0;0;7;
82777;06/11/1962;0000;24.6;21.8;77;985.8;18;1;5;
82777;06/11/1962;1200;24.9;21.2;71;988.3;5;4;9;
82777;06/11/1962;1800;32.7;23.2;42;982;23;1;9;
82777;07/11/1962;0000;25.7;21.2;65;985.8;23;2;8;
82777;07/11/1962;1200;24;20.4;70;988.7;9;6;10;
82777;07/11/1962;1800;29.5;22.3;51;984.3;36;4;7;
82777;08/11/1962;0000;29.2;24.1;64;986.3;0;0;7;
82777;08/11/1962;1200;24.8;20.4;65;988.7;9;6;6;
82777;08/11/1962;1800;31.2;21.9;41;985.2;5;8;7;
82777;09/11/1962;0000;26.2;21.1;62;986.6;5;4;3;
82777;09/11/1962;1200;26.5;21.2;60;989;5;10;6;
82777;09/11/1962;1800;31.8;22;40;984.3;9;8;9;
82777;10/11/1962;0000;27.1;24.1;77;985.8;0;0;2;
82777;10/11/1962;1200;23.4;19.8;70;988.3;5;8;10;
82777;10/11/1962;1800;33.1;22.1;35;983;32;4;8;
82777;11/11/1962;0000;25;21.6;73;986.2;32;4;8;
82777;11/11/1962;1200;24.5;22.1;80;987;5;6;7;
82777;11/11/1962;1800;28.8;22.2;54;983;5;4;8;
82777;12/11/1962;0000;26.1;22.1;69;985.8;9;2;7;
82777;12/11/1962;1200;23.4;20;72;988;5;8;10;
82777;12/11/1962;1800;28.9;22.6;56;984.2;5;6;7;
82777;13/11/1962;0000;22.6;21.5;90;987.2;0;0;10;
82777;13/11/1962;1200;23.1;21.1;83;989.6;5;10;10;
82777;13/11/1962;1800;29.6;21.7;47;984.2;14;4;9;
82777;14/11/1962;0000;25.1;21.1;68;987.2;18;2;8;
82777;14/11/1962;1200;24.8;20.3;64;988;9;8;9;
82777;14/11/1962;1800;32.1;22.1;39;983.9;0;0;7;
82777;15/11/1962;0000;26.2;20.5;58;986.7;36;1;3;
82777;15/11/1962;1200;24.1;22.2;84;988.2;9;2;10;
82777;15/11/1962;1800;32.6;23;42;984.2;14;10;7;
82777;16/11/1962;0000;27.1;21.2;56;986.3;0;0;4;
82777;16/11/1962;1200;24.1;20.3;69;989.2;9;8;10;
82777;16/11/1962;1800;31.4;25.4;60;984.4;5;2;7;
82777;17/11/1962;0000;26.6;20.4;54;985.9;18;1;6;
82777;17/11/1962;1200;25.1;22;75;988.6;5;8;7;
82777;17/11/1962;1800;33;22.3;36;983.8;9;6;7;
82777;18/11/1962;0000;24.2;21.1;75;985.4;5;2;5;
82777;18/11/1962;1200;24.2;21.2;76;988.4;5;6;10;
82777;18/11/1962;1800;31.5;22.1;41;982.7;5;3;9;
82777;19/11/1962;0000;27.5;20.3;49;985.8;18;2;4;
82777;19/11/1962;1200;26.3;21;60;987.6;18;4;5;
82777;19/11/1962;1800;33.5;21;28;981.2;9;4;7;
82777;20/11/1962;0000;27.4;18.7;40;983.4;18;4;6;
82777;20/11/1962;1200;26.1;23.1;76;987.1;5;4;8;
82777;20/11/1962;1800;32.2;21.6;36;983.8;14;4;8;
82777;21/11/1962;0000;25.5;19.3;53;984.3;0;0;0;
82777;21/11/1962;1200;25.6;21.5;68;988.3;5;8;7;
82777;21/11/1962;1800;31.1;21.5;40;984;5;6;9;
82777;22/11/1962;0000;27.4;21;54;985.4;5;6;4;
82777;22/11/1962;1200;24.1;21.2;76;988.6;5;8;8;
82777;22/11/1962;1800;31.8;22.2;41;984.4;14;8;8;
82777;23/11/1962;0000;26.3;21.3;62;986.8;18;6;6;
82777;23/11/1962;1200;25.2;22.2;77;988.3;9;6;8;
82777;23/11/1962;1800;29;22.4;54;984;5;4;8;
82777;24/11/1962;0000;24.2;22.1;83;985.9;0;0;3;
82777;24/11/1962;1200;21.4;20.8;94;987.5;14;8;8;
82777;24/11/1962;1800;29.2;22.3;53;983.2;5;4;8;
82777;25/11/1962;0000;24.4;20.9;71;984.8;18;1;3;
82777;25/11/1962;1200;25;24.7;98;989.1;36;3;10;
82777;25/11/1962;1800;22.5;20.8;85;986;14;2;10;
82777;26/11/1962;0000;22.3;21.1;90;986.8;5;2;4;
82777;26/11/1962;1200;24.6;21.6;76;987.4;9;8;7;
82777;26/11/1962;1800;29.2;22.2;52;984.6;36;2;8;
82777;27/11/1962;0000;23.6;21.3;80;986.7;18;1;3;
82777;27/11/1962;1200;24.4;21.1;73;988.6;5;8;9;
82777;27/11/1962;1800;31.3;23;48;985.5;14;8;8;
82777;28/11/1962;0000;25.2;21.1;68;986.2;0;0;0;
82777;28/11/1962;1200;23.2;21.6;86;989;9;4;8;
82777;28/11/1962;1800;31.2;23;47;985.4;9;10;7;
82777;29/11/1962;0000;24.6;20;64;986.6;18;4;2;
82777;29/11/1962;1200;25.1;23;83;988.6;9;6;6;
82777;29/11/1962;1800;31.7;22.6;43;984;9;2;7;
82777;30/11/1962;0000;24.3;21;73;985.8;0;0;3;
82777;30/11/1962;1200;24.2;20.8;72;989.1;9;10;8;
82777;30/11/1962;1800;31.2;21.1;37;984.7;5;6;7;
82777;01/12/1962;0000;25;20;65;987;18;2;3;
82777;01/12/1962;1200;23.4;21.1;81;989.9;5;6;8;
82777;01/12/1962;1800;32.2;22.2;39;985.4;9;6;8;
82777;02/12/1962;0000;24.3;20.1;67;987.1;5;3;0;
82777;02/12/1962;1200;26.6;21.4;60;989.6;9;14;5;
