<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82779</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : UMBUZEIRO - PB (OMM: 82779)
Latitude  (graus) : -7.7
Longitude (graus) : -35.66
Altitude  (metros): 499.21
Esta��o Desativada
Inicio de opera��o: 01/01/1929
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82779;01/01/1961;1200;26.1;20.8;61;953.4;14;2.4;3;
82779;01/01/1961;1800;28.5;20.7;47;950.2;14;0.9;2;
82779;02/01/1961;0000;20.6;20.2;97;952.8;14;2.4;1;
82779;02/01/1961;1200;26.1;19.8;54;952.7;14;0.9;2;
82779;02/01/1961;1800;29.5;20.2;40;950.7;14;0.9;2;
82779;03/01/1961;0000;20.3;19.6;93;953.5;9;2.4;1;
82779;03/01/1961;1200;26.2;20.9;61;954;9;2.4;3;
82779;03/01/1961;1800;29.5;20.3;41;950.4;9;0.9;2;
82779;04/01/1961;0000;20.6;20.1;96;953.1;9;0.9;3;
82779;04/01/1961;1200;26.8;21.3;60;953.2;9;0.9;3;
82779;04/01/1961;1800;30.4;21.5;43;950.6;9;0.9;2;
82779;05/01/1961;0000;20.8;20.3;95;952.3;9;2.4;2;
82779;05/01/1961;1200;26;20.6;61;952.2;9;0.9;4;
82779;05/01/1961;1800;28.1;21.4;53;949.6;9;0.9;3;
82779;06/01/1961;0000;20.6;20;95;951.4;9;0.9;1;
82779;06/01/1961;1200;25.6;20.5;62;953.5;14;0.9;3;
82779;06/01/1961;1800;29.2;20.6;44;950.2;14;0.9;3;
82779;07/01/1961;0000;20.1;19.5;94;953.4;14;2.4;1;
82779;07/01/1961;1200;25.8;20.6;62;953.2;14;0.9;3;
82779;07/01/1961;1800;29.5;20.7;43;949.9;14;0.9;2;
82779;08/01/1961;0000;20.3;19.8;95;952.8;14;2.4;1;
82779;08/01/1961;1200;25.4;21.6;71;952.7;14;2.4;4;
82779;08/01/1961;1800;28.6;21.3;51;950.2;14;2.4;3;
82779;09/01/1961;0000;20.3;19.8;95;952.6;14;0.9;0;
82779;09/01/1961;1200;25.4;20.8;66;952.7;14;2.4;5;
82779;09/01/1961;1800;28.6;20.9;48;949.9;14;0.9;2;
82779;10/01/1961;0000;20.1;19.7;96;952.3;14;0.9;1;
82779;10/01/1961;1200;25.3;20.5;64;952.4;14;0.9;8;
82779;10/01/1961;1800;29.6;21.2;46;949.6;14;0.9;2;
82779;11/01/1961;0000;21.5;20.4;90;952.6;14;0.9;6;
