<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82780</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : PICOS - PI (OMM: 82780)
Latitude  (graus) : -7.03
Longitude (graus) : -41.48
Altitude  (metros): 207.93
Esta��o Operante
Inicio de opera��o: 01/11/1923
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82780;01/11/1965;1200;31.4;22.3;42;;5;8;2;
82780;01/11/1965;1800;37.7;23.1;25;;0;0;6;
82780;02/11/1965;0000;32.9;21.9;35;;18;10;10;
82780;02/11/1965;1200;29.8;22.4;50;;9;8;9;
82780;02/11/1965;1800;36.3;22.2;26;;9;6;9;
82780;03/11/1965;0000;31.6;19.1;26;;14;5;9;
82780;03/11/1965;1200;29.7;22.7;52;;9;9;9;
82780;03/11/1965;1800;35.5;22.2;28;;14;4;7;
82780;04/11/1965;0000;27.1;19.4;45;;27;1;0;
82780;04/11/1965;1200;30.2;22.4;48;;9;10;9;
82780;04/11/1965;1800;36.1;23.2;31;;9;6;7;
82780;05/11/1965;0000;24.6;22.2;81;;27;2;10;
82780;05/11/1965;1200;28.8;22;53;;14;6;9;
82780;05/11/1965;1800;35.8;22.8;30;;14;6;7;
82780;06/11/1965;0000;25.8;22.9;77;;0;0;7;
82780;06/11/1965;1200;28.8;21.6;51;;14;10;4;
82780;06/11/1965;1800;36.3;22.9;29;;14;10;7;
82780;07/11/1965;0000;30.6;21.2;40;;0;0;6;
82780;07/11/1965;1200;29.6;21.9;48;;9;8;8;
82780;07/11/1965;1800;37.4;22.7;25;;14;10;2;
82780;08/11/1965;0000;30.8;21.2;39;;0;0;2;
82780;08/11/1965;1200;31.2;22;42;;9;8;6;
82780;08/11/1965;1800;36.9;23.2;28;;14;4;8;
82780;09/11/1965;0000;29.9;20.6;40;;0;0;6;
82780;09/11/1965;1200;31.2;23.5;50;;14;6;7;
82780;09/11/1965;1800;37;23.6;29;;9;4;8;
82780;10/11/1965;0000;32.2;22.3;39;;9;6;9;
82780;10/11/1965;1200;30.8;23;49;;9;8;8;
82780;10/11/1965;1800;37.3;23.4;28;;9;4;8;
82780;11/11/1965;0000;29.1;21.7;49;;9;6;9;
82780;11/11/1965;1200;30.9;22.2;44;;9;6;4;
82780;11/11/1965;1800;37.1;24;31;;0;0;9;
82780;12/11/1965;0000;27.6;21.9;58;;18;4;10;
82780;12/11/1965;1200;27.9;21.7;56;;5;2;10;
82780;12/11/1965;1800;30.4;23.3;53;;27;4;9;
82780;13/11/1965;0000;25.5;22.7;78;;18;6;0;
82780;13/11/1965;1200;29.9;22.4;49;;5;8;7;
82780;13/11/1965;1800;36;23.2;31;;9;6;9;
82780;14/11/1965;0000;26.7;24.2;81;;32;4;8;
82780;14/11/1965;1200;30.8;21.2;39;;9;8;0;
82780;14/11/1965;1800;37;21.8;22;;9;7;5;
82780;15/11/1965;0000;28.2;18.7;36;;0;0;0;
82780;15/11/1965;1200;31;22.6;46;;5;8;8;
82780;15/11/1965;1800;37;22.2;24;;9;4;7;
82780;16/11/1965;0000;28.2;20.4;46;;0;0;0;
82780;16/11/1965;1200;31.9;21.7;37;;5;8;1;
82780;16/11/1965;1800;37.8;22;21;;9;10;4;
82780;17/11/1965;0000;29.8;20.9;42;;0;0;0;
82780;17/11/1965;1200;32.2;22;38;;5;8;0;
82780;17/11/1965;1800;39.2;22.7;21;;9;8;4;
82780;18/11/1965;0000;31.1;20.4;34;;9;2;0;
82780;18/11/1965;1200;31.3;22;42;;5;4;0;
82780;18/11/1965;1800;37.5;22.8;24;;9;2;6;
82780;19/11/1965;0000;32.6;23.9;46;;0;0;9;
82780;19/11/1965;1200;29.7;22.2;49;;5;4;1;
82780;19/11/1965;1800;37.2;23.9;30;;27;8;7;
82780;20/11/1965;0000;30.9;22.7;46;;27;4;0;
82780;20/11/1965;1200;30.2;22.6;50;;9;4;5;
82780;20/11/1965;1800;35.3;24;36;;27;2;6;
82780;21/11/1965;0000;29.8;24.2;61;;27;4;0;
82780;21/11/1965;1200;30.3;23;51;;5;4;3;
82780;21/11/1965;1800;35.7;24.1;35;;5;2;8;
82780;22/11/1965;0000;25.9;22.9;76;;9;4;10;
82780;22/11/1965;1200;29.6;22.9;54;;5;6;5;
82780;22/11/1965;1800;35.7;23.6;33;;0;0;6;
82780;23/11/1965;0000;31.1;22.4;45;;0;0;10;
82780;23/11/1965;1200;29.9;22.1;48;;5;4;8;
82780;23/11/1965;1800;36.9;23.5;29;;32;4;8;
82780;24/11/1965;0000;28.1;22;56;;9;4;0;
82780;24/11/1965;1200;29.2;21;45;;5;4;9;
82780;24/11/1965;1800;30.6;22.8;49;;23;6;9;
82780;25/11/1965;0000;26.9;23.4;73;;0;0;0;
82780;25/11/1965;1200;28.8;21.8;52;;9;4;9;
82780;25/11/1965;1800;31.7;23.2;46;;27;8;10;
82780;26/11/1965;0000;25.3;22.4;77;;23;4;0;
82780;26/11/1965;1200;29.5;22.9;54;;14;4;6;
82780;26/11/1965;1800;37.9;22.8;23;;9;6;7;
82780;27/11/1965;0000;32.1;22.7;42;;23;3;0;
82780;27/11/1965;1200;31.7;23;45;;9;8;1;
82780;27/11/1965;1800;38.6;22.3;20;;18;6;8;
82780;28/11/1965;0000;30.3;20.4;37;;27;1;0;
82780;28/11/1965;1200;32.1;23.3;45;;5;8;5;
82780;28/11/1965;1800;38;22;20;;5;8;4;
82780;29/11/1965;0000;29.1;19.1;35;;0;0;1;
82780;29/11/1965;1200;31.3;22.4;44;;5;8;1;
82780;29/11/1965;1800;37.1;23.5;29;;14;6;7;
82780;30/11/1965;0000;30.5;23;50;;0;0;9;
82780;30/11/1965;1200;31;23;48;;5;6;2;
82780;30/11/1965;1800;31.4;22;41;;18;6;9;
82780;01/12/1965;0000;29.3;22.3;52;;14;2;9;
82780;01/12/1965;1200;30.1;22.8;51;;5;4;7;
82780;01/12/1965;1800;36.3;23.8;32;;9;2;7;
82780;02/12/1965;0000;29.7;22.8;53;;0;0;10;
82780;02/12/1965;1200;31;23.1;49;;14;6;5;
82780;02/12/1965;1800;36.4;23.9;33;;5;2;5;
82780;03/12/1965;0000;29.2;22.4;53;;0;0;2;
82780;03/12/1965;1200;29.7;21.7;46;;9;10;0;
82780;03/12/1965;1800;36.6;23.9;32;;18;2;6;
82780;04/12/1965;0000;29.1;22.2;52;;36;4;10;
82780;04/12/1965;1200;30.3;22.2;47;;5;8;1;
82780;04/12/1965;1800;37.1;23.6;29;;9;6;8;
82780;05/12/1965;0000;30.4;22.7;49;;36;4;10;
82780;05/12/1965;1200;30.1;21.6;45;;9;6;5;
82780;05/12/1965;1800;35.1;22.9;33;;14;6;10;
82780;06/12/1965;0000;29;23;58;;27;2;10;
82780;06/12/1965;1200;29.7;21;43;;9;8;5;
82780;06/12/1965;1800;36.2;22.9;29;;14;4;9;
82780;07/12/1965;0000;28.9;22.3;54;;0;0;6;
82780;07/12/1965;1200;30;22;47;;5;4;9;
82780;07/12/1965;1800;35.2;23.4;34;;14;4;10;
82780;08/12/1965;0000;30;23.3;55;;27;2;10;
82780;08/12/1965;1200;29.7;23;54;;14;6;10;
82780;08/12/1965;1800;34.3;23;35;;9;4;9;
82780;09/12/1965;0000;30.7;22.9;48;;0;0;10;
82780;09/12/1965;1200;29.2;22.5;54;;9;6;9;
82780;09/12/1965;1800;35.2;23.3;33;;14;4;9;
82780;10/12/1965;0000;30;22;47;;9;4;6;
82780;10/12/1965;1200;31.6;22.6;44;;9;8;6;
82780;10/12/1965;1800;36.4;23.2;30;;9;2;8;
82780;11/12/1965;0000;31.1;21.4;39;;5;1;1;
82780;11/12/1965;1200;29.7;22.7;52;;14;4;5;
82780;11/12/1965;1800;37.6;23.2;26;;9;4;6;
82780;12/12/1965;0000;30.1;20.8;40;;0;0;0;
82780;12/12/1965;1200;30.8;23;49;;5;6;1;
82780;12/12/1965;1800;38;23.5;26;;9;4;7;
82780;13/12/1965;0000;28.8;21.5;50;;23;2;0;
82780;13/12/1965;1200;29.6;23.2;56;;9;4;8;
82780;13/12/1965;1800;34.3;24.6;43;;0;0;9;
82780;14/12/1965;0000;27.5;22.6;64;;23;6;0;
82780;14/12/1965;1200;30.5;22.8;49;;5;6;0;
82780;14/12/1965;1800;38.1;23.4;26;;18;4;7;
82780;15/12/1965;0000;32.1;20.8;33;;5;6;0;
82780;15/12/1965;1200;30.7;23.2;50;;5;4;1;
82780;15/12/1965;1800;38.1;22.9;24;;18;2;5;
82780;16/12/1965;0000;31.5;21.1;36;;0;0;0;
82780;16/12/1965;1200;30.2;22.3;48;;5;8;9;
82780;16/12/1965;1800;35.9;22.5;28;;14;6;9;
82780;17/12/1965;0000;28.8;20.8;46;;32;2;0;
82780;17/12/1965;1200;30.8;23;49;;5;4;5;
82780;17/12/1965;1800;37.1;24.6;33;;5;4;5;
82780;18/12/1965;0000;32.1;22.2;40;;9;8;0;
82780;18/12/1965;1200;29.4;22.9;55;;9;4;9;
82780;18/12/1965;1800;35.1;24.1;38;;5;2;10;
82780;19/12/1965;0000;28.5;24;67;;0;0;0;
82780;19/12/1965;1200;28.7;22.8;58;;5;6;9;
82780;19/12/1965;1800;35.6;23.4;33;;18;6;9;
82780;20/12/1965;0000;28.5;21.4;50;;27;2;0;
82780;20/12/1965;1200;30.1;22.4;49;;5;6;8;
82780;20/12/1965;1800;35.5;23.4;33;;36;6;9;
82780;21/12/1965;0000;30.6;21.1;40;;0;0;0;
82780;21/12/1965;1200;30;22.4;49;;5;6;2;
82780;21/12/1965;1800;36.7;22.4;26;;14;4;6;
82780;22/12/1965;0000;31.2;21.8;41;;0;0;0;
82780;22/12/1965;1200;25.7;21.8;69;;5;2;10;
82780;22/12/1965;1800;30;22.9;52;;32;4;10;
82780;23/12/1965;0000;25.3;22.4;77;;0;0;0;
82780;23/12/1965;1200;25.5;22.4;75;;0;0;10;
82780;23/12/1965;1800;25.1;22.6;80;;27;4;9;
82780;24/12/1965;0000;23;21.8;89;;0;0;0;
82780;24/12/1965;1200;28.2;22.7;61;;5;6;4;
82780;24/12/1965;1800;35.1;23.8;36;;14;4;8;
82780;25/12/1965;0000;27.5;22.2;61;;27;2;0;
82780;25/12/1965;1200;29.2;23;57;;14;4;8;
82780;25/12/1965;1800;37.2;22.7;25;;14;7;7;
82780;26/12/1965;0000;31.1;21.2;38;;14;6;0;
82780;26/12/1965;1200;29.5;21.2;45;;14;10;1;
82780;26/12/1965;1800;35.6;22.8;30;;14;8;7;
82780;27/12/1965;0000;30.5;21.4;41;;14;6;0;
82780;27/12/1965;1200;30.8;22.9;48;;14;4;5;
82780;27/12/1965;1800;35.8;23.4;33;;14;4;9;
82780;28/12/1965;0000;30.7;22.4;46;;0;0;0;
