<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82781</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : NAZARE DA MATA - PE (OMM: 82781)
Latitude  (graus) : -7.73
Longitude (graus) : -35.25
Altitude  (metros): 87.00
Esta��o Desativada
Inicio de opera��o: 01/01/1909
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82781;01/01/1961;1200;27;23.7;75;1002;;;8;
82781;01/01/1961;1800;29.7;24;60;999;;;3;
82781;02/01/1961;0000;24.6;22.8;85;1002.2;;;0;
82781;02/01/1961;1200;29;24.5;68;1002.6;;;3;
82781;02/01/1961;1800;30.2;24.7;62;999.6;;;1;
82781;03/01/1961;0000;25.2;23.3;84;1002.2;;;0;
82781;03/01/1961;1200;28.9;22.4;54;1002.8;;;2;
82781;03/01/1961;1800;31;22.9;47;999.5;;;2;
82781;04/01/1961;0000;25.3;24.3;92;1001.1;;;0;
82781;04/01/1961;1200;29;24.1;65;1002.4;;;2;
82781;04/01/1961;1800;31.5;24.5;54;999.6;;;3;
82781;05/01/1961;0000;25.5;23.6;85;1000.8;;;0;
82781;05/01/1961;1200;29.3;24.1;63;1001.8;;;2;
82781;05/01/1961;1800;31.7;25;56;999.9;;;1;
82781;06/01/1961;0000;24.9;23;85;1000.6;;;2;
82781;06/01/1961;1200;30;24.8;64;1001.6;;;1;
82781;06/01/1961;1800;31.6;25.1;58;999.2;;;4;
82781;07/01/1961;0000;25.7;23.7;84;1001.2;;;0;
82781;07/01/1961;1200;27.1;24.3;78;1002;;;9;
82781;07/01/1961;1800;31.3;24.8;57;999.4;;;4;
82781;08/01/1961;0000;25.7;23.5;82;1001.2;;;0;
82781;08/01/1961;1200;28.5;24.2;69;1002.6;;;2;
82781;08/01/1961;1800;30.8;24.5;58;999.2;;;3;
82781;09/01/1961;0000;25;23.1;85;1001.2;;;0;
82781;09/01/1961;1200;27.4;23.3;70;1002.2;;;7;
82781;09/01/1961;1800;30;23.6;57;998.8;;;3;
