<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82791</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : PATOS - PB (OMM: 82791)
Latitude  (graus) : -7.01
Longitude (graus) : -37.26
Altitude  (metros): 249.09
Esta��o Operante
Inicio de opera��o: 17/10/1975
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82791;01/01/1975;1200;27.7;21.2;56;;9;5.1;7;
82791;01/01/1975;1800;33.9;21.4;32;;9;4.5;8;
82791;02/01/1975;0000;26.5;21.2;62;;9;2.5;0;
82791;02/01/1975;1200;27.6;20.7;54;;9;5.3;5;
82791;02/01/1975;1800;33.3;21.5;34;;14;3.8;8;
82791;03/01/1975;0000;28;22;59;;9;7.1;0;
82791;03/01/1975;1200;28.1;22.2;60;;9;8.6;7;
82791;03/01/1975;1800;34.6;22.2;34;;9;6.6;6;
82791;04/01/1975;0000;27.5;20.8;55;;9;7.5;0;
82791;04/01/1975;1200;28;20.6;51;;14;8;5;
82791;04/01/1975;1800;34.3;21;29;;18;5;6;
82791;05/01/1975;0000;27.3;20.3;52;;9;6.6;0;
82791;05/01/1975;1200;27;20.6;56;;14;5.6;6;
82791;05/01/1975;1800;34.6;20.5;27;;18;4.3;10;
82791;06/01/1975;0000;28.4;20.9;51;;5;6.3;0;
82791;06/01/1975;1200;26.8;21.2;61;;14;3.3;3;
82791;06/01/1975;1800;35;21.8;31;;18;3.3;9;
82791;07/01/1975;0000;29.5;22.4;55;;14;7.8;3;
82791;07/01/1975;1200;27.7;20.6;53;;9;4.3;7;
82791;07/01/1975;1800;34.4;20.4;26;;18;2;9;
82791;08/01/1975;0000;28.7;21.6;54;;9;5.5;9;
82791;08/01/1975;1200;28.1;21.2;54;;9;6.3;4;
82791;08/01/1975;1800;35.1;21.6;30;;14;5.6;5;
82791;09/01/1975;0000;28.3;21.8;56;;9;8.3;1;
82791;09/01/1975;1200;28.1;21.2;54;;14;6.1;8;
