<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82792</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : MONTEIRO - PB (OMM: 82792)
Latitude  (graus) : -7.88
Longitude (graus) : -37.06
Altitude  (metros): 603.66
Esta��o Operante
Inicio de opera��o: 14/01/1940
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82792;01/12/1962;1200;25.8;21;64;;32;4;7;
82792;01/12/1962;1800;33;22.2;36;;27;4;6;
82792;02/12/1962;0000;25;21.2;71;;5;6;0;
82792;02/12/1962;1200;25.6;21.4;68;;36;2;4;
82792;02/12/1962;1800;33;22.8;40;;23;3;7;
82792;03/12/1962;0000;26.2;20.8;61;;23;8;0;
82792;03/12/1962;1200;26.4;20.2;56;;23;3;3;
82792;03/12/1962;1800;32.4;22.4;40;;23;1;4;
82792;04/12/1962;0000;26.2;21.2;63;;23;3;0;
82792;04/12/1962;1200;26;21.4;65;;27;1;9;
82792;04/12/1962;1800;33.6;23.4;41;;18;1;7;
82792;05/12/1962;0000;25.2;21.4;71;;23;7;1;
82792;05/12/1962;1200;27.2;21.4;58;;23;1;0;
82792;05/12/1962;1800;35;23.4;36;;23;3;5;
82792;06/12/1962;0000;26;22.4;73;;23;7;0;
82792;06/12/1962;1200;27.8;22;59;;23;7;1;
82792;06/12/1962;1800;34.2;23.8;40;;32;4;7;
82792;07/12/1962;0000;27.2;22;63;;23;7;9;
82792;07/12/1962;1200;25.8;21;64;;32;5;9;
82792;07/12/1962;1800;32.2;22.8;43;;32;3;9;
82792;08/12/1962;0000;25.8;21;64;;23;3;9;
82792;08/12/1962;1200;27.8;21;53;;23;8;1;
82792;08/12/1962;1800;32.8;22.8;41;;23;3;9;
82792;09/12/1962;0000;25.9;21;64;;23;9;6;
82792;09/12/1962;1200;25.8;21.2;65;;23;1;9;
82792;09/12/1962;1800;34.2;24.2;42;;23;4;7;
82792;10/12/1962;0000;24;21;75;;23;5;9;
82792;10/12/1962;1200;26.9;21.9;64;;23;3;5;
82792;10/12/1962;1800;32.4;23.2;44;;18;1;9;
82792;11/12/1962;0000;25.4;21.4;69;;23;3;3;
82792;11/12/1962;1200;24.6;21;72;;23;5;10;
82792;11/12/1962;1800;31;22.4;46;;23;5;10;
82792;12/12/1962;0000;25;21.8;74;;23;7;10;
82792;12/12/1962;1200;25.4;21;67;;23;5;9;
82792;12/12/1962;1800;30.6;22.8;50;;23;3;10;
82792;13/12/1962;0000;24.4;21.4;75;;23;7;9;
82792;13/12/1962;1200;26;21.8;68;;23;3;9;
82792;13/12/1962;1800;30.8;23.4;52;;23;3;9;
82792;14/12/1962;0000;24.8;21.6;74;;23;7;9;
82792;14/12/1962;1200;26;21.8;68;;23;5;9;
82792;14/12/1962;1800;31.4;23.4;49;;23;2;10;
82792;15/12/1962;0000;25.4;21.8;72;;23;7;0;
82792;15/12/1962;1200;27.8;22.2;60;;5;1;10;
82792;15/12/1962;1800;32;23;45;;23;1;9;
82792;16/12/1962;0000;27;23.4;72;;27;3;0;
82792;16/12/1962;1200;25.2;22.4;78;;36;1;10;
82792;16/12/1962;1800;25.2;22.8;81;;27;7;9;
82792;17/12/1962;0000;21;20.6;96;;23;1;0;
82792;17/12/1962;1200;22.8;20;76;;27;1;9;
82792;17/12/1962;1800;29;23;59;;23;3;9;
82792;18/12/1962;0000;23.2;22.4;93;;23;1;0;
