<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82795</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CAMPINA GRANDE - PB (OMM: 82795)
Latitude  (graus) : -7.22
Longitude (graus) : -35.88
Altitude  (metros): 547.56
Esta��o Operante
Inicio de opera��o: 01/01/1911
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82795;01/01/1961;1200;;;;949;14;6.7;4;
82795;01/01/1961;1800;;;;946;14;6.7;6;
82795;02/01/1961;0000;;;;948.8;18;6.7;8;
82795;02/01/1961;1200;;;;950;14;6.7;3;
82795;02/01/1961;1800;;;;946.4;9;4.4;5;
82795;03/01/1961;0000;;;;949;14;4.4;0;
82795;03/01/1961;1200;;;;950;5;6.7;4;
82795;03/01/1961;1800;;;;946.8;9;6.7;4;
82795;04/01/1961;0000;;;;948.6;14;6.7;2;
82795;04/01/1961;1200;;;;949.4;14;4.4;5;
82795;04/01/1961;1800;;;;946.4;5;6.7;3;
82795;05/01/1961;0000;;;;948.3;5;6.7;0;
82795;05/01/1961;1200;;;;948.7;14;4.4;4;
82795;05/01/1961;1800;;;;945.9;14;4.4;3;
82795;06/01/1961;0000;;;;947.6;9;4.4;0;
82795;06/01/1961;1200;;;;948.8;14;4.4;4;
82795;06/01/1961;1800;;;;946.3;9;6.7;4;
82795;07/01/1961;0000;;;;948.3;5;6.7;0;
82795;07/01/1961;1200;;;;949.4;14;4.4;5;
82795;07/01/1961;1800;;;;946.3;9;4.4;6;
82795;08/01/1961;0000;;;;948.4;9;4.4;0;
82795;08/01/1961;1200;;;;949.2;18;9.3;4;
82795;08/01/1961;1800;;;;946.7;14;4.4;6;
82795;09/01/1961;0000;;;;948;9;4.4;0;
82795;09/01/1961;1200;;;;949.2;14;6.7;5;
82795;09/01/1961;1800;;;;946;5;6.7;5;
82795;10/01/1961;0000;;;;948;9;4.4;0;
82795;10/01/1961;1200;;;;948.3;14;4.4;4;
82795;10/01/1961;1800;;;;946.3;18;6.7;6;
82795;11/01/1961;0000;;;;948;9;4.4;0;
82795;11/01/1961;1200;;;;948.2;14;4.4;4;
82795;11/01/1961;1800;;;;946.7;14;4.4;6;
82795;12/01/1961;0000;;;;948.3;5;4.4;5;
82795;12/01/1961;1200;;;;948.7;5;6.7;6;
82795;12/01/1961;1800;;;;945.9;9;6.7;5;
82795;13/01/1961;0000;;;;948.3;5;4.4;5;
82795;13/01/1961;1200;;;;948.8;5;6.7;5;
82795;13/01/1961;1800;;;;946.2;9;4.4;6;
82795;14/01/1961;0000;;;;948.3;9;4.4;0;
82795;14/01/1961;1200;;;;948.6;14;6.7;4;
82795;14/01/1961;1800;;;;945.6;14;6.7;6;
82795;15/01/1961;0000;;;;947.5;5;6.7;7;
82795;15/01/1961;1200;;;;948;14;4.4;5;
82795;15/01/1961;1800;;;;947.5;9;6.7;6;
82795;16/01/1961;0000;;;;948.6;9;4.4;0;
82795;16/01/1961;1200;;;;949.4;5;6.7;10;
82795;16/01/1961;1800;;;;946.6;5;4.4;7;
82795;17/01/1961;0000;;;;948.4;14;6.7;8;
82795;17/01/1961;1200;;;;950.2;5;6.7;10;
