<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82797</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : SURUBIM - PE (OMM: 82797)
Latitude  (graus) : -7.83
Longitude (graus) : -35.71
Altitude  (metros): 418.32
Esta��o Operante
Inicio de opera��o: 01/10/1929
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82797;01/01/1961;1200;27;22.7;68;;9;2;3;
82797;01/01/1961;1800;28.4;23.6;67;;9;5;4;
82797;02/01/1961;0000;24.6;21.3;73;;0;0;7;
82797;02/01/1961;1200;27.8;22.5;62;;9;4;1;
82797;02/01/1961;1800;30;23;54;;14;2;2;
82797;03/01/1961;0000;24.8;20.9;69;;9;2;8;
82797;03/01/1961;1200;28;22.9;64;;9;6;4;
82797;03/01/1961;1800;30;22.9;53;;9;5;2;
82797;04/01/1961;0000;25;21.1;70;;0;0;7;
82797;04/01/1961;1200;28.2;23.2;65;;9;2;3;
82797;04/01/1961;1800;31;24;55;;9;6;1;
82797;05/01/1961;0000;25.8;21.9;70;;0;0;7;
82797;05/01/1961;1200;27.8;22.7;64;;9;5;8;
82797;05/01/1961;1800;30.8;23.4;52;;9;6;2;
82797;06/01/1961;0000;25;21.7;74;;9;2;8;
82797;06/01/1961;1200;27;21.6;60;;9;2;2;
82797;06/01/1961;1800;29.8;23.4;57;;14;6;1;
82797;07/01/1961;0000;24.8;21.5;73;;0;0;8;
82797;07/01/1961;1200;26.7;21.4;61;;9;2;4;
82797;07/01/1961;1800;28.3;23.1;64;;14;4;6;
82797;08/01/1961;0000;23.4;19.9;72;;9;2;7;
82797;08/01/1961;1200;26.8;20.9;57;;9;4;5;
82797;08/01/1961;1800;29.8;22.9;54;;9;4;3;
82797;09/01/1961;0000;25;21.6;73;;0;0;8;
82797;09/01/1961;1200;26.3;21.7;66;;9;6;8;
82797;09/01/1961;1800;28.5;22.5;58;;5;4;6;
82797;10/01/1961;0000;24.8;21.1;71;;0;0;2;
82797;10/01/1961;1200;27;22.3;66;;9;3;6;
82797;10/01/1961;1800;29.8;23.2;56;;9;6;5;
82797;11/01/1961;0000;25.7;21.9;71;;9;2;4;
82797;11/01/1961;1200;27;22.7;68;;9;3;6;
82797;11/01/1961;1800;30;23.4;56;;9;6;3;
82797;12/01/1961;0000;26;22.7;74;;0;0;5;
82797;12/01/1961;1200;27.2;22.3;65;;5;5;4;
82797;12/01/1961;1800;30;22.9;53;;9;6;2;
82797;13/01/1961;0000;26.4;22.3;70;;0;0;6;
82797;13/01/1961;1200;27.9;21.9;58;;9;6;3;
82797;13/01/1961;1800;29.4;22.7;55;;14;8;2;
82797;14/01/1961;0000;25.4;21.2;68;;9;2;5;
82797;14/01/1961;1200;26.3;21.3;63;;9;2;3;
