<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82807</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : TARAUACA - AC (OMM: 82807)
Latitude  (graus) : -8.16
Longitude (graus) : -70.76
Altitude  (metros): 190.00
Esta��o Operante
Inicio de opera��o: 06/06/1966
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82807;09/06/1969;1200;22.8;22.6;;1013.2;;;4;
82807;09/06/1969;1800;32.2;26.6;;1010.6;;;4;
82807;10/06/1969;0000;26.2;25.8;;1012.6;;;6;
82807;10/06/1969;1200;23.6;23.4;;1013.2;;;6;
82807;10/06/1969;1800;28;25.2;;1012.6;;;8;
82807;11/06/1969;0000;24.2;23.8;;1010.6;;;8;
82807;11/06/1969;1200;23;23;;1011.9;;;9;
82807;11/06/1969;1800;28.2;24.8;;1012.6;;;7;
82807;12/06/1969;0000;23.8;23.4;;1010.6;;;7;
82807;12/06/1969;1200;22.2;22;;1013.2;;;9;
82807;12/06/1969;1800;28.8;25.2;;1013.2;;;3;
82807;13/06/1969;0000;24;23.6;;1010.6;;;3;
82807;13/06/1969;1200;22.4;22.2;;1013.1;;;7;
82807;13/06/1969;1800;25.4;24;;1011.1;;;8;
82807;14/06/1969;0000;24.2;24;;1006.8;;;3;
82807;14/06/1969;1200;22;22;;1011.2;;;4;
82807;14/06/1969;1800;30;25.4;;1010.6;;;8;
82807;15/06/1969;0000;25.2;24;;1007.9;;;3;
82807;15/06/1969;1200;22.4;22;;1011.9;;;8;
82807;15/06/1969;1800;26.4;24.8;;1010.6;;;7;
82807;16/06/1969;0000;25.4;24.6;;1010.6;;;4;
82807;16/06/1969;1200;23.4;23;;1013.2;;;8;
82807;16/06/1969;1800;30.6;25.6;;1010.6;;;7;
82807;17/06/1969;0000;24.6;23.8;;1011.9;;;9;
82807;17/06/1969;1200;22;21.4;;1013.2;;;9;
82807;17/06/1969;1800;23.8;23.4;;1010.6;;;9;
82807;18/06/1969;0000;23.4;22.8;;1011.9;;;9;
82807;18/06/1969;1200;21.8;21.6;;1014.8;;;9;
82807;18/06/1969;1800;27.8;23.8;;1015.2;;;7;
82807;19/06/1969;0000;22.2;21.8;;1012.4;;;5;
82807;19/06/1969;1200;18.4;17.6;;1017.6;;;4;
82807;19/06/1969;1800;25.2;20.8;;1016;;;6;
82807;20/06/1969;0000;21.8;20;;1013.4;;;6;
82807;20/06/1969;1200;21;19.4;;1017.8;;;5;
82807;20/06/1969;1800;26.8;22;;1016.2;;;3;
82807;21/06/1969;0000;22.6;21.2;;1015.4;;;3;
82807;21/06/1969;1200;21;19.6;;1017.4;;;2;
82807;21/06/1969;1800;26.9;21.8;;1016.9;;;2;
82807;22/06/1969;0000;21.4;21;;1017.6;;;7;
82807;22/06/1969;1200;21.8;20.4;;1016;;;3;
82807;22/06/1969;1800;27.6;22.6;;1014.6;;;4;
82807;23/06/1969;0000;21.6;21.2;;1011.2;;;2;
82807;23/06/1969;1200;18;17.8;;1012.7;;;2;
82807;23/06/1969;1800;28.4;22.8;;1011.5;;;6;
82807;24/06/1969;0000;21.8;21;;1010;;;2;
82807;24/06/1969;1200;21.2;21;;1013.1;;;2;
82807;24/06/1969;1800;28.8;24;;1011.6;;;7;
82807;25/06/1969;0000;23;22.6;;1008.4;;;1;
82807;25/06/1969;1200;20.6;20.4;;1013.1;;;4;
82807;25/06/1969;1800;29.8;24;;1011.6;;;5;
82807;26/06/1969;0000;23.4;22.8;;1007.1;;;1;
82807;26/06/1969;1200;22.4;21.6;;1011.6;;;4;
82807;26/06/1969;1800;31.4;24.6;;1010.2;;;4;
82807;27/06/1969;0000;23.8;22.4;;1007.1;;;4;
82807;27/06/1969;1200;22.8;21.8;;1011.5;;;2;
82807;27/06/1969;1800;30.4;25;;1008.8;;;8;
82807;28/06/1969;0000;25;24;;1007.1;;;6;
82807;28/06/1969;1200;22.6;22;;1010;;;8;
82807;28/06/1969;1800;30.2;25.8;;1009.2;;;8;
82807;29/06/1969;0000;25.2;24.6;;1007.2;;;2;
82807;29/06/1969;1200;23.6;23.2;;1009.9;;;7;
82807;29/06/1969;1800;28;24.6;;1013.2;;;8;
82807;30/06/1969;0000;24.4;23.8;;1014.6;;;5;
82807;30/06/1969;1200;22;21.8;;1013.2;;;5;
82807;30/06/1969;1800;26.6;24;;1013.9;;;8;
82807;01/07/1969;0000;24;22.8;;1017.2;;;4;
82807;01/07/1969;1200;19.4;18.4;;1016.4;;;9;
82807;01/07/1969;1800;22.2;20;;1018;;;9;
82807;02/07/1969;0000;21;20.2;;1013.2;;;9;
82807;02/07/1969;1200;22.6;22;;1013;;;8;
82807;02/07/1969;1800;27.6;23;;1013.2;;;8;
82807;03/07/1969;0000;22.8;22.6;;1010.3;;;4;
82807;03/07/1969;1200;20;19.6;;1013.2;;;9;
82807;03/07/1969;1800;30.2;24.8;;1010.3;;;6;
82807;04/07/1969;0000;23.6;23;;1007.4;;;5;
82807;04/07/1969;1200;20.5;20;;1011.6;;;5;
82807;04/07/1969;1800;30.2;24.8;;1010.2;;;7;
82807;05/07/1969;0000;24.4;24;;1008.6;;;2;
82807;05/07/1969;1200;22;21.8;;1010.3;;;5;
82807;05/07/1969;1800;31.6;25.6;;1008.6;;;6;
82807;06/07/1969;0000;24.8;24;;1005.8;;;2;
82807;06/07/1969;1200;21.2;21.2;;1013.1;;;1;
82807;06/07/1969;1800;31.8;25.4;;1007.4;;;6;
82807;07/07/1969;0000;25.2;24.2;;1009.9;;;5;
82807;07/07/1969;1200;22.8;22.6;;1011.5;;;8;
82807;07/07/1969;1800;31;25.2;;1010.3;;;6;
82807;08/07/1969;0000;24;23.4;;1007.4;;;1;
82807;08/07/1969;1200;22.4;22.4;;1014.4;;;8;
82807;08/07/1969;1800;25;23.2;;1011.6;;;9;
82807;09/07/1969;0000;20;19.6;;1013.4;;;1;
82807;09/07/1969;1200;13.2;12.4;;1020.6;;;1;
82807;09/07/1969;1800;14.4;12.4;;1017.8;;;1;
82807;10/07/1969;0000;13.8;12.4;;1016.2;;;1;
82807;10/07/1969;1200;12;10;;1020.7;;;4;
82807;10/07/1969;1800;17.8;13.8;;1019.1;;;8;
82807;11/07/1969;0000;14.2;13.4;;1022.2;;;2;
82807;11/07/1969;1200;12.2;11.4;;1018.6;;;4;
82807;11/07/1969;1800;23.4;17.4;;1017.8;;;1;
82807;12/07/1969;0000;17.4;16.8;;1014.8;;;2;
82807;12/07/1969;1200;14.8;14.6;;1016.4;;;4;
82807;12/07/1969;1800;26.4;20.6;;1014.8;;;5;
82807;13/07/1969;0000;21;20.1;;1015.1;;;3;
82807;13/07/1969;1200;18.4;18;;1016.4;;;8;
