<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82816</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : St  MARIA DA BOCA DO ACRE - AM (OMM: 82816)
Latitude  (graus) : -8.71
Longitude (graus) : -67.38
Altitude  (metros): 115.00
Esta��o Fechada
Inicio de opera��o: 01/01/1923
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82816;01/01/1961;1200;;;;;0;0;10;
82816;01/01/1961;1800;;;;;36;1;10;
82816;02/01/1961;0000;;;;;0;0;10;
82816;02/01/1961;1200;;;;;9;2;10;
82816;02/01/1961;1800;;;;;0;0;10;
82816;03/01/1961;0000;;;;;0;0;10;
82816;03/01/1961;1200;;;;;0;0;0;
82816;03/01/1961;1800;;;;;0;0;3;
82816;04/01/1961;0000;;;;;0;0;0;
82816;04/01/1961;1200;;;;;36;2;2;
82816;04/01/1961;1800;;;;;0;0;8;
82816;05/01/1961;0000;;;;;0;0;0;
82816;05/01/1961;1200;;;;;36;2;6;
82816;05/01/1961;1800;;;;;36;3;6;
82816;06/01/1961;0000;;;;;0;0;0;
82816;06/01/1961;1200;;;;;9;2;1;
82816;06/01/1961;1800;;;;;36;1;8;
82816;07/01/1961;0000;;;;;0;0;10;
82816;07/01/1961;1200;;;;;36;1;10;
82816;07/01/1961;1800;;;;;0;0;10;
82816;08/01/1961;0000;;;;;0;0;10;
82816;08/01/1961;1200;;;;;0;0;2;
82816;08/01/1961;1800;;;;;0;0;5;
82816;09/01/1961;0000;;;;;0;0;8;
82816;09/01/1961;1200;;;;;0;0;10;
82816;09/01/1961;1800;;;;;36;2;10;
82816;10/01/1961;0000;;;;;0;0;10;
82816;10/01/1961;1200;;;;;0;0;8;
82816;10/01/1961;1800;;;;;0;0;7;
82816;11/01/1961;0000;;;;;0;0;3;
82816;11/01/1961;1200;;;;;14;2;10;
82816;11/01/1961;1800;;;;;0;0;2;
82816;12/01/1961;0000;;;;;0;0;6;
82816;12/01/1961;1200;;;;;5;2;10;
82816;12/01/1961;1800;;;;;14;1;10;
