<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82824</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : PORTO VELHO - AEROPORTO - RO (OMM: 82824)
Latitude  (graus) : -8.71
Longitude (graus) : -63.9
Altitude  (metros): 88.00
Esta��o Operante
Inicio de opera��o: 00/00/0000
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82824;01/01/2015;0000;24.8;;96;;0;0;5;
82824;01/01/2015;0600;24.6;;95;;4;4.11552;6.25;
82824;01/01/2015;1200;24.5;;95;;36;2.05776;10;
82824;01/01/2015;1800;29.9;;73;;34;3.08664;7.5;
82824;02/01/2015;0000;26.8;;88;;0;0;5;
82824;02/01/2015;0600;23.2;;99;;0;0;7.5;
82824;02/01/2015;1200;24.2;;97;;8;2.05776;5;
82824;02/01/2015;1800;29.9;;71;;32;3.60108;6.25;
82824;03/01/2015;0000;24.8;;97;;26;1.02888;7.5;
82824;03/01/2015;0600;23.9;;99;;0;0;6.25;
82824;03/01/2015;1200;25.8;;87;;0;0;7.5;
82824;03/01/2015;1800;31.3;;58;;0;0;7.5;
82824;04/01/2015;0000;25.1;;93;;0;0;2.5;
82824;04/01/2015;0600;23.9;;98;;0;0;3.75;
82824;04/01/2015;1200;26.1;;89;;21;1.02888;2.5;
82824;04/01/2015;1800;28.6;;63;;14;3.60108;5;
82824;05/01/2015;0000;25;;95;;0;0;2.5;
82824;05/01/2015;0600;23.6;;99;;0;0;5;
82824;05/01/2015;1200;24.9;;92;;7;1.02888;6.25;
82824;05/01/2015;1800;31;;61;;2;3.08664;7.5;
82824;06/01/2015;0000;24.6;;94;;0;0;5;
82824;06/01/2015;0600;24.9;;97;;5;3.60108;6.25;
82824;06/01/2015;1200;24.1;;93;;35;1.54332;7.5;
82824;06/01/2015;1800;27.2;;78;;35;2.05776;6.25;
82824;07/01/2015;0000;24.5;;94;;27;0.51444;3.75;
82824;07/01/2015;0600;23.4;;99;;0;0;8.75;
82824;07/01/2015;1200;;;99;;31;1.54332;7.5;
