<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82861</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CONCEICAO DO ARAGUAIA - PA (OMM: 82861)
Latitude  (graus) : -8.26
Longitude (graus) : -49.26
Altitude  (metros): 156.85
Esta��o Operante
Inicio de opera��o: 19/03/1920
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82861;01/01/1961;0000;25.6;;;990;;0;0.4;
82861;01/01/1961;1200;29.1;25.3;72;991.1;0;;0;
82861;01/01/1961;1800;28.2;24.9;75;989.8;0;0;0.8;
82861;02/01/1961;0000;25.2;23.1;83;991.4;0;0;1;
82861;02/01/1961;1200;28;24.7;75;992.7;0;;0.4;
82861;02/01/1961;1800;31.7;25.7;60;989.5;0;0;1;
82861;03/01/1961;0000;22.8;22.5;98;991.8;0;0;1;
82861;03/01/1961;1200;22.4;22.3;99;994.6;0;;1;
82861;03/01/1961;1800;28.4;25.1;76;988.6;0;0;0.5;
82861;04/01/1961;0000;22.8;22.3;96;991.9;0;0;1;
82861;04/01/1961;1200;23;22.1;92;993.2;0;;0.9;
82861;04/01/1961;1800;28.8;24.9;71;990;0;0;0.7;
82861;05/01/1961;0000;24.6;23.3;89;991.1;0;0;0.8;
82861;05/01/1961;1200;23;21.9;90;993.2;0;;1;
82861;05/01/1961;1800;27.6;24.1;74;988.8;0;0;0.5;
82861;06/01/1961;0000;24.4;23.3;91;989.1;0;0;0;
82861;06/01/1961;1200;25.4;24.1;90;992.4;0;;1;
82861;06/01/1961;1800;29.3;25.9;75;988.7;0;0;0.7;
82861;07/01/1961;0000;24.4;23.9;96;990.2;0;0;0;
82861;07/01/1961;1200;26.8;24.7;84;993;0;;0.7;
82861;07/01/1961;1800;31.3;26.3;66;988.3;0;0;0.9;
82861;08/01/1961;0000;23.6;22.9;94;991.8;0;0;0;
82861;08/01/1961;1200;26;24.7;90;991.6;0;;0.9;
82861;08/01/1961;1800;23.6;22.9;94;989.1;0;0;0;
