<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82879</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : SAO JOAO DO PIAUI - PI (OMM: 82879)
Latitude  (graus) : -8.35
Longitude (graus) : -42.25
Altitude  (metros): 235.33
Esta��o Operante
Inicio de opera��o: 30/09/1975
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82879;01/10/1975;1200;29.4;20.7;45;;0;0;0;
82879;01/10/1975;1800;35.4;20.1;23;;14;3.3;0;
82879;02/10/1975;0000;25.5;16.2;38;;14;1.6;0;
82879;02/10/1975;1200;29.1;19.1;38;;9;4.3;0;
82879;02/10/1975;1800;35.8;20.4;23;;18;3.3;1;
82879;03/10/1975;0000;29.6;16.8;26;;14;3.6;0;
82879;03/10/1975;1200;29.4;20.6;44;;14;4.3;1;
82879;03/10/1975;1800;35.2;20.4;25;;14;1.3;5;
82879;04/10/1975;0000;26.3;17.7;42;;0;0;10;
82879;04/10/1975;1200;30.4;20;37;;5;5;0;
82879;04/10/1975;1800;36.8;21;23;;18;1.6;6;
82879;05/10/1975;0000;28.8;18.2;35;;0;0;0;
82879;05/10/1975;1200;30;21.6;48;;9;3;5;
82879;05/10/1975;1800;36.3;22.1;28;;18;1.6;4;
82879;06/10/1975;0000;27.6;18.6;42;;0;0;0;
82879;06/10/1975;1200;30.6;22.4;50;;9;6.3;4;
82879;06/10/1975;1800;36.2;22.8;31;;9;1.3;5;
82879;07/10/1975;0000;28.2;18.6;39;;14;1.6;0;
82879;07/10/1975;1200;29.2;22.2;54;;5;4.6;1;
82879;07/10/1975;1800;36.8;22;27;;14;3.3;7;
82879;08/10/1975;0000;28.6;18.6;38;;9;1.6;0;
82879;08/10/1975;1200;29.8;22;51;;5;5.8;8;
82879;08/10/1975;1800;36;21.6;27;;5;1.6;6;
82879;09/10/1975;0000;28.2;18.8;40;;0;0;10;
82879;09/10/1975;1200;27.8;22;61;;5;1.6;9;
82879;09/10/1975;1800;35.8;22;29;;5;2;5;
82879;10/10/1975;0000;29;18.4;35;;0;0;3;
82879;10/10/1975;1200;30;22;50;;14;3.3;5;
82879;10/10/1975;1800;36;22;29;;14;1.6;5;
82879;11/10/1975;0000;27.8;19.6;47;;0;0;8;
82879;11/10/1975;1200;31.2;22;44;;5;3.6;4;
82879;11/10/1975;1800;36.4;22;27;;5;3;4;
82879;12/10/1975;0000;28.2;19.4;43;;0;0;0;
82879;12/10/1975;1200;31.4;20.4;36;;36;5;1;
82879;12/10/1975;1800;36.6;21.4;25;;5;3.6;5;
82879;13/10/1975;0000;30.4;22.2;49;;27;3.3;10;
82879;13/10/1975;1200;28;21.9;59;;5;2.6;10;
82879;13/10/1975;1800;33.6;22.4;38;;36;1.1;9;
82879;14/10/1975;0000;27.8;21;55;;18;3;10;
82879;14/10/1975;1200;31;25;61;;14;4.1;5;
82879;14/10/1975;1800;36.8;23;31;;14;3.3;5;
82879;15/10/1975;0000;29;19;38;;14;1.3;0;
82879;15/10/1975;1200;31.6;22.2;44;;9;5.8;0;
82879;15/10/1975;1800;37.6;26.6;43;;9;5;7;
82879;16/10/1975;0000;28;17.6;35;;14;1.6;0;
82879;16/10/1975;1200;31.6;21.4;41;;14;3.3;1;
82879;16/10/1975;1800;37.6;22.2;26;;5;1.6;5;
82879;17/10/1975;0000;29;20;43;;14;0.8;1;
82879;17/10/1975;1200;29.2;22;53;;32;3;10;
82879;17/10/1975;1800;35;22.6;34;;36;2.8;9;
82879;18/10/1975;0000;29.2;21.8;52;;27;2;10;
82879;18/10/1975;1200;28;22;59;;5;1.3;9;
82879;18/10/1975;1800;35.2;23.4;37;;5;3.3;8;
82879;19/10/1975;0000;28;22;59;;0;0;1;
82879;19/10/1975;1200;29;22.4;57;;27;1.3;7;
82879;19/10/1975;1800;29.8;23;56;;27;3;7;
82879;20/10/1975;0000;25.8;22;72;;0;0;10;
82879;20/10/1975;1200;28.3;23.1;64;;36;2.8;9;
82879;20/10/1975;1800;33.8;23.4;42;;32;3;5;
82879;21/10/1975;0000;27.6;22;62;;0;0;4;
82879;21/10/1975;1200;28.4;23;63;;36;1.6;7;
82879;21/10/1975;1800;34.2;23.2;39;;36;2.3;9;
82879;22/10/1975;0000;26.8;22.4;69;;18;1.6;10;
82879;22/10/1975;1200;28;23;65;;9;2.5;8;
82879;22/10/1975;1800;34.3;23.4;39;;36;4.6;8;
82879;23/10/1975;0000;25;23;84;;5;1.3;10;
82879;23/10/1975;1200;26.2;23.8;82;;5;3;5;
82879;23/10/1975;1800;34.2;23.2;39;;0;0;5;
82879;24/10/1975;0000;25.8;22.8;78;;5;1.6;5;
