<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82890</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : ARCOVERDE - PE (OMM: 82890)
Latitude  (graus) : -8.41
Longitude (graus) : -37.08
Altitude  (metros): 680.70
Esta��o Operante
Inicio de opera��o: 01/02/1973
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82890;01/02/1973;1200;27.3;20.5;55;;14;3.5;1;
82890;01/02/1973;1800;31.9;20.4;36;;18;3.1;6;
82890;02/02/1973;0000;24.6;21.1;75;;9;5.8;0;
82890;02/02/1973;1200;27;21.1;60;;5;3.6;3;
82890;02/02/1973;1800;33.1;20.2;31;;14;2.5;7;
82890;03/02/1973;0000;25.1;21;70;;14;4.6;0;
82890;03/02/1973;1200;27.3;20.5;55;;14;3.5;1;
82890;03/02/1973;1800;33.1;19.5;28;;18;4.8;8;
82890;04/02/1973;0000;24.1;20.4;73;;14;4;0;
82890;04/02/1973;1200;26.1;19.9;57;;9;3.8;8;
82890;04/02/1973;1800;30.5;21.4;45;;18;5.1;9;
82890;05/02/1973;0000;24.3;20.8;74;;14;3;0;
82890;05/02/1973;1200;26.7;21;61;;18;4.1;5;
82890;05/02/1973;1800;31.7;20.6;37;;9;4.8;8;
82890;06/02/1973;0000;24.3;20.6;73;;14;5.3;0;
82890;06/02/1973;1200;23.9;19.8;70;;18;2.8;9;
82890;06/02/1973;1800;29.7;19.4;39;;18;4.8;10;
82890;07/02/1973;0000;24.6;18.4;56;;14;1.8;0;
82890;07/02/1973;1200;25.2;20.7;68;;18;3;8;
82890;07/02/1973;1800;33.7;21.4;34;;23;4.8;9;
82890;08/02/1973;0000;26.1;21.8;70;;14;4.6;9;
82890;08/02/1973;1200;25.9;21.2;67;;9;4.5;10;
82890;08/02/1973;1800;29.6;21;48;;9;3.1;9;
82890;09/02/1973;0000;24.5;21.6;77;;14;5.6;8;
82890;09/02/1973;1200;26.9;21;60;;14;4;7;
82890;09/02/1973;1800;32.3;21.8;40;;9;5.3;10;
82890;10/02/1973;0000;24.2;21;75;;14;3.5;7;
82890;10/02/1973;1200;26.1;20.7;63;;18;3.1;7;
82890;10/02/1973;1800;32.8;21.4;37;;14;4.1;7;
82890;11/02/1973;0000;25.7;21.4;70;;14;4;0;
82890;11/02/1973;1200;26.9;21.2;61;;14;2.5;4;
82890;11/02/1973;1800;34.5;20.4;27;;14;2.3;8;
82890;12/02/1973;0000;27.3;21;58;;9;3;8;
82890;12/02/1973;1200;26.9;20.2;55;;9;3.1;8;
82890;12/02/1973;1800;32.9;20.4;32;;14;3.3;10;
82890;13/02/1973;0000;25.1;20.9;70;;9;7;9;
82890;13/02/1973;1200;26.1;20.2;59;;9;4.1;8;
82890;13/02/1973;1800;31.8;20.8;38;;14;4.6;9;
82890;14/02/1973;0000;24.6;19.7;65;;14;5.3;5;
82890;14/02/1973;1200;27.2;21;58;;18;4.8;8;
82890;14/02/1973;1800;32.9;21.2;36;;18;4.5;6;
82890;15/02/1973;0000;24.9;20.6;69;;14;4.1;6;
82890;15/02/1973;1200;26.5;20;55;;14;6.5;9;
82890;15/02/1973;1800;31.3;19.3;32;;0;0;9;
82890;16/02/1973;0000;24.5;20.2;68;;14;6.1;0;
82890;16/02/1973;1200;27.2;19.4;49;;9;4.6;1;
82890;16/02/1973;1800;31.9;18.5;27;;18;0;7;
82890;17/02/1973;0000;25.1;18.7;55;;14;6.3;0;
82890;17/02/1973;1200;25.3;19.6;60;;18;4.1;4;
82890;17/02/1973;1800;32.1;18.8;28;;27;3;5;
82890;18/02/1973;0000;25.1;20.4;66;;14;4.8;0;
82890;18/02/1973;1200;27.7;19.6;48;;5;2.1;2;
82890;18/02/1973;1800;32.8;19.7;30;;5;1.5;8;
