<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82892</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : PESQUEIRA - PE (OMM: 82892)
Latitude  (graus) : -8.4
Longitude (graus) : -36.76
Altitude  (metros): 639.00
Esta��o Operante
Inicio de opera��o: 01/09/1911
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82892;01/01/1961;1200;26.2;19.7;53;932.6;5;5;1;
82892;01/01/1961;1800;30.6;20.4;37;929.6;0;0;4;
82892;02/01/1961;0000;22;19.4;77;932.3;5;7;8;
82892;02/01/1961;1200;25.4;19.3;55;933.4;5;1;0;
82892;02/01/1961;1800;33.1;19.3;23;929.8;14;1;2;
82892;03/01/1961;0000;22.4;20.1;80;932.3;9;5;6;
82892;03/01/1961;1200;26.4;19.7;52;933.2;36;5;1;
82892;03/01/1961;1800;32.8;21.2;33;929.6;5;4;6;
82892;04/01/1961;0000;24.2;20.4;70;931.5;5;3;1;
82892;04/01/1961;1200;26.7;20.3;54;933.1;36;3;6;
82892;04/01/1961;1800;32.2;20.8;33;929.5;5;1;7;
82892;05/01/1961;0000;23.4;20.3;74;931.6;5;5;5;
82892;05/01/1961;1200;25.4;20;60;932;5;4;4;
82892;05/01/1961;1800;32.9;21.5;34;928.6;9;3;8;
82892;06/01/1961;0000;22.2;19.6;78;931.4;9;3;8;
82892;06/01/1961;1200;26;20.2;58;932.4;5;5;1;
82892;06/01/1961;1800;32.2;21.2;35;930.7;9;4;6;
82892;07/01/1961;0000;22.6;19.9;77;932.2;5;7;5;
82892;07/01/1961;1200;26;20.6;61;932.6;5;7;4;
82892;07/01/1961;1800;31.6;21.8;41;929.5;5;5;10;
82892;08/01/1961;0000;23.8;19.6;67;931.6;5;3;5;
82892;08/01/1961;1200;26;20.6;61;933;5;5;8;
82892;08/01/1961;1800;29.7;21.4;46;929.8;5;5;10;
82892;09/01/1961;0000;22.5;19.5;74;931.5;9;3;4;
