<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82899</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : RECIFE - AEROPORTO - PE (OMM: 82899)
Latitude  (graus) : -8.12
Longitude (graus) : -34.92
Altitude  (metros): 10.00
Esta��o Operante
Inicio de opera��o: 00/00/0000
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82899;01/01/2015;0000;27;;75;;10;3.60108;7.5;
82899;01/01/2015;0600;26.1;;76;;13;4.11552;3.75;
82899;01/01/2015;1200;28.2;;75;;34;1.54332;8.75;
82899;01/01/2015;1800;24.8;;91;;13;5.65884;10;
82899;02/01/2015;0000;25.5;;87;;19;2.05776;10;
82899;02/01/2015;0600;23.9;;96;;23;1.54332;10;
82899;02/01/2015;1200;28.3;;73;;12;6.17328;3.75;
82899;02/01/2015;1800;28.2;;71;;12;5.65884;6.25;
82899;03/01/2015;0000;26.6;;77;;11;3.60108;6.25;
82899;03/01/2015;0600;24.4;;84;;18;1.02888;3.75;
82899;03/01/2015;1200;28.7;;65;;12;4.11552;5;
82899;03/01/2015;1800;29.1;;63;;12;5.65884;1.25;
82899;04/01/2015;0000;26.5;;70;;10;4.11552;3.75;
82899;04/01/2015;0600;25;;76;;7;2.05776;3.75;
82899;04/01/2015;1200;28.4;;64;;3;3.60108;6.25;
82899;04/01/2015;1800;29.4;;59;;7;4.62996;3.75;
82899;05/01/2015;0000;26.7;;71;;7;3.60108;5;
82899;05/01/2015;0600;26.4;;77;;2;2.5722;5;
82899;05/01/2015;1200;28.5;;67;;3;4.62996;5;
82899;05/01/2015;1800;29.4;;62;;4;4.11552;7.5;
82899;06/01/2015;0000;27.1;;77;;7;3.60108;5;
82899;06/01/2015;0600;26.4;;78;;10;3.60108;5;
82899;06/01/2015;1200;28.4;;72;;10;5.1444;5;
82899;06/01/2015;1800;29.1;;67;;11;6.17328;1.25;
82899;07/01/2015;0000;26.8;;78;;12;3.60108;5;
82899;07/01/2015;0600;26.4;;75;;10;4.11552;3.75;
82899;07/01/2015;1200;28.5;;66;;8;4.62996;5;
82899;07/01/2015;1800;28.5;;66;;10;4.11552;6.25;
82899;08/01/2015;0000;26.7;;77;;12;4.11552;5;
82899;08/01/2015;0600;26;;75;;11;5.1444;2.5;
82899;08/01/2015;1200;29;;65;;11;5.1444;7.5;
82899;08/01/2015;1800;29.1;;63;;9;5.65884;2.5;
82899;09/01/2015;0600;26.1;;79;;12;2.05776;5;
82899;09/01/2015;1200;28.7;;69;;11;6.17328;3.75;
82899;09/01/2015;1800;29.3;;62;;12;5.65884;1.25;
82899;10/01/2015;0000;26.4;;72;;14;5.1444;2.5;
82899;10/01/2015;0600;25;;81;;13;4.11552;3.75;
82899;10/01/2015;1200;28.6;;71;;11;4.62996;7.5;
82899;10/01/2015;1800;26.1;;88;;13;5.65884;6.25;
82899;11/01/2015;0000;26.4;;83;;14;4.11552;7.5;
82899;11/01/2015;0600;26;;80;;13;3.08664;3.75;
82899;11/01/2015;1200;27.2;;78;;10;3.60108;7.5;
82899;11/01/2015;1800;28.7;;72;;12;5.65884;7.5;
82899;12/01/2015;0000;26.8;;79;;12;4.11552;5;
82899;12/01/2015;0600;25.7;;86;;11;4.62996;8.75;
82899;12/01/2015;1200;28.5;;71;;11;6.68772;6.25;
82899;12/01/2015;1800;28.6;;70;;13;6.17328;6.25;
82899;13/01/2015;0000;26.8;;77;;13;4.11552;3.75;
82899;13/01/2015;0600;26.3;;75;;13;5.65884;3.75;
82899;13/01/2015;1200;28;;71;;12;6.17328;6.25;
82899;13/01/2015;1800;28.4;;69;;13;4.62996;5;
82899;14/01/2015;0000;26.7;;73;;13;4.62996;2.5;
82899;14/01/2015;0600;26.1;;73;;11;4.11552;3.75;
82899;14/01/2015;1200;29;;66;;15;5.65884;5;
82899;14/01/2015;1800;29.4;;64;;14;6.68772;3.75;
82899;15/01/2015;0000;26.4;;72;;15;5.1444;1.25;
82899;15/01/2015;0600;24.7;;81;;21;2.05776;6.25;
82899;15/01/2015;1200;29.3;;62;;10;5.65884;3.75;
82899;15/01/2015;1800;29.4;;62;;13;5.1444;1.25;
82899;16/01/2015;0000;26.4;;74;;12;2.5722;2.5;
82899;16/01/2015;0600;25;;81;;12;2.5722;3.75;
82899;16/01/2015;1200;28.9;;65;;12;4.11552;3.75;
82899;16/01/2015;1800;28.8;;67;;11;4.62996;3.75;
82899;17/01/2015;0000;27;;75;;10;4.11552;3.75;
82899;17/01/2015;0600;26.2;;78;;14;4.62996;1.25;
82899;17/01/2015;1200;30;;66;;14;4.62996;5;
82899;17/01/2015;1800;29.1;;70;;12;6.17328;2.5;
82899;18/01/2015;0000;27.2;;78;;10;4.62996;7.5;
82899;18/01/2015;0600;26.5;;69;;11;5.65884;3.75;
82899;18/01/2015;1200;28.6;;67;;12;4.62996;3.75;
82899;18/01/2015;1800;28.9;;67;;11;5.1444;3.75;
82899;19/01/2015;0000;27.2;;74;;13;3.08664;5;
82899;19/01/2015;0600;26;;81;;13;3.08664;3.75;
82899;19/01/2015;1200;28.9;;72;;10;4.62996;5;
82899;19/01/2015;1800;29.8;;66;;10;4.11552;5;
82899;20/01/2015;0000;27.1;;76;;8;3.60108;5;
82899;20/01/2015;0600;25.9;;78;;10;2.05776;6.25;
82899;20/01/2015;1200;29.2;;67;;13;4.62996;6.25;
82899;20/01/2015;1800;29.3;;68;;11;4.62996;2.5;
82899;21/01/2015;0000;27.2;;78;;9;3.60108;3.75;
82899;21/01/2015;0600;26.6;;80;;11;3.60108;3.75;
82899;21/01/2015;1200;28.5;;74;;11;5.1444;6.25;
82899;21/01/2015;1800;28.9;;67;;8;4.62996;5;
82899;22/01/2015;0000;27.1;;76;;7;3.60108;5;
82899;22/01/2015;0600;26.6;;75;;7;3.08664;5;
82899;22/01/2015;1200;28.6;;66;;8;3.08664;6.25;
82899;22/01/2015;1800;28.7;;67;;11;4.11552;5;
82899;23/01/2015;0000;27.4;;72;;12;4.11552;6.25;
82899;23/01/2015;0600;26.5;;75;;11;2.5722;6.25;
82899;23/01/2015;1200;29.8;;62;;9;3.60108;5;
82899;23/01/2015;1800;29.6;;64;;14;4.11552;6.25;
82899;24/01/2015;0000;26.9;;84;;15;6.17328;6.25;
82899;24/01/2015;0600;26.7;;81;;6;2.5722;6.25;
82899;24/01/2015;1200;;;92;;29;2.05776;8.75;
82899;24/01/2015;1800;28.8;;71;;8;4.62996;5;
82899;25/01/2015;0000;27.3;;76;;10;4.11552;5;
82899;25/01/2015;0600;26;;81;;12;3.60108;2.5;
82899;25/01/2015;1200;29.7;;64;;11;4.11552;3.75;
82899;25/01/2015;1800;28.8;;69;;9;4.62996;6.25;
82899;26/01/2015;0000;26.7;;76;;13;4.11552;3.75;
82899;26/01/2015;0600;26.3;;74;;13;4.11552;3.75;
82899;26/01/2015;1200;29.5;;62;;13;4.11552;3.75;
82899;26/01/2015;1800;29.4;;63;;11;5.65884;0;
82899;27/01/2015;0000;26.9;;74;;9;4.62996;3.75;
82899;27/01/2015;0600;26.2;;72;;11;3.08664;2.5;
82899;27/01/2015;1200;29.4;;60;;12;4.62996;5;
82899;27/01/2015;1800;29.3;;62;;14;5.1444;5;
82899;28/01/2015;0000;26.7;;73;;13;3.60108;3.75;
82899;28/01/2015;0600;26;;70;;12;2.5722;3.75;
82899;28/01/2015;1200;27;;72;;12;4.11552;7.5;
82899;28/01/2015;1800;29.6;;60;;13;4.11552;1.25;
82899;29/01/2015;0000;27.1;;71;;12;4.11552;5;
82899;29/01/2015;0600;24.6;;88;;23;2.5722;6.25;
82899;29/01/2015;1200;27;;82;;9;3.08664;7.5;
82899;29/01/2015;1800;29.8;;65;;7;3.08664;5;
82899;30/01/2015;0000;24.6;;93;;33;1.54332;8.75;
82899;30/01/2015;0600;26.4;;81;;8;2.5722;5;
82899;30/01/2015;1200;29.1;;68;;8;2.5722;5;
82899;30/01/2015;1800;30;;64;;11;4.11552;1.25;
82899;31/01/2015;0000;27.3;;78;;9;2.5722;5;
82899;31/01/2015;0600;26.4;;83;;8;3.08664;6.25;
82899;31/01/2015;1200;28.6;;74;;13;4.62996;7.5;
82899;31/01/2015;1800;29.5;;69;;14;5.65884;5;
82899;01/02/2015;0000;26.9;;;;13;3.08664;7.5;
82899;01/02/2015;0600;26.6;;;;13;5.1444;3.75;
82899;01/02/2015;1200;28.9;;;;12;5.65884;7.5;
82899;01/02/2015;1800;29.6;;;;14;5.65884;2.5;
82899;02/02/2015;0000;27.1;;;;13;3.60108;3.75;
82899;02/02/2015;0600;26.2;;;;15;5.1444;2.5;
82899;02/02/2015;1200;28;;;;14;5.1444;6.25;
82899;02/02/2015;1800;29.6;;68;;12;5.1444;3.75;
82899;03/02/2015;0000;27.5;;;;12;4.11552;6.25;
82899;03/02/2015;0600;26.8;;;;9;2.05776;5;
82899;03/02/2015;1200;29;;;;9;4.11552;6.25;
82899;03/02/2015;1800;29.9;;68;;7;4.62996;1.25;
82899;04/02/2015;0000;27.6;;;;9;3.08664;6.25;
82899;04/02/2015;0600;27.1;;;;8;4.11552;6.25;
82899;04/02/2015;1200;29.4;;;;10;4.11552;3.75;
82899;04/02/2015;1800;29.6;;68;;10;5.1444;5;
82899;05/02/2015;0000;27.6;;;;8;4.62996;3.75;
82899;05/02/2015;0600;27;;;;6;2.5722;5;
82899;05/02/2015;1200;28.6;;;;6;3.60108;8.75;
82899;05/02/2015;1800;29.6;;;;7;4.11552;6.25;
82899;06/02/2015;0000;27;;;;7;3.08664;5;
82899;06/02/2015;0600;26.8;;;;6;2.5722;5;
82899;06/02/2015;1200;29.8;;68;;6;3.60108;7.5;
82899;06/02/2015;1800;29.6;;;;9;4.11552;5;
82899;07/02/2015;0000;27.6;;;;8;3.08664;6.25;
82899;07/02/2015;0600;26.8;;;;8;2.05776;5;
82899;07/02/2015;1200;29.4;;;;7;4.11552;3.75;
82899;07/02/2015;1800;30.1;;;;11;4.11552;2.5;
82899;08/02/2015;0000;27.5;;;;11;3.60108;3.75;
82899;08/02/2015;0600;26.8;;;;12;3.60108;1.25;
