<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82915</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : RIO BRANCO - AC (OMM: 82915)
Latitude  (graus) : -9.96
Longitude (graus) : -67.8
Altitude  (metros): 160.00
Esta��o Operante
Inicio de opera��o: 01/01/1929
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82915;01/06/1969;1200;25.2;24;90;999.9;0;0;6;
82915;01/06/1969;1800;34;26.6;54;1000.2;0;0;6;
82915;02/06/1969;0000;30.8;;92;999.2;0;0;7;
82915;02/06/1969;1200;23.2;22.4;93;999.9;0;0;4;
82915;02/06/1969;1800;32;28;73;999.2;0;0;6;
82915;03/06/1969;0000;25.6;24.6;83;997.4;0;0;6;
82915;03/06/1969;1200;23.6;23;95;1001.2;0;0;4;
82915;03/06/1969;1800;27.2;25;83;999.9;23;10;4;
82915;04/06/1969;0000;27.4;25.2;88;997.2;23;0;5;
82915;04/06/1969;1200;19.8;18.2;84;1004.3;0;0;5;
82915;04/06/1969;1800;21.2;19.8;87;1002.6;23;5;7;
82915;05/06/1969;0000;24;22.6;91;999.1;23;10;7;
82915;05/06/1969;1200;18.4;17.6;92;1003.9;23;4;9;
82915;05/06/1969;1800;26.4;22.8;72;1001.9;0;0;9;
82915;06/06/1969;0000;19.6;18.6;91;1003;0;10;7;
82915;06/06/1969;1200;22.6;21.8;93;1002.3;0;0;7;
82915;06/06/1969;1800;28;24.2;72;1001.5;0;0;6;
82915;07/06/1969;0000;22.8;21.8;94;999.9;0;0;8;
82915;07/06/1969;1200;22.6;21.6;91;1002.6;0;0;7;
82915;07/06/1969;1800;32.2;26.2;61;1001.6;0;0;7;
82915;08/06/1969;0000;24.8;24;91;1000;0;0;8;
82915;08/06/1969;1200;23.4;22.8;94;1002.3;0;0;5;
82915;08/06/1969;1800;32.8;;92;1001.9;36;1;8;
82915;09/06/1969;0000;22.8;21.8;96;1002.7;36;0;8;
