<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82927</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : COTRIGUACU - MT (OMM: 82927)
Latitude  (graus) : -9.9
Longitude (graus) : -58.57
Altitude  (metros): 250.00
Esta��o Fechada
Inicio de opera��o: 01/06/1987
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82927;01/01/1988;1200;24.2;24;;;;;;
82927;01/01/1988;1800;31.2;26.8;;;;;;
82927;02/01/1988;0000;25.4;24.8;;;;;;
82927;02/01/1988;1200;25.8;24.4;;;;;;
82927;02/01/1988;1800;30;26;;;;;;
82927;03/01/1988;0000;25.6;25;;;;;;
82927;03/01/1988;1200;23.8;23.4;;;;;;
82927;03/01/1988;1800;28.7;25.6;;;;;;
82927;04/01/1988;0000;25.2;24.6;;;;;;
82927;04/01/1988;1200;24.2;23.6;;;;;;
82927;04/01/1988;1800;31.2;26.4;;;;;;
82927;05/01/1988;0000;24.4;24.2;;;;;;
82927;05/01/1988;1200;23.4;23.2;;;;;;
82927;05/01/1988;1800;25.6;23.2;;;;;;
82927;06/01/1988;0000;23.2;22.8;;;;;;
82927;06/01/1988;1200;23;22.6;;;;;;
82927;06/01/1988;1800;29.8;26.2;;;;;;
82927;07/01/1988;0000;25.6;24.6;;;;;;
82927;07/01/1988;1200;22.6;22.4;;;;;;
82927;07/01/1988;1800;29.4;26.2;;;;;;
82927;08/01/1988;0000;26;25.4;;;;;;
82927;08/01/1988;1200;23.8;23.6;;;;;;
82927;08/01/1988;1800;30.6;27.2;;;;;;
82927;09/01/1988;0000;25;24.5;;;;;;
82927;09/01/1988;1200;24.6;24.4;;;;;;
82927;09/01/1988;1800;28.4;26.4;;;;;;
82927;10/01/1988;0000;23.2;22.6;;;;;;
82927;10/01/1988;1200;23.6;23.4;;;;;;
82927;10/01/1988;1800;28.5;25.5;;;;;;
82927;11/01/1988;0000;24;23.6;;;;;;
82927;11/01/1988;1200;24;23.3;;;;;;
82927;11/01/1988;1800;27.6;25.2;;;;;;
82927;12/01/1988;0000;25;24.4;;;;;;
82927;12/01/1988;1200;23;22.8;;;;;;
82927;12/01/1988;1800;28.1;25.2;;;;;;
82927;13/01/1988;0000;25.4;24;;;;;;
82927;13/01/1988;1200;23.5;22.9;;;;;;
82927;13/01/1988;1800;29;25.7;;;;;;
82927;14/01/1988;0000;24.8;23.4;;;;;;
82927;14/01/1988;1200;24.6;24.2;;;;;;
82927;14/01/1988;1800;21.6;21;;;;;;
82927;15/01/1988;0000;21;21;;;;;;
82927;15/01/1988;1200;22.4;22.2;;;;;;
82927;15/01/1988;1800;30;26;;;;;;
82927;16/01/1988;0000;25.3;24.7;;;;;;
82927;16/01/1988;1200;24.5;23.7;;;;;;
82927;16/01/1988;1800;30.8;27;;;;;;
82927;17/01/1988;0000;26.4;25.2;;;;;;
82927;17/01/1988;1200;24.8;24;;;;;;
82927;17/01/1988;1800;21.4;20.8;;;;;;
82927;18/01/1988;0000;21;21;;;;;;
82927;18/01/1988;1200;22.1;22;;;;;;
82927;18/01/1988;1800;30.8;26.2;;;;;;
82927;19/01/1988;0000;25.4;24.4;;;;;;
82927;19/01/1988;1200;23.6;23.4;;;;;;
82927;19/01/1988;1800;28.8;26.2;;;;;;
82927;20/01/1988;0000;26;25.2;;;;;;
82927;20/01/1988;1200;23.6;23.2;;;;;;
82927;20/01/1988;1800;30.6;26.8;;;;;;
82927;21/01/1988;0000;26.4;25.7;;;;;;
82927;21/01/1988;1200;24.9;23.8;;;;;;
82927;21/01/1988;1800;30.7;26.2;;;;;;
82927;22/01/1988;0000;22.8;22.4;;;;;;
82927;22/01/1988;1200;22;21.9;;;;;;
82927;22/01/1988;1800;31;25.8;;;;;;
82927;23/01/1988;0000;25.6;24.3;;;;;;
82927;23/01/1988;1200;23.8;23.4;;;;;;
82927;23/01/1988;1800;31.6;26.8;;;;;;
82927;24/01/1988;0000;24;23.8;;;;;;
82927;24/01/1988;1200;21.4;21.2;;;;;;
82927;24/01/1988;1800;25.2;23.5;;;;;;
82927;25/01/1988;0000;23.4;23;;;;;;
82927;25/01/1988;1200;22;21.7;;;;;;
82927;25/01/1988;1800;30;25.8;;;;;;
82927;26/01/1988;0000;23.7;22;;;;;;
82927;26/01/1988;1200;23.2;22.8;;;;;;
82927;26/01/1988;1800;22.6;22;;;;;;
82927;27/01/1988;0000;22.2;22;;;;;;
82927;27/01/1988;1200;22.8;22.4;;;;;;
82927;27/01/1988;1800;29.6;26;;;;;;
82927;28/01/1988;0000;24.6;23.6;;;;;;
82927;28/01/1988;1200;23.6;23.6;;;;;;
82927;28/01/1988;1800;29.8;26.2;;;;;;
82927;29/01/1988;0000;25.4;24.8;;;;;;
82927;29/01/1988;1200;23.2;23;;;;;;
82927;29/01/1988;1800;31.8;26.4;;;;;;
82927;30/01/1988;0000;25.2;24.6;;;;;;
82927;30/01/1988;1200;23.8;23.6;;;;;;
82927;30/01/1988;1800;31.8;26.5;;;;;;
82927;31/01/1988;0000;24.6;24.2;;;;;;
82927;31/01/1988;1200;26.4;25;;;;;;
