<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82930</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CACHIMBO - PA (OMM: 82930)
Latitude  (graus) : -9.33
Longitude (graus) : -54.96
Altitude  (metros): 537.00
Esta��o Operante
Inicio de opera��o: 00/00/0000
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82930;01/01/2015;1200;25.4;;81;953.4;4;;0;
82930;01/01/2015;1800;;;52;949.7;1;;5;
82930;02/01/2015;1200;24.8;;79;954.1;27;;0;
82930;02/01/2015;1800;;;54;950.7;3;;7.5;
82930;03/01/2015;1200;26.7;;75;953.7;31;;5;
82930;03/01/2015;1800;27;;75;951.5;31;;6.25;
82930;04/01/2015;1200;22.4;;92;953.8;0;;5;
82930;04/01/2015;1800;25.1;;81;952.4;33;;6.25;
82930;05/01/2015;1200;23.7;;84;953.9;10;2.05776;10;
82930;05/01/2015;1800;;;64;950.9;7;1.54332;5;
82930;06/01/2015;1200;24.7;;85;954.5;34;2.05776;5;
82930;06/01/2015;1800;25.5;;81;951.5;12;1.54332;10;
82930;07/01/2015;1200;25.1;;80;954;30;2.05776;0;
82930;07/01/2015;1800;26.5;;76;949.6;14;;6.25;
82930;08/01/2015;1200;23.3;;80;953.2;8;;7.5;
82930;08/01/2015;1800;;;;949.5;11;;10;
82930;09/01/2015;1200;25.4;;78;954.3;12;;8.75;
82930;09/01/2015;1800;27.1;;78;950.1;29;1.54332;6.25;
82930;10/01/2015;1200;21;;98;954.9;21;2.05776;;
82930;10/01/2015;1800;;;63;951;7;;5;
82930;11/01/2015;1200;20.5;;97;954.6;24;;8.75;
82930;11/01/2015;1800;;;59;950.7;21;2.05776;1.25;
82930;12/01/2015;1200;22.3;;95;953.6;28;1.54332;7.5;
82930;12/01/2015;1800;;;58;950.4;14;;7.5;
82930;13/01/2015;1200;23.4;;77;954;20;;7.5;
82930;13/01/2015;1800;;;54;951.2;6;1.54332;6.25;
82930;14/01/2015;1200;24.4;;83;953.5;21;;7.5;
82930;14/01/2015;1800;;;62;950.9;9;1.54332;7.5;
82930;15/01/2015;1200;24.4;;80;954;2;;7.5;
82930;15/01/2015;1800;25.6;;76;950.7;28;;7.5;
82930;16/01/2015;1200;21.6;;92;954.6;4;;8.75;
82930;16/01/2015;1800;;;64;951.5;3;;7.5;
82930;17/01/2015;1200;22.6;;95;953.8;8;2.05776;7.5;
82930;17/01/2015;1800;23.8;;76;952.1;15;;7.5;
82930;18/01/2015;1200;24.3;;79;954.4;7;;3.75;
82930;18/01/2015;1800;;;53;950.5;15;;7.5;
82930;19/01/2015;1200;20.7;;94;954.4;15;2.05776;8.75;
82930;19/01/2015;1800;27.3;;65;951.3;35;1.54332;3.75;
82930;20/01/2015;1200;24.2;;82;952.5;2;2.05776;6.25;
82930;20/01/2015;1800;25.4;;73;949.7;35;;7.5;
82930;21/01/2015;1200;21.1;;97;953.9;17;1.54332;8.75;
82930;21/01/2015;1800;25.9;;73;950.4;25;;7.5;
82930;22/01/2015;1200;24.9;;75;953;6;;7.5;
82930;22/01/2015;1800;22;;86;950.6;21;;7.5;
82930;23/01/2015;1200;24.7;;74;953.2;5;;8.75;
82930;23/01/2015;1800;23;;87;949.3;22;;8.75;
82930;24/01/2015;1200;22.1;;90;952.7;1;;8.75;
82930;24/01/2015;1800;22.2;;96;950.2;31;;8.75;
82930;25/01/2015;1200;21;;98;953.7;25;1.54332;8.75;
82930;25/01/2015;1800;;;98;952.6;3;;10;
82930;26/01/2015;1200;21.1;;96;954.2;7;;10;
82930;26/01/2015;1800;22.5;;88;951;5;;7.5;
82930;27/01/2015;1200;24.4;;79;953;10;;6.25;
82930;27/01/2015;1800;26.2;;77;950.1;36;;6.25;
82930;28/01/2015;1200;21.7;;98;953;13;2.05776;8.75;
82930;28/01/2015;1800;;;69;949.8;17;;7.5;
82930;29/01/2015;1800;;;;949.7;12;;6.25;
82930;30/01/2015;1200;24.8;;75;951.9;5;;2.5;
82930;30/01/2015;1800;;;;948.7;10;;6.25;
82930;31/01/2015;1200;25.6;;68;952.4;4;;3.75;
82930;31/01/2015;1800;;;;949.3;11;;6.25;
82930;01/02/2015;1200;;;;952.8;30;;8.75;
82930;01/02/2015;1800;;;;952;24;;6.25;
82930;02/02/2015;1200;;;;953.4;7;3.08664;7.5;
82930;02/02/2015;1800;;;;951.4;11;;7.5;
82930;03/02/2015;1200;24.2;;;954.1;36;;6.25;
82930;03/02/2015;1800;;;;950.3;32;;6.25;
82930;04/02/2015;1200;;;;953.2;34;;7.5;
82930;04/02/2015;1800;;;;949.6;34;;6.25;
82930;05/02/2015;1200;;;;951.9;7;2.5722;7.5;
82930;05/02/2015;1800;;;89;948.9;24;3.08664;8.75;
82930;06/02/2015;1200;;;;952.3;36;2.5722;10;
82930;06/02/2015;1800;;;;950.1;1;;7.5;
82930;07/02/2015;1200;;;89;952.1;34;1.54332;6.25;
82930;07/02/2015;1800;;;;949.2;33;;7.5;
82930;08/02/2015;1200;;;;953.5;25;;8.75;
82930;08/02/2015;1800;;;;951.1;0;;8.75;
82930;09/02/2015;1200;;;;952.5;7;2.5722;8.75;
82930;09/02/2015;1800;;;;950.5;8;;6.25;
82930;10/02/2015;1200;;;;953.7;21;2.05776;7.5;
82930;10/02/2015;1800;;;;950.7;12;;7.5;
82930;11/02/2015;1200;24.2;;;954.1;10;2.5722;2.5;
82930;11/02/2015;1800;;;;951.5;14;;7.5;
82930;12/02/2015;1200;24.1;;;954.6;16;2.5722;6.25;
82930;12/02/2015;1800;;;;950.7;8;;6.25;
82930;13/02/2015;1200;;;88;955.8;35;2.5722;7.5;
82930;13/02/2015;1800;;;;952.8;24;1.54332;8.75;
82930;14/02/2015;1200;;;;954.6;8;;7.5;
82930;14/02/2015;1800;;;88;951.6;33;;7.5;
82930;15/02/2015;1200;;;;953.4;28;;2.5;
82930;15/02/2015;1800;;;;950.2;14;3.08664;7.5;
82930;16/02/2015;1200;24;;;952.8;3;1.54332;5;
82930;16/02/2015;1800;;;;948.7;3;;7.5;
82930;17/02/2015;1200;;;;952.8;2;1.54332;8.75;
82930;17/02/2015;1800;;;;950;35;2.05776;10;
82930;18/02/2015;1200;;;;952.5;35;;8.75;
82930;18/02/2015;1800;24.2;;89;949.4;7;;8.75;
82930;19/02/2015;1200;;;;951.9;4;2.05776;10;
82930;19/02/2015;1800;24.1;;89;948.9;23;3.08664;7.5;
82930;20/02/2015;1200;;;;952.8;25;;10;
82930;20/02/2015;1800;;;88;951;21;1.54332;10;
82930;21/02/2015;1200;;;;952.5;8;;6.25;
82930;21/02/2015;1800;;;;950;11;;5;
82930;22/02/2015;1200;;;;953.6;5;;10;
82930;22/02/2015;1800;;;;950.7;6;;8.75;
82930;23/02/2015;1200;;;;953.9;5;2.5722;8.75;
82930;23/02/2015;1800;;;;950.4;12;3.08664;7.5;
82930;24/02/2015;1200;;;;952.8;10;;0;
82930;24/02/2015;1800;;;;949.4;1;2.5722;6.25;
82930;25/02/2015;1200;;;;953.3;9;;6.25;
82930;25/02/2015;1800;;;;950.1;2;;6.25;
82930;26/02/2015;1200;;;;953.6;6;1.54332;10;
82930;26/02/2015;1800;;;;948.2;3;2.05776;6.25;
82930;27/02/2015;1200;;;;953.7;19;2.05776;;
82930;27/02/2015;1800;;;;950.9;2;;10;
82930;28/02/2015;0000;;;;950.8;7;2.5722;2.5;
82930;28/02/2015;1200;;;;954.2;21;;;
82930;28/02/2015;1800;;;;950.7;8;;6.25;
82930;01/03/2015;0000;22.2;;97;951.1;27;;1.25;
82930;01/03/2015;1800;;;;949.8;27;2.05776;5;
82930;02/03/2015;1200;22.4;;94;953.5;4;3.08664;8.75;
82930;02/03/2015;1800;;;;949;5;2.5722;5;
82930;03/03/2015;1200;;;99;952.9;6;2.05776;10;
82930;04/03/2015;1200;;;93;952.7;9;4.11552;8.75;
82930;04/03/2015;1800;;;;949.5;5;;6.25;
82930;05/03/2015;1200;;;92;952.8;12;2.05776;6.25;
82930;05/03/2015;1800;;;;949.2;11;3.60108;7.5;
82930;06/03/2015;1200;;;94;953.4;6;;8.75;
82930;06/03/2015;1800;;;;951;11;;8.75;
82930;07/03/2015;1200;22.2;;96;;9;;8.75;
82930;07/03/2015;1800;;;;950.2;12;2.5722;8.75;
82930;08/03/2015;1200;22.4;;96;952.7;0;;3.75;
82930;08/03/2015;1800;;;;949.6;14;;6.25;
82930;09/03/2015;1200;;;95;952.7;7;3.08664;8.75;
82930;09/03/2015;1800;;;;948.6;4;3.60108;5;
82930;10/03/2015;1200;;;;952.4;1;;3.75;
82930;10/03/2015;1800;;;;948.2;32;;8.75;
82930;11/03/2015;1200;;;94;952.7;5;2.5722;10;
82930;11/03/2015;1800;;;;948.4;6;2.5722;6.25;
82930;12/03/2015;1200;22.1;;99;952.3;7;2.5722;8.75;
82930;12/03/2015;1800;;;;949.2;2;4.62996;8.75;
82930;13/03/2015;1200;22;;99;951.6;0;;10;
82930;13/03/2015;1800;;;;947.7;3;;7.5;
82930;14/03/2015;1200;22.5;;99;951.7;14;2.5722;10;
82930;14/03/2015;1800;;;;948.9;9;3.60108;8.75;
82930;15/03/2015;1200;;;;952.3;4;3.08664;7.5;
82930;15/03/2015;1800;;;;948.4;11;3.08664;6.25;
82930;16/03/2015;1200;22.3;;94;952;2;2.05776;7.5;
82930;16/03/2015;1800;;;;949.1;17;2.05776;10;
82930;17/03/2015;1200;22.6;;;952.2;5;2.05776;8.75;
82930;17/03/2015;1800;;;;949.9;14;2.05776;7.5;
82930;18/03/2015;1200;21.9;;96;952.5;8;3.08664;8.75;
82930;18/03/2015;1800;;;;949.1;6;3.60108;8.75;
82930;19/03/2015;1200;;;100;953.2;24;;10;
82930;19/03/2015;1800;;;;951.2;23;2.5722;8.75;
82930;20/03/2015;1200;22.1;;95;951.9;33;;8.75;
82930;20/03/2015;1800;;;98;950.2;5;4.62996;8.75;
82930;21/03/2015;1200;21.4;;92;953.5;36;;8.75;
82930;22/03/2015;1200;22;;96;953.5;33;3.08664;10;
82930;22/03/2015;1800;;;;950.3;34;2.05776;7.5;
82930;23/03/2015;1200;22.2;;94;955;4;2.05776;8.75;
82930;23/03/2015;1800;;;;951.2;4;;8.75;
82930;24/03/2015;1200;;;93;955.1;34;3.60108;6.25;
82930;24/03/2015;1800;;;;951.2;36;2.5722;5;
82930;25/03/2015;1200;;;92;955.4;33;2.05776;2.5;
82930;25/03/2015;1800;;;;951.3;28;2.5722;5;
82930;26/03/2015;1200;;;;953.9;5;2.5722;2.5;
82930;26/03/2015;1800;;;93;950.9;4;2.05776;7.5;
82930;27/03/2015;1200;;;;954.6;11;2.5722;6.25;
82930;27/03/2015;1800;;;;950.9;8;;7.5;
82930;28/03/2015;0000;;;96;953.1;22;;2.5;
82930;28/03/2015;1200;;;;955.1;12;2.05776;6.25;
82930;28/03/2015;1800;;;;951.6;9;;6.25;
82930;29/03/2015;1200;;;92;955.5;7;;10;
82930;29/03/2015;1800;;;;950.9;6;3.08664;8.75;
82930;30/03/2015;0000;;;;952.3;12;3.08664;3.75;
82930;30/03/2015;1200;;;;953;9;3.08664;0;
82930;31/03/2015;1200;;;98;954.3;5;4.11552;8.75;
82930;31/03/2015;1800;;;;951.5;21;2.05776;5;
82930;01/04/2015;1200;24.5;;87;955.1;8;;7.5;
82930;01/04/2015;1800;;;;951;25;;7.5;
