<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82965</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : ALTA FLORESTA - AEROPORTO - MT (OMM: 82965)
Latitude  (graus) : -9.86
Longitude (graus) : -56.1
Altitude  (metros): 289.00
Esta��o Operante
Inicio de opera��o: 16/04/1982
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82965;01/01/2015;1200;25;;91;981.2;0;0;7.5;
82965;01/01/2015;1800;25.9;;81;977.9;36;1.54332;8.75;
82965;02/01/2015;1200;28.3;;70;981.9;0;0;1.25;
82965;02/01/2015;1800;34.3;;52;978.1;1;2.05776;5;
82965;03/01/2015;1200;29.8;;67;981.5;0;0;7.5;
82965;03/01/2015;1800;33.3;;56;978;36;2.5722;7.5;
82965;04/01/2015;1200;26.5;;84;981.2;0;0;6.25;
82965;04/01/2015;1800;31.1;;67;978.9;23;1.54332;8.75;
82965;05/01/2015;1200;25;;81;982.1;12;4.11552;6.25;
82965;05/01/2015;1800;34;;48;978.6;2;0.51444;8.75;
82965;06/01/2015;1200;28.9;;69;982.2;3;1.54332;7.5;
82965;06/01/2015;1800;33.9;;53;978.5;30;3.08664;6.25;
82965;07/01/2015;1200;23.7;;95;981.7;0;0;3.75;
82965;07/01/2015;1800;26.9;;66;978.5;7;;8.75;
82965;08/01/2015;1200;28.3;;70;981.6;12;3.08664;6.25;
82965;08/01/2015;1800;35.6;;46;976.8;12;1.54332;5;
82965;09/01/2015;1200;27.8;;74;982.2;0;0;6.25;
82965;09/01/2015;1800;34.4;;52;977.3;2;1.54332;7.5;
82965;10/01/2015;1200;25.4;;80;982.8;13;3.08664;8.75;
82965;10/01/2015;1800;35.8;;43;978.9;5;1.54332;7.5;
82965;11/01/2015;1200;22.6;;94;982.8;0;0;10;
82965;11/01/2015;1800;32;;56;978;28;3.08664;3.75;
82965;12/01/2015;1200;27.6;;80;981.9;36;1.02888;8.75;
82965;12/01/2015;1800;;;41;978;2;2.05776;7.5;
82965;13/01/2015;1200;23.1;;94;981.5;0;0;10;
82965;13/01/2015;1800;30.8;;60;979;7;0.51444;8.75;
82965;14/01/2015;1200;25.6;;88;981.3;22;0.51444;8.75;
82965;14/01/2015;1800;33.9;;48;978.4;10;2.05776;7.5;
82965;15/01/2015;1200;23.8;;91;981.9;0;0;7.5;
82965;15/01/2015;1800;35.1;;46;978.5;14;1.54332;8.75;
82965;16/01/2015;1200;24.5;;91;982.2;3;1.54332;10;
82965;16/01/2015;1800;31.9;;59;979;3;2.05776;8.75;
82965;17/01/2015;1200;25.8;;86;981.7;0;0;8.75;
82965;17/01/2015;1800;29.8;;65;978.9;0;0;8.75;
82965;18/01/2015;1200;26.4;;81;982;0;0;8.75;
82965;18/01/2015;1800;33.7;;55;977.7;16;2.5722;5;
82965;19/01/2015;1200;;;93;981.7;0;0;8.75;
82965;19/01/2015;1800;30.9;;59;978.8;33;0.51444;8.75;
82965;20/01/2015;1200;27.6;;71;980.6;0;0;8.75;
82965;20/01/2015;1800;33.3;;51;977.1;5;0.51444;8.75;
82965;21/01/2015;1200;;;96;982.3;15;2.05776;10;
82965;21/01/2015;1800;30.2;;65;977.8;34;2.5722;8.75;
82965;22/01/2015;1200;25.6;;83;980.8;0;0;8.75;
82965;22/01/2015;1800;33.1;;48;977.3;0;0;5;
82965;23/01/2015;0000;25;;91;978;0;0;8.75;
82965;23/01/2015;1200;27;;82;980.7;0;0;8.75;
82965;23/01/2015;1800;35.6;;42;975.9;6;0.51444;6.25;
82965;24/01/2015;1200;23.2;;94;980.4;34;1.02888;10;
82965;24/01/2015;1800;28.6;;66;978.6;33;4.11552;8.75;
82965;25/01/2015;1200;25;;82;981.3;1;0.51444;8.75;
82965;25/01/2015;1800;25.9;;78;979.6;4;2.5722;10;
82965;26/01/2015;1200;23.7;;92;981.6;9;0.51444;10;
82965;26/01/2015;1800;33;;54;977.8;6;1.54332;6.25;
82965;27/01/2015;1200;26.1;;87;980.7;13;2.05776;8.75;
82965;27/01/2015;1800;25.7;;82;977.8;3;6.17328;8.75;
82965;28/01/2015;1200;23.6;;95;980.2;0;0;10;
82965;28/01/2015;1800;31.6;;61;978.2;27;3.08664;8.75;
82965;29/01/2015;1200;26.7;;77;980.5;12;2.5722;5;
82965;29/01/2015;1800;35.3;;46;977.7;3;2.5722;6.25;
82965;30/01/2015;1200;27.6;;72;979.6;0;0;6.25;
82965;30/01/2015;1800;34.5;;48;976.3;6;3.08664;7.5;
82965;31/01/2015;1200;28;;72;980.6;22;1.02888;5;
82965;31/01/2015;1800;35.6;;45;976.8;15;1.02888;3.75;
82965;01/02/2015;1200;23;;;980.3;23;1.54332;8.75;
82965;01/02/2015;1800;29.9;;;980.2;22;1.02888;8.75;
82965;02/02/2015;1200;27.9;;;980.8;9;1.02888;6.25;
82965;02/02/2015;1800;;;;978.3;28;1.54332;7.5;
82965;03/02/2015;1200;26.1;;;981.6;2;1.54332;7.5;
82965;03/02/2015;1800;34.5;;;977.6;31;3.60108;5;
82965;04/02/2015;1200;26.5;;;980.6;0;0;7.5;
82965;04/02/2015;1800;28.5;;;977.4;31;2.05776;8.75;
