<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82975</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : BOM JESUS DO PIAUI - PI (OMM: 82975)
Latitude  (graus) : -9.1
Longitude (graus) : -44.11
Altitude  (metros): 331.74
Esta��o Operante
Inicio de opera��o: 19/04/1971
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82975;19/04/1971;1200;23.7;23.4;98;;0;0;9;
82975;19/04/1971;1800;30.8;29.6;92;;9;3;5;
82975;20/04/1971;0000;23.6;23.6;100;;0;0;6;
82975;20/04/1971;1200;26.2;25.3;93;;9;3;4;
82975;20/04/1971;1800;22.6;22.3;97;;0;0;10;
82975;21/04/1971;0000;22.6;22.6;100;;0;0;10;
82975;21/04/1971;1200;24.2;23.4;94;;9;5;8;
82975;21/04/1971;1800;26.8;24.4;82;;9;3;4;
82975;22/04/1971;0000;23.1;22.9;98;;0;0;4;
82975;22/04/1971;1200;22.6;22.3;97;;9;1;10;
82975;22/04/1971;1800;29.2;26;78;;9;1;10;
82975;23/04/1971;0000;24.7;24.4;98;;14;1;5;
82975;23/04/1971;1200;24.9;23.9;92;;0;0;5;
82975;23/04/1971;1800;32.7;26.2;60;;14;3;5;
82975;24/04/1971;0000;23.1;22.8;97;;32;1;3;
82975;24/04/1971;1200;25.2;24.2;92;;0;0;10;
82975;24/04/1971;1800;29.6;25.8;74;;23;1;9;
82975;25/04/1971;0000;25.3;24.2;91;;23;1;2;
82975;25/04/1971;1200;24.3;23.8;96;;32;1;10;
82975;25/04/1971;1800;31.4;26.6;69;;14;1;9;
82975;26/04/1971;0000;24.3;24.1;98;;0;0;4;
82975;26/04/1971;1200;21.6;21.5;99;;0;0;10;
82975;26/04/1971;1800;26.5;24.2;83;;5;4;9;
82975;27/04/1971;0000;22.4;22.1;97;;0;0;3;
82975;27/04/1971;1200;24.1;23.7;97;;14;1;7;
82975;27/04/1971;1800;29.1;24.4;68;;14;6;5;
82975;28/04/1971;0000;23.9;22.8;91;;0;0;2;
