<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 82976</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CARACOL - PI (OMM: 82976)
Latitude  (graus) : -9.28
Longitude (graus) : -43.33
Altitude  (metros): 522.77
Esta��o Operante
Inicio de opera��o: 03/10/1975
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82976;03/10/1975;1200;26.8;18.1;43;954;9;4;0;
82976;03/10/1975;1800;34.8;18.8;20;948.8;9;2.6;0;
82976;04/10/1975;0000;23.7;14.6;37;950.5;27;2;0;
82976;04/10/1975;1200;27.2;17.4;37;952.3;18;1.6;0;
82976;04/10/1975;1800;35.7;19.8;22;948;9;4;0;
82976;05/10/1975;0000;25.6;16.8;41;949.5;27;0.8;0;
82976;05/10/1975;1200;28.3;19.3;42;953.7;5;6.6;0;
82976;05/10/1975;1800;34.6;20.2;26;948.5;5;3;6;
82976;06/10/1975;0000;24.8;16.4;42;950.3;27;1.6;0;
82976;06/10/1975;1200;27.8;19.6;47;952.6;9;4;0;
82976;06/10/1975;1800;34.8;21.4;30;948.5;9;4;5;
82976;07/10/1975;0000;25.2;17.2;44;950.2;32;1.6;0;
82976;07/10/1975;1200;28;20.2;49;952.9;9;2.3;3;
82976;07/10/1975;1800;34.7;21.6;31;948.5;14;2.3;5;
82976;08/10/1975;0000;29;18.2;34;950.4;9;1.6;0;
82976;08/10/1975;1200;27.6;20;50;953.3;9;5.1;1;
82976;08/10/1975;1800;33.6;20.2;29;948.8;9;3;2;
82976;09/10/1975;0000;26.6;17.8;42;950.4;27;0.5;0;
82976;09/10/1975;1200;27.4;19.6;48;953.7;9;6.3;1;
82976;09/10/1975;1800;33;20.6;32;949.5;9;3.6;6;
82976;10/10/1975;0000;26.6;19.4;51;950.9;27;0.5;0;
82976;10/10/1975;1200;27.8;20.2;50;953.6;5;4.8;6;
82976;10/10/1975;1800;32;20.6;35;949;9;2;6;
82976;11/10/1975;0000;24.6;20.6;70;952.1;9;2.3;0;
82976;11/10/1975;1200;27.8;21;55;952.6;9;4.5;1;
82976;11/10/1975;1800;33.8;20.8;30;947.3;36;3.3;5;
82976;12/10/1975;0000;24.6;21.4;76;950.2;9;1.1;10;
82976;12/10/1975;1200;25.4;21.6;72;953.2;9;3.6;6;
82976;12/10/1975;1800;26.4;22.6;72;948.7;14;0.8;10;
82976;13/10/1975;0000;21;20;91;952.3;18;2;9;
82976;13/10/1975;1200;24.2;20.8;74;953.9;18;1.5;7;
82976;13/10/1975;1800;30.6;21.4;44;949.5;36;0.3;5;
82976;14/10/1975;0000;22;20.6;88;953.6;23;2.1;9;
82976;14/10/1975;1200;25.2;21.2;70;954.8;9;2.8;9;
82976;14/10/1975;1800;32;21.6;40;949.9;5;4.3;6;
82976;15/10/1975;0000;26;20.6;62;951.2;23;0.8;9;
82976;15/10/1975;1200;28.4;21;51;952.1;9;4.3;4;
82976;15/10/1975;1800;33.4;21;32;948.7;9;1.8;9;
82976;16/10/1975;0000;25.6;19.2;55;950.2;9;0.8;2;
82976;16/10/1975;1200;27.2;19.4;48;953.4;9;3.5;4;
82976;16/10/1975;1800;33.8;20;27;948.2;9;3.1;7;
82976;17/10/1975;0000;26.6;19.2;50;949.3;27;1;1;
